1537.statecounty,MS_lCaiborne,MS_Claiborne
363.fips,2020.0,12077
2296.fipstwo,4f2083,f42083
383.statecounty,AR_Logan,FL_St. Johns
101.statefips,2.0,5
1956.county,incoln ,Lincoln 
62.statefips,2.0,1
349.statecounty,AK_Aleutians West Census Area,FL_Hardee
516.statevalue,GpA,GA
1906.statecounty,NEWashington,NE_Washington
1019.countytwo,Carlise ,Carlisle 
1477.county,oMntgomery ,Montgomery 
2182.statecounty,OK_Linxcoln,OK_Lincoln
3142.statevalue,I,WI
2057.fipstwo,39007,f39007
297.county,Kenai Peninsula Borough,Park 
2794.countytwo,Paola ,Panola 
422.statecounty,GA_Caly,GA_Clay
2448.statevalue,CS,SC
443.county,Effinghma ,Effingham 
243.fips,2050.0,6103
2724.statevalue,TvX,TX
1666.countytwo,Alxander ,Alexander 
83.statefips,2.0,1
357.fips,5099.0,12065
2111.countytwo,kMorgan ,Morgan 
1002.statevalue,YK,KY
238.fips,2060.0,6093
2925.statevalue,VqA,VA
346.statevalue,fFL,FL
2061.fipstwo,f93015,f39015
584.statefips,57,19
1032.statecounty,KY_Estdill,KY_Estill
1844.statevalue,EN,NE
1977.fipstwo,f3200a3,f32003
1880.county,Nacne ,Nance 
2080.statevalue,H,OH
183.fipstwo,f02164,f04012
274.fips,2013.0,8047
1573.statevalue,aMS,MS
363.statevalue,L,FL
2732.county,Jasperc ,Jasper 
629.fipstwo,f1i9143,f19143
114.statecounty,AR_Greene,AR_Crittenden
1505.statecounty,MO_St. Charels,MO_St. Charles
830.countytwo,Greenre ,Greene 
283.fips,2198.0,8067
374.statevalue,L,FL
320.fips,2070.0,9013
2721.fipstwo,f4829,f48219
2814.statecounty,TiX_San Augustine,TX_San Augustine
2626.countytwo,Bxar ,Bexar 
1376.statecounty,MN_Otter Tal,MN_Otter Tail
1256.fipstwo,f260m37,f26037
184.fips,2013.0,4013
141.statefips,2.0,5
2785.county,Nacogdcohes ,Nacogdoches 
542.statevalue,A,GA
179.fipstwo,f02070,f04005
2684.countytwo,alls ,Falls 
1369.statevalue,MlN,MN
2597.statevalue,N,TN
891.county,Wanye ,Wayne 
84.fips,2110.0,1109
2532.fipstwo,fe47031,f47031
1446.countytwo,Greenoe ,Greene 
1795.fipstwo,38061,f38061
2811.countytwo,Runnls ,Runnels 
162.fips,2013.0,5133
521.countytwo,Sumtre ,Sumter 
1515.fipstwo,f2215,f29215
49.county,Kodiak Island Borough,Covington 
2764.statecounty,TX_yLnn,TX_Lynn
184.fipstwo,f02013,f04013
730.countytwo,Galltin ,Gallatin 
308.statecounty,AK_Haines Borough,CO_Sedgwick
379.fips,11001.0,12107
443.statevalue,A,GA
1231.fipstwo,f23091,f23019
461.statecounty,GA_Hall***,GA_Hall
2876.county,Grasnd ,Grand 
46.fipstwo,f02068,f01033
2354.statevalue,PyR,PR
137.statecounty,AK_Yukon-Koyukuk Census Area,AR_Little River
170.county,Lake and Peninsula Borough,Woodruff 
2207.fipstwo,f0131,f40131
56.fipstwo,f02020,f01053
304.statecounty,AK_Haines Borough,CO_Routt
2198.fipstwo,f4o0113,f40113
265.county,Denali Borough,Delta 
741.statevalue,LI,IL
150.county,Dillingham Census Area,Phillips 
55.statefips,2.0,1
2151.countytwo,Cartr ,Carter 
1797.countytwo,Olikver ,Oliver 
742.statevalue,L,IL
18.fipstwo,f01063,f02185
3074.statecounty,WA_San wJuan,WA_San Juan
647.statecounty,IAW_apello,IA_Wapello
2535.statevalue,NT,TN
1781.statecounty,ND_Golden Valtley,ND_Golden Valley
388.fipstwo,f04023,f12125
2958.statevalue,AV,VA
2213.countytwo,ulsa ,Tulsa 
2568.statevalue,sTN,TN
2750.countytwo,La Salel ,La Salle 
208.fipstwo,f01049,f06033
2058.countytwo,Athnes ,Athens 
352.statevalue,vFL,FL
3208.county,Wester ,Webster 
1086.fipstwo,f21173***,f21173
396.fips,2013.0,13007
193.fipstwo,f05001,f06003
186.county,Matanuska-Susitna Borough,Navajo 
347.fips,2170.0,12045
1295.countytwo,Monrode ,Monroe 
3124.statevalue,IW,WI
1192.countytwo,Middlsex ,Middlesex 
412.county,Cadmen ,Camden 
412.fips,1063.0,13039
1659.fipstwo,f3011,f30101
36.statefips,2.0,1
2480.fipstwo,f64061,f46061
2284.statecounty,PA_Greeen,PA_Greene
905.countytwo,Cheroee ,Cherokee 
630.countytwo,Pgae ,Page 
351.fipstwo,f12127,f12053
417.fips,2195.0,13051
633.fipstwo,f11951,f19151
485.county,Lumspkin ,Lumpkin 
1416.statecounty,MO_Bollnger,MO_Bollinger
1071.countytwo,Lyo ,Lyon 
1706.statecounty,NC_Haliafx,NC_Halifax
2824.countytwo,Somervel l,Somervell 
3188.statecounty,WV_Mononglia,WV_Monongalia
2633.countytwo,rBewster ,Brewster 
113.fips,2050.0,5033
309.fipstwo,f02110,f08117
1119.countytwo,Woodofrd ,Woodford 
3134.statecounty,WpI_Polk,WI_Polk
2423.statevalue,C,SC
1388.statevalue,N,MN
648.statefips,104,19
375.county,Haines Borough,Palm Beach 
2949.countytwo,reene ,Greene 
1956.fipstwo,f3502d7,f35027
321.statecounty,AK_Bristol Bay Borough,CT_Windham
396.statevalue,A,GA
2695.county,Galvestn ,Galveston 
99.fipstwo,f01117,f05005
308.fipstwo,f02110,f08115
1311.statevalue,IM,MI
399.statecounty,AL_Wilcox,GA_Barrow
1231.statevalue,EM,ME
805.statevalue,N,IN
1409.fipstwo,f2903,f29003
1620.countytwo,Der Lodge ,Deer Lodge 
1996.statecounty,NY_Cattarauus,NY_Cattaraugus
2809.statevalue,uTX,TX
1901.statevalue,NhE,NE
263.fipstwo,f02068,f08025
401.fips,2060.0,13017
1127.statevalue,AL,LA
3002.county,zRichmond city,Richmond city
1230.statevalue,E,ME
1895.statecounty,NE_Saunedrs,NE_Saunders
377.statevalue,LF,FL
2714.county,artley ,Hartley 
364.statevalue,L,FL
3150.statecounty,WI_Walwoyrth,WI_Walworth
3076.county,Skaamania ,Skamania 
1035.countytwo,Floyyd ,Floyd 
151.statecounty,AK_Wrangell City and Borough,AR_Pike
2767.statecounty,TqX_Martin,TX_Martin
2303.county,Nrthumberland ,Northumberland 
1433.county,Corle ,Cole 
975.countytwo,Rileyt ,Riley 
1856.countytwo,Greeldey ,Greeley 
1219.county,Washingto ,Washington 
545.fipstwo,f1l3309,f13309
382.fips,2150.0,12117
353.statevalue,L,FL
537.statevalue,AG,GA
128.countytwo,Inddependence ,Independence 
92.fips,2020.0,1125
216.county,odoc ,Modoc 
172.county,Hoonah-Angoon Census Area,Eastern District
160.county,Denali Borough,Searcy 
1228.statecounty,ME_Kenox,ME_Knox
594.statefips,82,19
532.statevalue,A,GA
379.statecounty,AK_Ketchikan Gateway Borough,FL_Putnam
736.statecounty,ILHenderson,IL_Henderson
303.statecounty,AK_Aleutians East Borough,CO_Rio Grande
573.statefips,85,19
755.countytwo,aMcon ,Macon 
83.fips,2090.0,1107
2640.fipstwo,f48w057,f48057
13.fips,2105.0,2130
401.statecounty,AK_Lake and Peninsula Borough,GA_Ben Hill
1910.county,Yorgk ,York 
704.statevalue,LI,IL
1339.statevalue,N,MN
183.county,Denali Borough,La Paz 
562.statefips,99,19
32.county,Bristol Bay Borough,Barbour 
1821.county,anner ,Banner 
2658.fipstwo,fi48093,f48093
494.statefips,85,13
869.statecounty,IN_Putanm,IN_Putnam
1161.statecounty,LA_mRichland,LA_Richland
2759.countytwo,Lipscomjb ,Lipscomb 
1966.fipstwo,f35z047,f35047
1448.countytwo,Harison ,Harrison 
483.statefips,18,13
2431.fipstwo,f4053,f45053
292.fips,2013.0,8083
39.fipstwo,f02060,f01019
77.statevalue,L,AL
347.statecounty,AK_Northwest Arctic Borough,FL_Gulf
94.statevalue,ArL,AL
2070.statecounty,OHC_rawford,OH_Crawford
245.county,Bristol Bay Borough,Tulare 
351.fips,2050.0,12053
2555.county,Henderosn ,Henderson 
509.statecounty,GA_Pubtnam,GA_Putnam
2670.statevalue,XT,TX
394.statecounty,AL_Baldwin,GA_Atkinson
2372.statecounty,PR_Mocal Municipio,PR_Moca Municipio
3099.countytwo,Dodg e,Dodge 
294.county,Aleutians West Census Area,Morgan 
410.fips,2016.0,13035
281.county,Dillingham Census Area,Kiowa 
2867.statevalue,TU,UT
3216.countytwo,Carobn ,Carbon 
146.county,Neada ,Nevada 
459.fipstwo,f1f3135,f13135
1241.fipstwo,26007,f26007
51.fipstwo,f02105,f01043
1317.statevalue,I,MI
898.county,Barmber ,Barber 
368.statevalue,LF,FL
1338.statecounty,MN_Crzow Wing,MN_Crow Wing
1627.county,Golden Vallefy ,Golden Valley 
1194.statevalue,AM,MA
1195.fipstwo,f2023,f25023
64.statefips,2.0,1
3013.fipstwo,f51177***,f51177
1006.countytwo,Besll ,Bell 
2412.countytwo,Berkerley ,Berkeley 
486.statevalue,A,GA
65.county,Anchorage Municipality,Jackson 
1480.statevalue,MqO,MO
3134.statevalue,I,WI
124.fips,2090.0,5055
2163.fipstwo,f40043***,f40043
253.fips,2016.0,8007
155.statecounty,AR_Greene,AR_Prairie
2839.countytwo,Troinity ,Trinity 
1093.statecounty,KYO_wen,KY_Owen
46.fips,2195.0,1033
472.statefips,72,13
1814.fipstwo,3f8099,f38099
2858.statevalue,X,TX
2301.countytwo,ontour ,Montour 
640.statefips,79,19
102.statefips,2.0,5
2126.fipstwo,f93145,f39145
413.statecounty,AK_Valdez-Cordova Census Area,GA_Candler
378.fips,2013.0,12105
2969.countytwo,Lunenbrug ,Lunenburg 
2567.county,Lewisw ,Lewis 
2136.county,Warrne ,Warren 
1377.statevalue,N,MN
461.statefips,64,13
1351.statecounty,NM_Itasca,MN_Itasca
217.county,Kenai Peninsula Borough,Mono 
849.statevalue,NI,IN
1630.countytwo,Jeffrson ,Jefferson 
745.fipstwo,ef17089,f17089
2513.county,Unino ,Union 
2251.statecounty,fOR_Wasco,OR_Wasco
2005.county,Dutcess ,Dutchess 
484.county,owndes ,Lowndes 
2437.statevalue,CS,SC
254.fipstwo,f02070,f08009
913.countytwo,Craword ,Crawford 
64.county,Juneau City and Borough,Houston 
934.statevalue,SK,KS
1535.statevalue,S,MS
2840.county,Tyer ,Tyler 
723.statecounty,I_LEdgar,IL_Edgar
809.statevalue,NI,IN
2109.countytwo,Monro e,Monroe 
2481.statecounty,SD_Haridng,SD_Harding
234.county,Aleutians East Borough,Santa Clara 
2127.statecounty,OH_Seaneca,OH_Seneca
249.county,Dillingham Census Area,Yuba 
3145.statevalue,I,WI
662.statecounty,ID_Binghaam,ID_Bingham
1912.statevalue,HN,NH
123.statecounty,AK_Lake and Peninsula Borough,AR_Grant
3066.county,Klcikitat ,Klickitat 
3171.county,ampshire ,Hampshire 
73.statefips,2.0,1
528.statevalue,AG,GA
2326.statevalue,R,PR
550.statefips,42,13
119.statevalue,AsR,AR
2988.county,Pagae ,Page 
131.fips,2050.0,5069
1679.statecounty,NCC_amden,NC_Camden
76.fips,2020.0,1093
2167.county,aGrady ,Grady 
240.fipstwo,f02282,f06097
1539.fipstwo,2f8025,f28025
645.countytwo,Unio n,Union 
332.fipstwo,f02020,f12013
137.fips,2016.0,5081
1250.countytwo,alhoun ,Calhoun 
1089.countytwo,Nelso n,Nelson 
390.fips,2150.0,12129
317.fipstwo,f02020,f09007
220.statefips,2.0,6
2342.statevalue,R,PR
462.statecounty,GAH_ancock,GA_Hancock
754.statecounty,ILLogan,IL_Logan
580.statecounty,I_AClinton,IA_Clinton
339.statecounty,AK_Haines Borough,FL_Dixie
198.county,Juneau City and Borough,Contra Costa 
131.statefips,2.0,5
201.statefips,2.0,6
874.statecounty,IN_Shemlby,IN_Shelby
210.statefips,2.0,6
1879.county,orrill ,Morrill 
1230.statecounty,ME_Oxofrd,ME_Oxford
471.county,Jaspre ,Jasper 
849.statecounty,IN_Lawrnce,IN_Lawrence
2488.statecounty,SD_Kinsbury,SD_Kingsbury
572.statefips,54,19
1977.countytwo,Calrk ,Clark 
586.county,Des Moinse ,Des Moines 
2515.countytwo,Yanton ,Yankton 
2853.countytwo,Wheele ,Wheeler 
1379.statecounty,MN_Pipeqstone,MN_Pipestone
71.fipstwo,f05057,f01083
2641.statecounty,T_XCallahan,TX_Callahan
1961.statecounty,NMO_tero,NM_Otero
1248.statevalue,IM,MI
251.fipstwo,f02188,f08003
2943.fipstwo,51630,f51630
1042.countytwo,Graxyson ,Grayson 
188.county,Juneau City and Borough,Pinal 
2901.statevalue,pVA,VA
1479.statecounty,MO_NewM adrid,MO_New Madrid
1803.countytwo,Riqchland ,Richland 
2491.fipstwo,if46083,f46083
2314.county,nion ,Union 
679.statecounty,ID_eGm,ID_Gem
2909.county,Boteteourt ,Botetourt 
159.county,Bristol Bay Borough,Scott 
636.fipstwo,f1957,f19157
1176.county,Vermilio Parish,Vermilion Parish
336.statecounty,AL_Colbert,FL_Collier
2252.fipstwo,4f1067,f41067
2154.county,Cimrron ,Cimarron 
564.fipstwo,f1013,f19013
675.countytwo,Custefr ,Custer 
386.statevalue,L,FL
144.county,Kenai Peninsula Borough,Monroe 
1619.fipstwo,f3021,f30021
233.fips,2050.0,6083
1858.countytwo,Hamiltton ,Hamilton 
302.fips,2198.0,8103
400.fipstwo,f02090,f13015
2687.county,Fiser ,Fisher 
153.fips,2110.0,5113
823.countytwo,ayette ,Fayette 
93.statecounty,AL_St. Clair,AL_Walker
54.statefips,2.0,1
237.fips,5099.0,6091
2190.county,McIntobsh ,McIntosh 
1755.county,Vane ,Vance 
2882.statecounty,UT_Piutfe,UT_Piute
91.county,Kenai Peninsula Borough,Tallapoosa 
2429.statecounty,CS_Hampton,SC_Hampton
35.statefips,2.0,1
1690.countytwo,Cumberand ,Cumberland 
1066.statecounty,KY_Letchre,KY_Letcher
2261.countytwo,Blairb ,Blair 
685.countytwo,Lactah ,Latah 
3191.fipstwo,f54607,f54067
1699.fipstwo,f37096,f37069
270.fipstwo,f02013,f08041
1707.county,Harett ,Harnett 
372.county,Kodiak Island Borough,Okeechobee 
2655.countytwo,Collnigsworth ,Collingsworth 
150.statefips,2.0,5
496.fipstwo,f1321o1,f13211
2470.statecounty,SD_Dewye,SD_Dewey
389.countytwo,Volusai ,Volusia 
3107.countytwo,Grnt ,Grant 
338.fipstwo,f04009,f12027
2520.statecounty,TNe_Bledsoe,TN_Bledsoe
653.statefips,88,19
2484.statevalue,D,SD
172.statecounty,AK_Anchorage Municipality,AS_Eastern District
2104.statecounty,OH_Marino,OH_Marion
3108.statecounty,WI_Grene,WI_Green
1846.statevalue,NcE,NE
296.county,Dillingham Census Area,Ouray 
2910.countytwo,Brnistol city,Bristol city
545.statefips,63,13
3205.statecounty,WzV_Tyler,WV_Tyler
675.statevalue,DI,ID
1378.county,Pin e,Pine 
285.fips,2013.0,8069
3037.countytwo,Esse x,Essex 
1402.countytwo,Washingotn ,Washington 
232.fips,2050.0,6081
1508.statecounty,MO_St. Lrouis,MO_St. Louis
143.statecounty,AK_Aleutians West Census Area,AR_Mississippi
2008.statecounty,NYF_ranklin,NY_Franklin
1637.fipstwo,f3005,f30055
1525.county,Saipan Municipalty,Saipan Municipality
2990.statevalue,VkA,VA
61.statevalue,LA,AL
1956.statevalue,M,NM
68.fipstwo,f05023,f01077
1834.countytwo,Cheyenne ***,Cheyenne 
1137.statevalue,LxA,LA
1373.county,Nobleks ,Nobles 
1159.fipstwo,22079,f22079
1159.county,Rapids Parish,Rapides Parish
167.county,Dillingham Census Area,Van Buren 
342.fipstwo,f06085,f12035
291.county,Kodiak Island Borough,Moffat 
2224.countytwo,Cotos ,Coos 
2555.statecounty,TN_Henerson,TN_Henderson
1576.county,Nshoba ,Neshoba 
1800.county,Ramse ,Ramsey 
428.fipstwo,f02170,f13073
630.county,Paeg ,Page 
1702.county,Graahm ,Graham 
23.fips,2150.0,2230
1288.fipstwo,f26011,f26101
1429.countytwo,Cristian ,Christian 
184.statefips,2.0,4
1869.countytwo,Keya aPha ,Keya Paha 
937.fipstwo,f20805,f20085
2401.statecounty,RI_oKent,RI_Kent
463.statefips,26,13
364.fips,2020.0,12079
1275.statevalue,IM,MI
2917.countytwo,Carroll ***,Carroll 
2445.countytwo,ySaluda ,Saluda 
2608.statecounty,T_Weakley,TN_Weakley
236.county,Aleutians West Census Area,Shasta 
790.statecounty,IL_Taezwell,IL_Tazewell
92.statefips,2.0,1
2164.statecounty,OK_Ellils,OK_Ellis
1999.county,Chemnug ,Chemung 
1294.fipstwo,f2113,f26113
271.statefips,2.0,8
305.fips,2185.0,8109
411.fips,2050.0,13037
437.statefips,57,13
1497.fipstwo,f29n179,f29179
2252.countytwo,Washingon ,Washington 
982.fipstwo,f201e75,f20175
2852.county,Whartn ,Wharton 
375.fips,2170.0,12099
1277.statevalue,I,MI
134.fips,2050.0,5075
246.fips,2170.0,6109
380.fipstwo,f05051,f12113
2866.statecounty,UM_Midway Ilands,UM_Midway Islands
137.county,Nome Census Area,Little River 
2332.statevalue,R,PR
3076.statecounty,WASkamania,WA_Skamania
1557.county,Jaspre ,Jasper 
209.fips,2050.0,6035
1986.county,Mneral ,Mineral 
2252.statecounty,OR_Washingtno,OR_Washington
1907.fipstwo,f13179,f31179
2192.county,Muskoge e,Muskogee 
284.statevalue,O,CO
1867.fipstwo,f310e99,f31099
290.statefips,2.0,8
2361.county,Junos Municipio,Juncos Municipio
1778.statecounty,DN_Eddy,ND_Eddy
3114.statevalue,I,WI
2899.countytwo,Allehgany ,Alleghany 
151.fips,2050.0,5109
1711.statecounty,NC_Hke,NC_Hoke
489.fipstwo,f13819,f13189
178.statecounty,AK_Lake and Peninsula Borough,AZ_Cochise
2394.statecounty,PR_Vega Alta Municpiio,PR_Vega Alta Municipio
1996.fipstwo,f36090,f36009
1929.fipstwo,f4017,f34017
561.county,Apanoose ,Appanoose 
2158.statevalue,KO,OK
391.fipstwo,f08049,f12131
43.statevalue,L,AL
410.statevalue,AG,GA
1318.county,Wastenaw ,Washtenaw 
1539.countytwo,Claym ,Clay 
739.countytwo,Jacksn ,Jackson 
2611.fipstwo,47189,f47189
2658.countytwo,omanche ,Comanche 
293.statevalue,OC,CO
632.statefips,68,19
104.fipstwo,f01063,f05015
3157.county,Wodo ,Wood 
2756.countytwo,Lon ,Leon 
519.statefips,28,13
1984.fipstwo,f23017,f32017
1463.countytwo,Levwis ,Lewis 
2225.county,Cwrook ,Crook 
736.countytwo,Henderosn ,Henderson 
2755.countytwo,Ldee ,Lee 
1511.county,Soddard ,Stoddard 
1430.countytwo,Clar k,Clark 
259.statefips,2.0,8
3124.countytwo,Marquettge ,Marquette 
2272.countytwo,Clinto ,Clinton 
1521.county,dWorth ,Worth 
2545.statecounty,TN_Graginger,TN_Grainger
1227.statevalue,MlE,ME
2546.countytwo,reene ,Greene 
2713.statevalue,X,TX
96.countytwo,Winton ,Winston 
1014.countytwo,Bllitt ,Bullitt 
3182.fipstwo,54051,f54051
458.statefips,45,13
573.statecounty,IAn_Cedar,IA_Cedar
980.statevalue,S,KS
3038.countytwo,Frawnklin ,Franklin 
361.statecounty,AK_Aleutians East Borough,FL_Leon
280.county,Matanuska-Susitna Borough,Jefferson 
2426.statevalue,CS,SC
1493.statevalue,O,MO
2541.fipstwo,bf47049,f47049
606.statefips,44,19
2281.statevalue,AP,PA
680.fipstwo,1f6047,f16047
154.county,Poxpe ,Pope 
484.statefips,71,13
271.county,Juneau City and Borough,Elbert 
205.fipstwo,f02122,f06027
394.fips,2150.0,13003
1408.countytwo,Aduair ,Adair 
2201.county,Paynee ,Payne 
2245.county,olk ,Polk 
2399.county,auco Municipio,Yauco Municipio
2409.countytwo,mBamberg ,Bamberg 
69.fips,2016.0,1079
226.statecounty,AK_Lake and Peninsula Borough,CA_San Benito
992.countytwo,Treog ,Trego 
1703.countytwo,ranville ,Granville 
72.fips,2020.0,1085
2029.county,Osweg o,Oswego 
1852.statecounty,NdE_Garden,NE_Garden
279.statecounty,AR_Craighead,CO_Jackson
298.statecounty,AK_Bristol Bay Borough,CO_Phillips
318.statecounty,AK_Kodiak Island Borough,CT_New Haven
191.statecounty,AK_Northwest Arctic Borough,AZ_Yuma
1597.fipstwo,f82141,f28141
96.statecounty,AK_Bristol Bay Borough,AL_Winston
1058.statecounty,KY_Kentno,KY_Kenton
2604.fipstwo,f4717t5,f47175
327.statecounty,AK_Fairbanks North Star Borough,FL_Baker
117.fips,2020.0,5041
839.fipstwo,pf18073,f18073
1428.statevalue,MhO,MO
3018.fipstwo,51183,f51183
2170.statecounty,K_Harmon,OK_Harmon
3185.statevalue,V,WV
1760.statecounty,NC_Wanye,NC_Wayne
174.fips,2016.0,60030
1715.statevalue,CN,NC
2387.county,San Lorenzo unicipio,San Lorenzo Municipio
169.fipstwo,f01069,f05145
119.fips,2164.0,5045
1762.statecounty,N_Wilson,NC_Wilson
2050.fipstwo,f3617,f36117
808.statevalue,NI,IN
522.county,aTlbot ,Talbot 
3166.statevalue,bWV,WV
1175.fipstwo,f2211h1,f22111
1992.statecounty,YN_Albany,NY_Albany
1412.countytwo,Barr y,Barry 
260.county,Aleutians East Borough,Clear Creek 
668.fipstwo,f1603,f16023
712.statecounty,IL_Clakr,IL_Clark
2688.statecounty,TX_Folyd,TX_Floyd
2491.countytwo,Lincol n,Lincoln 
1517.fipstwo,f2y9219,f29219
342.statecounty,AK_Aleutians East Borough,FL_Flagler
857.countytwo,Morganr ,Morgan 
2081.fipstwo,f30955,f39055
191.fips,2020.0,4027
3195.statecounty,WV_Pocahointas,WV_Pocahontas
799.fipstwo,f71197,f17197
2649.countytwo,Childres ,Childress 
2360.fipstwo,f7c2075,f72075
304.county,Matanuska-Susitna Borough,Routt 
919.countytwo,lk ,Elk 
3226.statevalue,Y,WY
2912.county,Bucghanan ,Buchanan 
388.fips,2060.0,12125
212.statecounty,AK_Bristol Bay Borough,CA_Marin
1717.statevalue,C,NC
2482.countytwo,Hughe s,Hughes 
1925.fipstwo,f43009,f34009
1915.fipstwo,33009,f33009
2561.statevalue,N,TN
1214.statevalue,DM,MD
1631.statevalue,vMT,MT
2472.fipstwo,f46054,f46045
416.countytwo,Chrlton ,Charlton 
319.fips,2198.0,9011
716.countytwo,Coo ,Cook 
405.statevalue,iGA,GA
571.statefips,40,19
2218.statevalue,KO,OK
403.fips,1001.0,13021
938.county,Jeffersomn ,Jefferson 
954.county,eade ,Meade 
3095.countytwo,Clrak ,Clark 
2264.countytwo,Butle r,Butler 
267.fipstwo,f02150,f08033
1270.statecounty,MI_Inghma,MI_Ingham
258.fips,2070.0,8015
324.fips,5087.0,10003
3227.fipstwo,f5029,f56029
2416.countytwo,Cehster ,Chester 
338.statecounty,AK_Anchorage Municipality,FL_DeSoto
524.statefips,97,13
251.fips,2180.0,8003
127.statefips,2.0,5
1040.countytwo,Gran t,Grant 
450.fipstwo,rf13117,f13117
2176.statevalue,KO,OK
3121.statevalue,IW,WI
350.statevalue,L,FL
3013.countytwo,potsylvania ,Spotsylvania 
235.statevalue,CkA,CA
2778.statevalue,X,TX
2620.countytwo,Bailye ,Bailey 
719.statevalue,L,IL
651.fipstwo,f91187,f19187
542.statecounty,GrA_Washington,GA_Washington
1671.statevalue,pNC,NC
311.statecounty,AK_Aleutians West Census Area,CO_Washington
1331.countytwo,Cas s,Cass 
3190.countytwo,Morga n,Morgan 
2529.statecounty,TN_Claibore,TN_Claiborne
1292.county,eMnominee ,Menominee 
2453.fipstwo,f46070,f46007
329.fips,2164.0,12007
2825.countytwo,tarr ,Starr 
657.county,Aa ,Ada 
318.fipstwo,f02188,f09009
391.fips,2060.0,12131
2164.countytwo,Exllis ,Ellis 
1676.countytwo,Burk e,Burke 
120.county,Kodiak Island Borough,Franklin 
663.statevalue,D,ID
856.statevalue,uIN,IN
3126.fipstwo,f550q79,f55079
179.fips,2020.0,4005
815.countytwo,Crawforvd ,Crawford 
2096.county,ake ,Lake 
2078.statevalue,HO,OH
291.fipstwo,f01041,f08081
624.fipstwo,fm19133,f19133
2361.fipstwo,72077,f72077
358.statecounty,AK_Matanuska-Susitna Borough,FL_Lafayette
3146.statevalue,WsI,WI
509.statevalue,A,GA
1629.statecounty,vMT_Hill,MT_Hill
2278.county,wElk ,Elk 
969.fipstwo,f2014p9,f20149
3016.fipstwo,fk51800,f51800
2554.countytwo,Haydwood ,Haywood 
703.statevalue,LI,IL
710.fipstwo,f17x019,f17019
491.statefips,87,13
1588.fipstwo,f2123,f28123
2862.countytwo,Yoaum ,Yoakum 
186.statecounty,AL_Covington,AZ_Navajo
84.statefips,2.0,1
319.statecounty,AK_Wrangell City and Borough,CT_New London
2494.county,cCook ,McCook 
3148.county,Verrnon ,Vernon 
755.statevalue,LI,IL
263.statefips,2.0,8
2639.countytwo,Calwdell ,Caldwell 
1622.statecounty,MT_Fegrgus,MT_Fergus
2965.fipstwo,f511z05,f51105
71.statevalue,L,AL
250.fipstwo,f02020,f08001
1803.county,Rihcland ,Richland 
816.county,Davies s,Daviess 
2346.fipstwo,f2049,f72049
607.statevalue,AI,IA
717.countytwo,Crafword ,Crawford 
1975.statevalue,NyV,NV
2979.county,elson ,Nelson 
728.countytwo,Fraknlin ,Franklin 
1563.fipstwo,f82073,f28073
470.statefips,92,13
2922.statevalue,lVA,VA
1256.statevalue,uMI,MI
244.statefips,2.0,6
618.statefips,101,19
696.fipstwo,1f6079,f16079
1423.statevalue,OM,MO
2008.countytwo,Frnaklin ,Franklin 
247.fipstwo,f05075,f06111
223.statecounty,AK_Juneau City and Borough,CA_Plumas
254.county,Aleutians West Census Area,Baca 
2803.fipstwo,f8383,f48383
705.statecounty,L_Brown,IL_Brown
412.statecounty,AK_Yakutat City and Borough,GA_Camden
209.countytwo,cLassen ,Lassen 
231.fips,2090.0,6079
683.fipstwo,f61053,f16053
2506.county,Shalnnon ,Shannon 
2209.fipstwo,f40315,f40135
692.countytwo,neida ,Oneida 
414.fips,2016.0,13045
2591.county,Rutherfor d,Rutherford 
282.fips,2060.0,8063
725.statevalue,IdL,IL
852.statevalue,ImN,IN
1688.statecounty,NC_Clumbus,NC_Columbus
501.statefips,43,13
1198.statecounty,MD_Allegvany,MD_Allegany
897.fipstwo,f2005,f20005
75.fipstwo,f01049,f01091
414.statevalue,GyA,GA
708.statecounty,L_Carroll,IL_Carroll
869.fipstwo,f1813,f18133
3152.county,Washingtont ,Washington 
1500.statecounty,MO_Shuyler,MO_Schuyler
2127.countytwo,Seneac ,Seneca 
2274.fipstwo,f4239,f42039
2349.fipstwo,f72504,f72054
194.statecounty,AK_Bristol Bay Borough,CA_Amador
2203.statecounty,OK_oPntotoc,OK_Pontotoc
374.fipstwo,f08019,f12097
402.statecounty,AK_Denali Borough,GA_Berrien
1685.statevalue,CN,NC
2290.countytwo,Lancaste ,Lancaster 
1262.statevalue,IM,MI
1416.county,Bolklinger ,Bollinger 
1651.countytwo,Roosevelft ,Roosevelt 
1946.fipstwo,f30507,f35007
396.statecounty,AK_Bethel Census Area,GA_Baker
161.statefips,2.0,5
104.statefips,2.0,5
2718.countytwo,Henderason ,Henderson 
204.fips,2198.0,6025
1024.countytwo,Clrk ,Clark 
1703.county,Granvilel ,Granville 
1068.statecounty,KY_Lincolon,KY_Lincoln
1681.county,Cashwell ,Caswell 
1453.statevalue,OM,MO
164.fips,6075.0,5123
2667.fipstwo,f48c111,f48111
1283.fipstwo,f2601,f26091
405.fipstwo,f02020,f13025
1279.statecounty,MI_Kweeenaw,MI_Keweenaw
62.county,Anchorage Municipality,Hale 
538.statefips,22,13
27.fips,2105.0,2275
489.statecounty,GA_MDuffie,GA_McDuffie
376.statevalue,LF,FL
1828.statecounty,NE_Burqt,NE_Burt
1223.fipstwo,f2003,f23003
444.statefips,29,13
991.countytwo,Thoma s,Thomas 
1732.county,Oranige ,Orange 
