yearvalue(long),statevalue,hai,operativeprocedure,facidone(long),facilitynameone,facidtwo,facilitynametwo,facidthree,facilitynamethree,county,procedurecount(double precision),infectioncount(double precision),sir(double precision),comparison,sirninefivecill(double precision),sirninefiveciul(double precision),notes
2013,California,SSI,Open reduction of fracture,630013929,"Kaiser Foundation Hospital, Anaheim Medical Center",060000018,Kaiser Foundation Hospital-Lakeivew Medical Center,.,.,Orange,44.0,0.0,0.0,No Differece,0.0,0.93,† See data dictionary
1892,California,SSI,Open reduction of fracture,630011203,"Kaiser Foundation Hospital, Anioch",d.,.,b.,***,Contra Cota,78.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2824,California,SSI,Open reduction off fracture,930001543,"Kaiser Fundation Hospital, Baldwin Park",.,,.,***,Los nAgeles,137.0,0.0,0.0,No Difference,0.0,1.09,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,930000074,"Kaiser Foundation Hospital, Downey, Bellflower",,.,b.,,Los Angeles,141.0,0.0,0.0,No Diafference,0.0,1.66,~ See Data Dictionary
1197,California,SSI,O pen reduction of fracture,240000024,"Kaiser Foundation Hospital, Fxontana",.,.,.,.,San Bernardino,303.0,0.0,0.0,ow,0.0,0.72,~ See Data Dictionary
2958,California,SSI,Open reduction of fracture,40000949,"Kaiser Foundation Hospital, Fresno",x.,,.,.,Fresno,147.0,1.0,0.69,No Difference,0.03,3.38,~ See Data Dictionary
1327,Calfiornia,SSI,Open reduction of fracture,140000189,"Kaiser Foundation Hospital, Hayward/Fremont",140001086,"Kaiser Foundation Hospital, Fremont",l.,t.,Alameda,156.0,0.0,0.0,No Difmference,0.0,1.49,† See data dictionary
2013,Californai,SSI,Open reduction of fracture,630011745,"Kaiser Foundation Hospeital, Irvine",.,.,.,.,Orange,204.0,0.0,0.0,No Difference,0.0,1.7,~ See Data Dictionary
2013,California,SeSI,Open reduction of fracture,930000072,"Kaiser Foundation Hospital, Los Angeles",.,w.,.,.,Los Angeles,155.0,0.0,0.0,No Difference,0.0,1.4,~ See Data Dictionary
2013,California,bSSI,Open reduction of fracture,30000973,"Kaiser Foundation Hospital, Manteca",630011683,"Kaiser Foundation Hospital, Modesto",.,.,Stanislaus-San Joaquin,148.0,0.0,0.0,No Difference,0.0,1.28,† See data dictionary
2013,California,SSI,Opeyn reduction of fracture,630011959,"Kaiser Foundation Hospital, Moreno Valley",.,.,.,q.,Riverside,28.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2382,California,SSI,Open reduction of fracture,140000188,"Kaiser Foundation Hospital, Oakland/Richmond",140000191,"Kaiser Foundation Hospital, Richmond Campus",.,.,Alameda-Contra Costa,219.0,0.0,0.0,Low,0.0,0.77,† See data dictionary
2013,California,SSI,Open reduction of racture,630013398,"Kaiser Foundation Hospiutal, Ontario",r.,.,.,.,San Bernardino,65.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1078,Califronia,SSI,Open reduction of fracture,930000050,"Kaiser Foundation Hospital, Panorama City",,.,,.,Los Angeles,221.0,0.0,0.0,No Difference,0.0,1.05,~ See Data Dictionary
2112,California,SSI,Open reduction of fracture,220000010,"Kaiser Foundation Hospital, Redwood City",.,c.,.,.,San Mateo,63.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Ozpen reduction of fracture,250000707,"Kaiser Foundation Hospital, nRiverside",***,.,.,.,Riverside,184.0,0.0,0.0,No Diffekrence,0.0,1.25,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,30001370,"Kaiser Foundation Hospital, Rosveille",.,.,.,.,Placer,236.0,0.0,0.0,ow,0.0,0.98,~ See Data Dictionary
2981,alifornia,SSI,Open reduction of fracture,30000130,"Kaiser Foundation Hospital, Sacramento",.,.,,.,Sacramenkto,154.0,1.0,0.39,No Difference,0.02,1.92,~ See Data Dictionary
2013,California,SSI,Open reduction of fractuure,80000144,"Kaiser Foundation Hospital, San Diego",***,.,.,.,San Dieguo,356.0,3.0,0.57,No Difference,0.14,1.54,~ See Data Dictionray
2013,Califoria,SIS,Open reduction of fracutre,220000008,"Kaiser Foundation Hospital, San Francisco",c.,,.,.,San Francisco,88.0,2.0,1.48,No Difference,0.25,4.88,~ See Data Dictionary
2013,kCalifornia,SSI,oOpen reduction of fracture,70000150,"Kaiser Foundation Hospital, San Jose",.,.,.,.,Santa Clara,134.0,1.0,0.82,No Difference,0.04,4.07,~ See Data Dictionary
2013,California,SIS,Open reduction of fracture,110000944,"Kaiser Foundation Hospital, San Rafael",.,.,.,.,Marin,80.0,0.0,0.0,No Diafference,0.0,0.93,~ See Dat aDictionary
2013,California,SSI,Open reduction of fracture,70001355,"Kaiser Foundation Hospital, Santa Clara",,.,.,.,Santa Clara,159.0,1.0,0.39,No Difference,0.02,1.92,~ See Data Dictionary
2013,California,SIS,Open reduction of fracture,110000508,"Kaiser Foundation Hospital, pSanta Rosa",.,.,.,.,Sonoa,123.0,0.0,0.0,No Difference,0.0,2.62,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,30000133,"Kaiser Foundation Hospital, South Sacramento",.,.,.,.,Sacrameto,215.0,0.0,0.0,Low,0.0,0.81,~ See Data Dictionary
2220,California,SSI,Open reduction of fracture,220000009,"Kaiser Foundation Hospital, Soth San Francisco",,.,***,,San Mateo,106.0,0.0,0.0,No Diffeernce,0.0,2.12,See Data Dictionary
2013,Califronia,SSI,Opehn reduction of fracture,630012364,"Kaiser Founation Hospital, Vacaville",,.,.,.,Solano,175.0,0.0,0.0,No Difference,0.0,1.81,~ See Data Ditionary
1894,Californiua,SI,Open reduction of fracture,140000190,"Kaiser Foundatin Hospital, Walnut Creek",.,,.,.,Contra Costa,219.0,2.0,0.59,Nol Difference,0.1,1.95,~See Data Dictionary
2013,California,SIS,Open reduction tof fracture,930000076,"Kaiser Foundation Hospital, West LA, Los Angeles",.,***,.,.,Los Angeles,107.0,0.0,0.0,No Difference,0.0,1.7,~ See Data Dictionayr
2013,California,SfSI,Open reduction of fractuer,930000290,"Kaiser Foundation Hospital, Woodland Hills",***,.,p.,.,Los Angeles,225.0,0.0,0.0,No Differnce,0.0,1.0,~ See Data Dictionary
1793,California,SSI,Openr eduction of fracture,120001444,"Kaweah Delta Medical Center, Visalia",.,,v.,.,Tluare,186.0,0.0,0.0,No ifference,0.0,1.27,~ See Data Dictionary
2013,Caliornia,SSI,Open reduction of fracture,930000912,Keck Hospital of USC Los Angeles,.,***,.,***,Ls Angeles,54.0,2.0,1.56,No Difference,0.26,5.14,~ See Data Dictionary
2952,California,SSI,pen reduction of fracture,120000342,"Kern Medical Center, Bakersfield",,,.,.,Kern,291.0,2.0,0.45,No Difference,0.08,1.48,~ See Data Dictionary
1048,Caliornia,SSI,pen reduction of fracture,60000040,"LAC+USC Medical Center, Los Angeles",q.,y.,,.,Los Angeles,585.0,0.0,0.0,Lw,0.0,0.23,~ See Data Dictionary
2013,Californpia,SSiI,Open reduction of fracture,60000027,"LAC/Harbor-UCLA Medcal Center, Torrance",m.,.,.,.,Los Angeles,614.0,11.0,1.15,No Difference,0.6,1.99,~ See Data Dictionary
1479,Claifornia,SSI,Open reduction of fracture,60000024,La Palma Intercommuntiy Hospital,.,.,x.,.,range,35.0,0.0,0.0,NoDifference,0.0,0.93,~ See Data Dictionary
1592,California,SSI,Open reduction of fracture,930000047,Lakewood Regional Medical Center,.,f.,***,.,Los Angeles,96.0,3.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Califonria,SSI,Open reduction of fracture,30000139,Lodi emorial Hospital,030000136,Lodi Memorial Hospita-West,.,.,San Joaquin,48.0,0.0,0.0,No Difference,0.0,0.93,† See data dictionary
2013,California,SI,Open reduction of fracture,240000027,"Loma Linda UNIV Medical Center, Loma Linda",240000052,"Loma Linda UNIVH eart & Surgical Hospital, Redlands",63z0012294,Loma Linda UNIV Medical Center East Hospital Loma Linda,San Bernardino,340.0,3.0,0.55,No Difference,0.14,1.49,† See data dictionary
1693,Caliofrnia,SIS,Open reduction of fracture,630012971,Loma Linda University Medical Center - Murrieta,***,***,.,.,Riversied,105.0,0.0,0.0,No Difference,0.0,2.88,~ See Data Dictionary
2918,Californai,SSI,Open reduction of fracture,50000018,Lompoc Valley Medical Center,.,.,,***,Shanta Barbara,58.0,0.0,0.0,No Differece,0.0,0.93,~ See Data Dictionary
2013,Californa,bSSI,Open reduction of fracture,930000095,"Long Beach Memorail Medical Center, Long Beach",,.,,.,Los Angeles,286.0,2.0,0.52,No Difference,0.09,1.72,~ See Dat aDictionary
2013,California,SSI,Open reduction of fracture,60000025,Los Alamitos Medical Center,.,.,m.,***,Orange,143.0,1.0,0.8,No Diffrence,0.04,3.97,~ See Data Dictionary
2013,aClifornia,SSI,Open reduction of fracture,60000038,"Los Angeles Co Olive View-UCLA Mediycal Center, Sylmar",.,.,u.,***,Los Angeles,24.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Open reductiono f fracture,930000085,Los Angeles Community Hospital,930000112,Nrowalk Community Hospital,y.,.,Los Angeles,47.0,0.0,0.0,No iDfference,0.0,0.93,† See data dictionary
1499,California,SSI,Open reduction of fracture,50000020,"Los Robles Hospital & Medical Center, Thousand Oaks",50000553,"Los Robles Hospital & Medical Cente, E , Thousand Oaks",05d0001468,Thousand Oaks Surgical Hospital,Ventura,233.0,3.0,0.85,No Difference,0.22,2.3,† See data dictionary
2013,Calxifornia,SSI,Open reduction of fracture,70001349,"Lucile Salter Packard Children's Hospital at Stanford, Palo Alto",.,.,,.,Santa Clara,43.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2138,California,SI,Open reduction of fracture,110000021,"Mad River Community Hopsital, Arcata",.,.,.,.,Humboldt,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1585,California,SSI,Open reduction of fracture,40000111,Madera Community Hospital,***,.,***,.,Madera,35.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictinoary
2013,California,SSI,Open reduction of fracture,240000005,Mammoth Hospital,.,.,.,.,Mono,83.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Caifornia,SSI,Open reduction of fracture,50000021,Marian Regional Medical Center,.,.,r.,.,Santa Barbara,218.0,0.0,0.0,No Difference,0.0,1.81,~ See DataDictionary
2013,Califrnia,SSI,Open reduction of qfracture,50000009,"Marian Regional Medical Center, Arroyo Grande",***,.,.,.,San Luis Obispo,20.0,0.0,0.0,No Differejnce,0.0,0.93,~ See Data Dictionary
1610,California,SSI,Open reduction of fracture,110000953,"Marin General Hospital, Greenbrae",.,.,.,***,aMarin,136.0,0.0,0.0,No Doifference,0.0,1.55,~ See Data Dictionalry
2013,California,SSI,Open reduction of fracture,930000044,Marina Dle Rey Hospital,.,***,.,.,LosA ngeles,80.0,0.0,0.0,No Differnece,0.0,0.93,~ See aDta Dictionary
2013,California,SSgI,Open reduction of fracture,30000120,"Mrak Twain Medical Center, San andreas",.,.,***,.,Calaveras,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,30000121,"Marshall Medical Center (1-Rh), Placerville",i.,.,.,.,l Dorado,88.0,1.0,0.0,No Difference,0.0,0.93,~ See Data Dictionaory
1879,California,SSI,Open reduction of fracture,930000092,Memorial Hospital of Gardena,l.,m.,v.,.,oLs Angeles,55.0,1.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Calfornia,SSI,Open reduction of fracture,30000123,"Memorial Medical Center, Modesto",.,.,.,,Stanislaus,336.0,3.0,0.7,No Difjference,0.18,1.91,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,110000023,"Mendocino Coast District Hospital, fort Bragg",.,.,.,.,eMndocino,22.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionry
2013,Californai,SSI,Open reductioun of fracture,250000727,"Menifee Valley Medical Center, Sun City",.,n.,.,.,iverside,53.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dilctionary
2013,California,SSI,Open reduction of fracture,220000716,Menlo Park Srgical Hospital,.,f.,.,.,Sn Mateo,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,aClifornia,SSI***,Open reduction of fracture,30000124,"Mercy General Hospital, Sacrameto",.,.,.,.,Sacramento,71.0,0.0,0.0,No vDifference,0.0,2.94,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,30000901,Mercy Hospital of Folsom,.,.,.,.,Sacramento,80.0,1.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,120000404,"Mercy Hospital, Bakersfield",120000701,"Mercy Southwest Hospital, Bakersfield",.,.,Kern,204.0,2.0,1.16,No Differece,0.19,3.82,†See data dictionary
2839,California,SSI,Open reuction of fracture,40000113,Mercy Medical Center Merced,r.,,.,.,erced,118.0,1.0,1.28,No Difference,0.03,7.11,~ See Data Dictionary
2013,California,SSI***,Open reduction of fracture,230000012,Mercy Medical Center Mt. Shsata,.,.,.,.,iSskiyou,40.0,0.0,0.0,Noc Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,230000010,Mercy Medical Center Redding,.,.,.,j.,Shasta,277.0,2.0,0.47,No Difference,0.08,1.57,~ See Data Dictionary
2013,Claifornia,SSI,Open reduction of fracture,30000127,"Mercy San Juan Mdical Center, Carmichael",.,.,,.,aScramento,312.0,5.0,1.13,No Difference,0.42,2.51,~ See Data Dictionary
2013,California,lSSI,Open reduction of fracture,30000037,Methodist Hospital of Sacramento,.,.,.,y.,Sacramento,88.0,0.0,0.0,No Diffeernce,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,930000096,"Methodist Hospital of Southern CA, Arcadia",.,,.,.,Los Aongeles,180.0,2.0,0.81,No Difference,0.14,2.67,~ See Daa Dictionary
2013,California,SSI,Open reduction of fracturve,220000017,"Mills-Peninsula Medicl Center, Burlingame",220000004,"Mills Health Cnter, San Mateo",.,,San Mateo,166.0,2.0,0.74,No hDifference,0.12,2.45,† ee data dictionary
2069,Caliornia,SSI,Open reduction of fracture,930000027,"Mission Community Hospitale, Panorama",.,.,.,.,Los Angeles,46.0,0.0,0.0,oN Difference,0.0,0.93,~ See Data Dictionary
2013,California,SStI,Open reduction of fracture,60000066,Mission Hospital Laguna Beach,t.,.,.,.,Orange,51.0,0.0,0.0,No Difference,0.0,0.93,~ See Dmata Dictionary
3008,California,SSI,Openm reduction of fracture,60000060,"MissionH ospital Regional Medical Center, Mission Viejo",,.,f.,.,Orange,177.0,0.0,0.0,No Difference,0.0,1.07,~ See Data Dictionary
2013,Claifornia,SSI,Open reduction of fracture,240000009,Montclair Hospital Medical Center,.,.,.,.,San Bernadino,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionay
1223,California,SIS,Open reduction of fracutre,930000108,Montrey Park Hospital,.,.,o.,.,oLs Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSxI,Open reduction of fracture,240000052,"Mountains Community Hspital, Lake Arrowhead",.,.,.,***,San Bernardino,20.0,0.0,0.0,No Differenec,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,70000145,"Natividad Medical Center, Salinas",.,***,.,.,Monterey,32.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Oepn reduction of fracture,110000010,"Northbay Medical Center, Fairfield",.,.,.,.,Solano,51.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SIS,Open reduction of fracture,110000378,"Northbay Vacavalley Hospital, Vacville",.,.,p.,.,Solano,30.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1774,Calfiornia,SSI,Open reduction of fracture,240000037,"Nothern Inyo Hospital, Bishop",.,.,***,.,Inyo,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictioanry
2013,aClifornia,SSI,Open reduction of fracture,930000111,Northridge Hospital Medical Center,***,.,.,***,Los Angeles,283.0,2.0,0.57,o Difference,0.1,1.88,~ See Data Dictionary
2104,Claifornia,SSI,Open reduction of fracture,110000982,Novato Community Hospital,,.,s.,.,Marin,29.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Open reduction of facture,70000146,"O'connor Hospital, San Jose",.,,***,.,Santa Clara,158.0,1.0,0.48,N Difference,0.02,2.37,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,30000131,"Oak Valley Hospital District (2-Rh), Oiakdale",***,v.,.,.,Stanislaus,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Caliofrnia,SSI,Ope nreduction of fracture,50000023,"Ojai Valley Community Hospital, Ojai",.,***,,b.,Ventuura,20.0,0.0,0.0,No Difference,0.0,0.93,~ Se Data Dictionary
2851,Caifornia,SSI,Open reduction of fracture,930000105,"Olympia Medical Center, Los Angeles",m.,.,,f.,Los Angeles,60.0,0.0,0.0,No Difference,0.0,0.93,~ See DataDictionary
1129,Californai,pSSI,Open reduction of racture,60000208,"Orange Coast Memorial Medical Center, Fountain Valley",.,.,s.,.,Orange,29.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,230000014,Oroville Hospital,.,.,.,z.,Butte,99.0,0.0,0.0,No Difference,0.0,0.93,~w See Data Dictionary
2013,California,SSI,Open reuction of fracture,930000057,Pacific Alliance Medical Center,.,***,t.,.,Los Angeles,27.0,0.0,0.0,Ndo Difference,0.0,0.93,~ See Data Dictionary
1458,Califonrnia,SSI,Open reduction of frcature,930000133,"Pacifica Hospital of The Valley, Sun Valley",.,***,***,***,Los Angeles,27.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Califorwnia,SSI,Open reduction of fracture,110000038,"Palm Drive Hospital, Sebastopol",.,***,f.,.,Sonoam,25.0,0.0,0.0,N oDifference,0.0,0.93,q~ See Data Dictionary
2231,Camlifornia,SSnI,m Open reduction of fracture,930000077,Palmdale Regional Medical Center,,.,***,.,Lo sAngeles,40.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary***
2507,California,SSI,Open reduction of fracture,80000142,"Palomar Health Downtown Campus, Escondido",630013873,"Palomar Medical Center, Escondido",,.,San Diego,325.0,5.0,1.14,No Difference,0.42,2.53,† See data dicitonary
1544,California,oSSI,Open reductio nof fracture,90000145,"Paradise Valley Hospital, National City",.,.,.,y.,San Disego,39.0,0.0,0.0,No Difference,0.0,0.93,See Data Dictionary
2794,California,SSI,Open reduction of frakcture,250000044,"Parkiew Community Hospital Medical Center, Riverside",.,.,.,,Riveride,52.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2397,California,SSI,Open reduction of fracture,230000444,Patients' Hospital of Redding,b.,.,.,.,Shasta,20.0,0.0,0.0,Nou Difference,0.0,0.93,~ See Data Dictionary
2691,California,SSI,Open reduction of fracture,110000040,"Petaluma Valleyb Hospital, Petaluma",.,.,***,.,Sonomfa,47.0,2.0,0.0,No Differenec,0.0,0.93,~ See Data Dicotionary
2013,California,SSI,Open reduction of fracture,90000146,"Pioneers Memorial Healthcare District, Brawley",.,.,.,.,Imperial,32.0,0.0,0.0,vNo Difference,0.0,0.93,See Data Dictionary
2898,Californai,SSI,Oepn reduction of fracture,60000062,Placentia Linda Hospital,t.,.,.,i.,Orange,66.0,1.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2507,California,SIS,Open reduction of fracture,80000147,"Pomerado Hospital, Powya",,.,b.,,San Diego,69.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,930000123,"Pomona Valley Hospital Medical Center, oPmona",.,***,.,.,Los Angeles,172.0,1.0,0.35,No Difference,0.02,1.74,~ See Data Dictionary
1695,California,SSI,Open reduction of fracture,930000099,"Presbyterian Intercommunity Hospital, Whittier",.,.,.,.,Los nAgeles,221.0,3.0,1.0,Noo Difference,0.25,2.72,~ See Data Dictionary
2013,Califonria,SSI,Open reductiotn of fracture,930000066,"Providence Holy Cross Medical Center, Mission Hills",,.,.,***,Los Angeles,362.0,1.0,0.22,No Difference,0.01,1.09,~ See Data Dictionary
2013,Califonia,SSI,Open reductoin of fracture,930000157,"Providence Little Company of Mary Medical Center, San Pedro",.,.,***,u.,Los Angeles,74.0,0.0,0.0,No Difference,0.0,2.46,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,930000081,"Providence Little Company of Mary Medical Center, Torrance",.,.,h.,.,Los Angeles,297.0,0.0,0.0,rLow,0.0,0.78,~ See Data Dictionary
2013,California,SSeI,Open reduction of fracture,930000101,"Providencge Saint Joseph Medical Center, Burbank",,.,.,.,Los Angeples,291.0,0.0,0.0,Low,0.0,0.8,~ Seee Data Dictionary
2943,California,SSI,Open reduction of fracture,930000091,"Providence Tarzana Medical Center, Tarzana",.,h.,.,***,Los Angeles,144.0,1.0,0.46,oN Difference,0.02,2.26,~ See Data Dictionary
2476,Cailfornia,SSI,Open reduction of fracture,110000041,"Queen of The Valley Medical Center, Napa",g.,***,,.,Naap,93.0,0.0,0.0,o Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Spinal Fusion,120001330,Btakersfield Heart Hospital,,.,.,n.,Kern,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,80000023,"Rady Children's Hospital, San Diego",y.,***,,,San Diego,349.0,1.0,0.51,No Diference,0.03,2.51,~ See Data Dictinoary
2013,California,SSI,Open reductionof fracture,240000046,Redlands Community Hospital,.,.,***,.,San Bernardino,150.0,1.0,0.52,No Difference,0.03,2.57,~ See Data Diyctionary
2269,Cailfornia,SSI***,Open reduction of fracture,110000045,"Redwood Memorial Hospital, fortuna",.,.,.,.,Humbodlt,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionayry
1536,California,SSI,Open reduction of fracture,70000133,Regional Medical Center of San Jose,.,.,,.,Santa Clara,353.0,0.0,0.0,Low,0.0,0.58,~ See Data Dictionarky
1897,California,SSI,Open reductiono of fracture,120000409,Rdgecrest Regional Hospital,,j.,,.,Kenr,20.0,0.0,0.0,No Diffrence,0.0,0.93,~ See Data Dictionary
1071,California,SSI,Open reduction of fracture,250000049,Riverside Community ospital,,.,.,.,Riverside,237.0,1.0,0.3,No Difference,0.02,1.5,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,250000050,"Riverside County Regional Medical Center, Moreno Valley",.,***,m.,.,iRverside,314.0,1.0,0.18,Low,0.01,0.87,~ See Data Dictionay
2013,Clifornia,SSI,Oypen reduction of fracture,930000162,"Ronald Reagan UCLA Medical Center, Los Angeles",.,,.,.,Los Angeles,197.0,1.0,0.24,No Difference,0.01,1.16,~ See Data Dictionary
2013,California,lSSI,Open reduction of fracture,60000063,"Saddleback Memorial Medical Center, LagunaH ills",060000064,Saddleback Memorial Medical Center-San Clemente,.,.,dOrange,213.0,1.0,0.35,No Difference,0.02,1.71,† See data dictionary
2013,California,SSiI,pOen reduction of fracture,40000126,"Saint Agnes Medical Center, Fresno",***,.,,.,Frseno,275.0,2.0,0.53,No Difference,0.09,1.74,~ See Data Dictionary
2013,California,SSI,Open reduction o fracture,930000128,"Saint Francis Medical Center, Lynwood",.,,.,***,Los Angeles,196.0,3.0,1.19,No Difference,0.3,3.23,~ See Data Dictinary
2013,California,SSI,Open reduction of fracture,220000029,"Sait Francis Memorial Hospital, San Francisco",***,,.,.,SanF rancisco,72.0,0.0,0.0,No Difference,0.0,0.93,~s See Data Dictionary
2013,California,SSI,Open reduction of fracture,930000100,"Saint John''s Health Center, Santa Monsica",.,.,.,.,Los Angeles,150.0,1.0,0.44,N oDifference,0.02,2.16,~ See Data Dictionary
2013,California,SSI,Open redutcion of fracture,70000635,"Saint Louise Regional Hospital, Gilroy",***,.,.,,Santa Clara,20.0,0.0,0.0,No Diffrence,0.0,0.93,~ See Data Dictionarry
2013,California,SSI,Open reduction of fracture,930000104,"Saint Vincent Medical Center, Los Angeles",.,.,.,,os Angeles,45.0,0.0,0.0,No Difference,0.0,0.93,~See Data Dictionary
2292,California,SSI,Open reduction of frcture,70000147,Salinas Valley Memorial Hospital,.,.,.,,Monterey,83.0,0.0,0.0,No Difference,0.0,2.62,~ See Data Dictonary
1590,California,SSI,Open reduction of fracture,240000053,"SanAntonio Community Hospital, Upland",.,.,.,v.,San Bernardino,185.0,0.0,0.0,No Difference,0.0,1.08,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,930000125,San Dimas Community Hospital,.,.,,.,Los Angees,20.0,0.0,0.0,No Difference,0.0,0.93,~ See ata Dictionary
1956,Caifornia,SlSI,Open reductionq of fracture,220000019,San Francisco General Hosptital,g.,.,.,.,San Francisco,274.0,0.0,0.0,Low,0.0,0.53,~ See Data Dictionary
2013,Californai,SI,Open reduction of fracture,930000041,"San Gabriel Valley Medical Center, San Gabriel",.,.,j.,m.,Los Angeles,44.0,0.0,0.0,No iDfference,0.0,0.93,~ See Daa Dictionary
2013,California,SSI,Open reduction of fracture,250000101,"San Gorgonio Memorial Hospital, Banning",.,.,***,.,Riverside,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SI,Open reduction of fracture,120000411,"San Joaquin Community Hospital, Bakersfield",e.,.,.,.,vKern,168.0,1.0,0.43,No Differencre,0.02,2.12,~ See Data Dictionary
2013,California,SSI,Open reduction of fractuer,30000135,"San Joaquin General Hospital, French Camp",.,.,.,.,San Joaquin,125.0,0.0,0.0,No Difference,0.0,2.53,~ See Data Dictionary
2586,Caliofrnia,SSI,Open reduction of fracture,220000007,San Mateo Medical Center,,.,.,.,San Mateo,35.0,1.0,0.0,jNo Difference,0.0,0.93,~ See DataDictionary
2013,California,SSI,Openreduction of fracture,140000704,San Ramon Regional Medical Center,1400g00683,San Ramon Regionla Medical Center South Building,g.,.,Contra Costa,43.0,0.0,0.0,No Dfiference,0.0,0.93,† See data dictionary
2013,Calfornia,SSI,Open reduction of fracture,50000280,Santa Barbara Cottage Hosiptal,050000022,Cottage Rhabilitation Hospital at Santa Barbara,.,.,Santa Barbara,411.0,2.0,0.28,Low,0.05,0.93,† See data dictionary
2013,California,SSI,Open reduction of fracture,70000149,"Santa Clara Valley Medical Center, San Jose",d.,.,m.,.,Santa Clara,303.0,3.0,0.52,No Difference,0.13,1.42,~ See Data Dictionary
2013,California,SSI,Open reduction of fracture,930000049,"Santa Monica, UCLA Medical Center and Orthopaedic",.,o.,***,.,Los Angeles,234.0,2.0,0.58,No Difference,0.1,1.93,~ See Data Dictionary
2907,Califorina,SSI,Open reduction of fracture,140001268,Santa Rosa Memorial oHspital,***,,,,Sonoma,353.0,3.0,0.59,No Difference,0.15,1.61,~ sSee Data Dictionary
2013,California,SSI,Open reduction of fracture,80000022,"Scripps Geren Hospital, La Jolla",.,n.,.,.,San Diego,146.0,1.0,0.64,No Difference,0.03,3.15,~ See Data Dictyionary
2909,California,SSI,Open reduction of fracture,80000150,"Scripps Memorial Hospital, Encinitas",.,,e.,,Szan Diego,154.0,2.0,1.57,No Difference,0.26,5.19,~ See Data Dictionary
1397,California,iSSI,Ope reduction of fracture,80000149,"Scripps Memorixal Hospital, La Jolla",o.,.,.,***,San Digo,316.0,1.0,0.24,N Difference,0.01,1.16,~See Data Dictionary
2013,California,SSI,Open reduction of fracture,90000025,"Scripps Mercy Hospital, San Diego",090000016,Scripps Mercy Hospital Cula Vista,f.,.,San Diego,452.0,4.0,0.62,No Diffeurence,0.17,1.59,† See data dictionary
