full_street_name,street_name,street_type,post_direction
I-80 E OFF RAMP,I-80 E OFF,RAMP,NULL
I-80 E ON RAMP,I-80 E ON,RAMP,NULL
I-80 EASTBOUND,I-80 EASTBOUND,NULL,NULL
I-80 TO HWY 101 RAMP,I-80 TO HWY 101,RAMP,NULL
I-80 W OFF RAMP,I-80 W OFF,RAMP,NULL
I-80 W ON RAMP,I-80 W ON,RAMP,NULL
I-80 WESTBOUND,I-80 WESTBOUND,NULL,NULL
ICEHOUSE ALY,ICEHOUSE,ALY,NULL
IDORA AVE,IDORA,AVE,NULL
IGNACIO AVE,IGNACIO,AVE,NULL
ILLINOIS ST,ILLINOIS,ST,NULL
ILS LN,ILS,LN,NULL
IMPERIAL ALY,IMPERIAL,ALY,NULL
INA CT,INA,CT,NULL
INCA LN,INCA,LN,NULL
INCINERATOR RD,INCINERATOR,RD,NULL
INDIA ST,INDIA,ST,NULL
INDIANA ST,INDIANA,ST,NULL
INDUSTRIAL ST,INDUSTRIAL,ST,NULL
INDUSTRIAL ST OFF RAMP,INDUSTRIAL ST OFF,RAMP,NULL
INDUSTRIAL ST ON RAMP,INDUSTRIAL ST ON,RAMP,NULL
INFANTRY TER,INFANTRY,TER,NULL
INGALLS ST,INGALLS,ST,NULL
INGERSON AVE,INGERSON,AVE,NULL
INGLESIDE PATH,INGLESIDE,PATH,NULL
INNES AVE,INNES,AVE,NULL
PHILLIPS LN,PHILLIPS,LN,NULL
INVERNESS DR,INVERNESS,DR,NULL
IOWA ST,IOWA,ST,NULL
IRIS AVE,IRIS,AVE,NULL
IRON ALY,IRON,ALY,NULL
BRUTON ST,BRUTON,ST,NULL
IRVING ST,IRVING,ST,NULL
IRWIN ST,IRWIN,ST,NULL
ISADORA DUNCAN LN,ISADORA DUNCAN,LN,NULL
ISIS ST,ISIS,ST,NULL
ISLAIS ST,ISLAIS,ST,NULL
ISOLA WAY,ISOLA,WAY,NULL
ISSLEIB AVE,ISSLEIB,AVE,NULL
ITALY AVE,ITALY,AVE,NULL
IVY ST,IVY,ST,NULL
J ST,J,ST,NULL
JACK BALESTRERI WAY,JACK BALESTRERI,WAY,NULL
JACK KEROUAC ALY,JACK KEROUAC,ALY,NULL
JACK LONDON ALY,JACK LONDON,ALY,NULL
JACK MICHELINE ALY,JACK MICHELINE,ALY,NULL
JACKSON ST,JACKSON,ST,NULL
JADE PL,JADE,PL,NULL
JAKEY CT,JAKEY,CT,NULL
JAMES PL,JAMES,PL,NULL
JAMESTOWN AVE,JAMESTOWN,AVE,NULL
JANSEN ST,JANSEN,ST,NULL
JARBOE AVE,JARBOE,AVE,NULL
JASON CT,JASON,CT,NULL
JASPER PL,JASPER,PL,NULL
JAUSS ST,JAUSS,ST,NULL
JAVA ST,JAVA,ST,NULL
JEAN WAY,JEAN,WAY,NULL
JEFFERSON ST,JEFFERSON,ST,NULL
JENNIFER PL,JENNIFER,PL,NULL
JENNINGS CT,JENNINGS,CT,NULL
JENNINGS ST,JENNINGS,ST,NULL
JEROME ALY,JEROME,ALY,NULL
JERROLD AVE,JERROLD,AVE,NULL
JERSEY ST,JERSEY,ST,NULL
JESSIE ST,JESSIE,ST,NULL
JESSIE EAST ST,JESSIE EAST,ST,NULL
JESSIE WEST ST,JESSIE WEST,ST,NULL
JEWETT ST,JEWETT,ST,NULL
JOHN ST,JOHN,ST,NULL
JOHN F KENNEDY DR,JOHN F KENNEDY,DR,NULL
JOHN F SHELLEY DR,JOHN F SHELLEY,DR,NULL
JOHN MAHER ST,JOHN MAHER,ST,NULL
JOHN MUIR DR,JOHN MUIR,DR,NULL
JOHNSTONE DR,JOHNSTONE,DR,NULL
JOICE ST,JOICE,ST,NULL
JONES ST,JONES,ST,NULL
JOOST AVE,JOOST,AVE,NULL
JORDAN AVE,JORDAN,AVE,NULL
JOSE SARRIA CT,JOSE SARRIA,CT,NULL
JOSEPHA AVE,JOSEPHA,AVE,NULL
JOSIAH AVE,JOSIAH,AVE,NULL
JOY ST,JOY,ST,NULL
JUAN BAUTISTA CIR,JUAN BAUTISTA,CIR,NULL
JUDAH ST,JUDAH,ST,NULL
JUDSON AVE,JUDSON,AVE,NULL
JULES AVE,JULES,AVE,NULL
JULIA ST,JULIA,ST,NULL
JULIAN AVE,JULIAN,AVE,NULL
JULIUS ST,JULIUS,ST,NULL
JUNIOR TER,JUNIOR,TER,NULL
JUNIPER ST,JUNIPER,ST,NULL
JUNIPERO SERRA BLVD,JUNIPERO SERRA,BLVD,NULL
JUNIPERO SERRA BLVD OFF RAMP,JUNIPERO SERRA BLVD OFF,RAMP,NULL
JUNIPERO SERRA BLVD ON RAMP,JUNIPERO SERRA BLVD ON,RAMP,NULL
JURI ST,JURI,ST,NULL
JUSTIN DR,JUSTIN,DR,NULL
KALMANOVITZ ST,KALMANOVITZ,ST,NULL
KAMILLE CT,KAMILLE,CT,NULL
KANSAS ST,KANSAS,ST,NULL
KAPLAN LN,KAPLAN,LN,NULL
KAREN CT,KAREN,CT,NULL
KATE ST,KATE,ST,NULL
KEARNY LN,KEARNY,LN,NULL
KEARNY ST,KEARNY,ST,NULL
KEITH ST,KEITH,ST,NULL
KELLOCH AVE,KELLOCH,AVE,NULL
KEMPTON AVE,KEMPTON,AVE,NULL
KENDALL DR,KENDALL,DR,NULL
MRS. JACKSON WAY,MRS. JACKSON,WAY,NULL
KENNETH REXROTH PL,KENNETH REXROTH,PL,NULL
KENNY ALY,KENNY,ALY,NULL
KENSINGTON WAY,KENSINGTON,WAY,NULL
KENT ST,KENT,ST,NULL
KENWOOD WAY,KENWOOD,WAY,NULL
KEPPLER CT,KEPPLER,CT,NULL
KERN ST,KERN,ST,NULL
KEY AVE,KEY,AVE,NULL
KEYES ALY,KEYES,ALY,NULL
KEYES AVE,KEYES,AVE,NULL
KEYSTONE WAY,KEYSTONE,WAY,NULL
KEZAR DR,KEZAR,DR,NULL
KIMBALL PL,KIMBALL,PL,NULL
KING ST,KING,ST,NULL
KINGSTON ST,KINGSTON,ST,NULL
KINZEY ST,KINZEY,ST,NULL
KIRKHAM ST,KIRKHAM,ST,NULL
KIRKWOOD AVE,KIRKWOOD,AVE,NULL
KISKA RD,KISKA,RD,NULL
KISSLING ST,KISSLING,ST,NULL
KITTREDGE TER,KITTREDGE,TER,NULL
KNOCKASH HL,KNOCKASH,HL,NULL
KNOLLVIEW WAY,KNOLLVIEW,WAY,NULL
KNOTT CT,KNOTT,CT,NULL
KOBBE AVE,KOBBE,AVE,NULL
KOHLER PL,KOHLER,PL,NULL
KORET WAY,KORET,WAY,NULL
KRAMER PL,KRAMER,PL,NULL
KRAUSGRILL PL,KRAUSGRILL,PL,NULL
KRONQUIST CT,KRONQUIST,CT,NULL
LA AVANZADA,LA AVANZADA,NULL,NULL
LA BICA WAY,LA BICA,WAY,NULL
LA FERRERA TER,LA FERRERA,TER,NULL
LA GRANDE AVE,LA GRANDE,AVE,NULL
LA PLAYA,LA PLAYA,NULL,NULL
LA SALLE AVE,LA SALLE,AVE,NULL
LAFAYETTE ST,LAFAYETTE,ST,NULL
LAGUNA ST,LAGUNA,ST,NULL
LAGUNA HONDA BLVD,LAGUNA HONDA,BLVD,NULL
LAGUNITAS DR,LAGUNITAS,DR,NULL
LAIDLEY ST,LAIDLEY,ST,NULL
LAKE ST,LAKE,ST,NULL
LAKE FOREST CT,LAKE FOREST,CT,NULL
LAKE MERCED BLVD,LAKE MERCED,BLVD,NULL
LAKE MERCED HILL,LAKE MERCED HILL,NULL,NULL
LAKESHORE DR,LAKESHORE,DR,NULL
LAKESHORE PLZ,LAKESHORE,PLZ,NULL
LAKEVIEW AVE,LAKEVIEW,AVE,NULL
LAKEWOOD AVE,LAKEWOOD,AVE,NULL
LAMARTINE ST,LAMARTINE,ST,NULL
LAMSON LN,LAMSON,LN,NULL
LANCASTER LN,LANCASTER,LN,NULL
LANDERS ST,LANDERS,ST,NULL
LANE ST,LANE,ST,NULL
LANGDON CT,LANGDON,CT,NULL
LANGTON ST,LANGTON,ST,NULL
LANSDALE AVE,LANSDALE,AVE,NULL
KELHAM ST,KELHAM,ST,NULL
HARMONIA ST,HARMONIA,ST,NULL
LANSING ST,LANSING,ST,NULL
LAPHAM WAY,LAPHAM,WAY,NULL
LAPIDGE ST,LAPIDGE,ST,NULL
LAPU-LAPU ST,LAPU-LAPU,ST,NULL
LARCH ST,LARCH,ST,NULL
LARKIN ST,LARKIN,ST,NULL
LAS VILLAS CT,LAS VILLAS,CT,NULL
LASKIE ST,LASKIE,ST,NULL
LASSEN ALY,LASSEN,ALY,NULL
LATHROP AVE,LATHROP,AVE,NULL
LATONA ST,LATONA,ST,NULL
LAURA ST,LAURA,ST,NULL
LAUREL ST,LAUREL,ST,NULL
LAUREN CT,LAUREN,CT,NULL
LAUSSAT ST,LAUSSAT,ST,NULL
LAWRENCE AVE,LAWRENCE,AVE,NULL
LAWTON ST,LAWTON,ST,NULL
LE CONTE AVE,LE CONTE,AVE,NULL
LE CONTE CIR,LE CONTE,CIR,NULL
LEAVENWORTH ST,LEAVENWORTH,ST,NULL
LEDYARD ST,LEDYARD,ST,NULL
LEE AVE,LEE,AVE,NULL
LEESE ST,LEESE,ST,NULL
LEGION CT,LEGION,CT,NULL
LEGION OF HONOR DR,LEGION OF HONOR,DR,NULL
LEIDESDORFF ST,LEIDESDORFF,ST,NULL
LELAND AVE,LELAND,AVE,NULL
LENDRUM CT,LENDRUM,CT,NULL
LENOX WAY,LENOX,WAY,NULL
LEO ST,LEO,ST,NULL
LEONA TER,LEONA,TER,NULL
LEROY PL,LEROY,PL,NULL
LESSING ST,LESSING,ST,NULL
LESTER CT,LESTER,CT,NULL
LETTERMAN DR,LETTERMAN,DR,NULL
LETTERMAN HOSPITAL ACCESS,LETTERMAN HOSPITAL ACCESS,NULL,NULL
BURROWS DR,BURROWS,DR,NULL
LEVANT ST,LEVANT,ST,NULL
LEXINGTON ST,LEXINGTON,ST,NULL
LIBERTY ST,LIBERTY,ST,NULL
LICK PL,LICK,PL,NULL
LIEBIG ST,LIEBIG,ST,NULL
LIGGETT AVE,LIGGETT,AVE,NULL
LILAC ST,LILAC,ST,NULL
LILLIAN ST,LILLIAN,ST,NULL
LILY ST,LILY,ST,NULL
LINARES AVE,LINARES,AVE,NULL
LINCOLN BLVD,LINCOLN,BLVD,NULL
LINCOLN CT,LINCOLN,CT,NULL
LINCOLN WAY,LINCOLN,WAY,NULL
LINDA ST,LINDA,ST,NULL
LINDA VISTA STPS,LINDA VISTA,STPS,NULL
LINDEN ST,LINDEN,ST,NULL
LINDSAY CIR,LINDSAY,CIR,NULL
LIPPARD AVE,LIPPARD,AVE,NULL
LISBON ST,LISBON,ST,NULL
LITTLEFIELD TER,LITTLEFIELD,TER,NULL
LIVINGSTON ST,LIVINGSTON,ST,NULL
LLOYD ST,LLOYD,ST,NULL
LOBOS ST,LOBOS,ST,NULL
LOCKSLEY AVE,LOCKSLEY,AVE,NULL
LOCKWOOD ST,LOCKWOOD,ST,NULL
LOCUST ST,LOCUST,ST,NULL
LOEHR ST,LOEHR,ST,NULL
LOIS LN,LOIS,LN,NULL
LOMA VISTA TER,LOMA VISTA,TER,NULL
LOMBARD ST,LOMBARD,ST,NULL
LOMITA AVE,LOMITA,AVE,NULL
LONDON ST,LONDON,ST,NULL
LONE MOUNTAIN TER,LONE MOUNTAIN,TER,NULL
LONG AVE,LONG,AVE,NULL
LONG BRIDGE ST,LONG BRIDGE,ST,NULL
LONGVIEW CT,LONGVIEW,CT,NULL
LOOMIS ST,LOOMIS,ST,NULL
LOPEZ AVE,LOPEZ,AVE,NULL
LORAINE CT,LORAINE,CT,NULL
LORI LN,LORI,LN,NULL
LOS PALMOS DR,LOS PALMOS,DR,NULL
LOTTIE BENNETT LN,LOTTIE BENNETT,LN,NULL
LOUISBURG ST,LOUISBURG,ST,NULL
LOUISIANA ST,LOUISIANA,ST,NULL
LOWELL ST,LOWELL,ST,NULL
LOWER TER,LOWER,TER,NULL
LOWER FORT MASON ST,LOWER FORT MASON,ST,NULL
LOYOLA TER,LOYOLA,TER,NULL
LUCERNE ST,LUCERNE,ST,NULL
LUCKY ST,LUCKY,ST,NULL
LUCY ST,LUCY,ST,NULL
LUDLOW ALY,LUDLOW,ALY,NULL
LULU ALY,LULU,ALY,NULL
LUNADO CT,LUNADO,CT,NULL
LUNADO WAY,LUNADO,WAY,NULL
LUNDEEN ST,LUNDEEN,ST,NULL
LUNDYS LN,LUNDYS,LN,NULL
LUPINE AVE,LUPINE,AVE,NULL
LURLINE ST,LURLINE,ST,NULL
LURMONT TER,LURMONT,TER,NULL
LUSK ST,LUSK,ST,NULL
LYDIA AVE,LYDIA,AVE,NULL
LYELL ST,LYELL,ST,NULL
LYNCH ST,LYNCH,ST,NULL
LYNDHURST DR,LYNDHURST,DR,NULL
LYON ST,LYON,ST,NULL
LYSETTE ST,LYSETTE,ST,NULL
MABEL ALY,MABEL,ALY,NULL
MABINI ST,MABINI,ST,NULL
MABREY CT,MABREY,CT,NULL
MACALLA CT,MACALLA,CT,NULL
MACALLA RD,MACALLA,RD,NULL
MACARTHUR AVE,MACARTHUR,AVE,NULL
MACEDONIA ST,MACEDONIA,ST,NULL
MACONDRAY LN,MACONDRAY,LN,NULL
MADDUX AVE,MADDUX,AVE,NULL
MADERA ST,MADERA,ST,NULL
MADISON ST,MADISON,ST,NULL
MADRID ST,MADRID,ST,NULL
MADRONE AVE,MADRONE,AVE,NULL
MAGELLAN AVE,MAGELLAN,AVE,NULL
MAGNOLIA ST,MAGNOLIA,ST,NULL
MAHAN ST,MAHAN,ST,NULL
MAIDEN LN,MAIDEN,LN,NULL
MAIN DR,MAIN,DR,NULL
MAIN ST,MAIN,ST,NULL
MAJESTIC AVE,MAJESTIC,AVE,NULL
MALDEN ALY,MALDEN,ALY,NULL
MALLORCA WAY,MALLORCA,WAY,NULL
MALTA DR,MALTA,DR,NULL
MALVINA PL,MALVINA,PL,NULL
MANCHESTER ST,MANCHESTER,ST,NULL
MANDALAY LN,MANDALAY,LN,NULL
MANGELS AVE,MANGELS,AVE,NULL
MANOR DR,MANOR,DR,NULL
MANSEAU ST,MANSEAU,ST,NULL
MANSELL ST,MANSELL,ST,NULL
MANSFIELD ST,MANSFIELD,ST,NULL
MANZANITA AVE,MANZANITA,AVE,NULL
MAPLE ST,MAPLE,ST,NULL
MARCELA AVE,MARCELA,AVE,NULL
MARCY PL,MARCY,PL,NULL
MARENGO ST,MARENGO,ST,NULL
MARGARET AVE,MARGARET,AVE,NULL
MARGRAVE PL,MARGRAVE,PL,NULL
MARIETTA DR,MARIETTA,DR,NULL
MARIN ST,MARIN,ST,NULL
MARINA BLVD,MARINA,BLVD,NULL
MARINA GREEN DR,MARINA GREEN,DR,NULL
MARINE DR,MARINE,DR,NULL
MARINER DR,MARINER,DR,NULL
MARION PL,MARION,PL,NULL
MARIPOSA ST,MARIPOSA,ST,NULL
MARIST CT,MARIST,CT,NULL
MARK LN,MARK,LN,NULL
MARK TWAIN PL,MARK TWAIN,PL,NULL
MARKET ST,MARKET,ST,NULL
MARLIN CT,MARLIN,CT,NULL
MARNE AVE,MARNE,AVE,NULL
MARS ST,MARS,ST,NULL
MARSHALL ST,MARSHALL,ST,NULL
MARSILY ST,MARSILY,ST,NULL
MARSTON AVE,MARSTON,AVE,NULL
MARTHA AVE,MARTHA,AVE,NULL
MARTIN LUTHER KING JR DR,MARTIN LUTHER KING JR,DR,NULL
MARTINEZ ST,MARTINEZ,ST,NULL
MARVEL CT,MARVEL,CT,NULL
MARVIEW WAY,MARVIEW,WAY,NULL
MARY ST,MARY,ST,NULL
MARY TERESA ST,MARY TERESA,ST,NULL
MARYLAND ST,MARYLAND,ST,NULL
MASON CT,MASON,CT,NULL
MASON ST,MASON,ST,NULL
MASONIC AVE,MASONIC,AVE,NULL
MASSACHUSETTS ST,MASSACHUSETTS,ST,NULL
MASSASOIT ST,MASSASOIT,ST,NULL
MATEO ST,MATEO,ST,NULL
MATTHEW CT,MATTHEW,CT,NULL
MAULDIN ST,MAULDIN,ST,NULL
MAXWELL CT,MAXWELL,CT,NULL
MAYFAIR DR,MAYFAIR,DR,NULL
MAYFLOWER ST,MAYFLOWER,ST,NULL
MAYNARD ST,MAYNARD,ST,NULL
MAYWOOD DR,MAYWOOD,DR,NULL
MCALLISTER ST,MCALLISTER,ST,NULL
MCCANN ST,MCCANN,ST,NULL
MCCARTHY AVE,MCCARTHY,AVE,NULL
MCCOPPIN ST,MCCOPPIN,ST,NULL
MCCORMICK ST,MCCORMICK,ST,NULL
MCDONALD ST,MCDONALD,ST,NULL
MCDOWELL AVE,MCDOWELL,AVE,NULL
MCKINLEY AVE,MCKINLEY,AVE,NULL
MCKINNON AVE,MCKINNON,AVE,NULL
MCLAREN AVE,MCLAREN,AVE,NULL
MCLAREN LODGE ACCESS RD,MCLAREN LODGE ACCESS,RD,NULL
MCLEA CT,MCLEA,CT,NULL
MCNAIR CT,MCNAIR,CT,NULL
MCRAE LN,MCRAE,LN,NULL
MCRAE ST,MCRAE,ST,NULL
MEACHAM PL,MEACHAM,PL,NULL
MEADE AVE,MEADE,AVE,NULL
MEADOWBROOK DR,MEADOWBROOK,DR,NULL
MEDA AVE,MEDA,AVE,NULL
MEDAU PL,MEDAU,PL,NULL
MEDICAL CENTER WAY,MEDICAL CENTER,WAY,NULL
MEGAN DR,MEGAN,DR,NULL
MELBA AVE,MELBA,AVE,NULL
MELRA CT,MELRA,CT,NULL
MELROSE AVE,MELROSE,AVE,NULL
MENDELL ST,MENDELL,ST,NULL
MENDOSA AVE,MENDOSA,AVE,NULL
MENOHER LN,MENOHER,LN,NULL
MERCATO CT,MERCATO,CT,NULL
MERCED AVE,MERCED,AVE,NULL
MERCEDES WAY,MERCEDES,WAY,NULL
MERCHANT RD,MERCHANT,RD,NULL
MERCHANT ST,MERCHANT,ST,NULL
MERCURY ST,MERCURY,ST,NULL
MERLIN ST,MERLIN,ST,NULL
MERRIAM LN,MERRIAM,LN,NULL
MERRIE WAY,MERRIE,WAY,NULL
MERRILL ST,MERRILL,ST,NULL
MERRIMAC ST,MERRIMAC,ST,NULL
MERRITT ST,MERRITT,ST,NULL
MERSEY ST,MERSEY,ST,NULL
MESA AVE,MESA,AVE,NULL
MESA ST,MESA,ST,NULL
METSON RD,METSON,RD,NULL
MICHIGAN ST,MICHIGAN,ST,NULL
MIDCREST WAY,MIDCREST,WAY,NULL
MIDDLE POINT RD,MIDDLE POINT,RD,NULL
MIDDLE WEST DR,MIDDLE WEST,DR,NULL
MIDDLEFIELD DR,MIDDLEFIELD,DR,NULL
MIDWAY ST,MIDWAY,ST,NULL
MIGUEL ST,MIGUEL,ST,NULL
MILAN TER,MILAN,TER,NULL
MILES CT,MILES,CT,NULL
MILES ST,MILES,ST,NULL
MILEY ST,MILEY,ST,NULL
MILL ST,MILL,ST,NULL
MILLER PL,MILLER,PL,NULL
MILLER RD,MILLER,RD,NULL
MILLWRIGHT COTTAGE ACCESS RD,MILLWRIGHT COTTAGE ACCESS,RD,NULL
MILTON ST,MILTON,ST,NULL
MINERVA ST,MINERVA,ST,NULL
MINNA ST,MINNA,ST,NULL
MINNESOTA ST,MINNESOTA,ST,NULL
MINT PLZ,MINT,PLZ,NULL
MINT ST,MINT,ST,NULL
MIRABEL AVE,MIRABEL,AVE,NULL
MIRALOMA DR,MIRALOMA,DR,NULL
MIRAMAR AVE,MIRAMAR,AVE,NULL
MIRANDO WAY,MIRANDO,WAY,NULL
MISSION ST,MISSION,ST,NULL
BLOSSOM LN,BLOSSOM,LN,NULL
SIXTH ST,SIXTH,ST,NULL
MISSION BAY CIR,MISSION BAY,CIR,NULL
MISSION BAY DR,MISSION BAY,DR,NULL
IRONWOOD WAY,IRONWOOD,WAY,NULL
CATALINA ST,CATALINA,ST,NULL
MISSION ROCK ST,MISSION ROCK,ST,NULL
MISSISSIPPI ST,MISSISSIPPI,ST,NULL
MISSOURI ST,MISSOURI,ST,NULL
MISTRAL ST,MISTRAL,ST,NULL
MIZPAH ST,MIZPAH,ST,NULL
MODOC AVE,MODOC,AVE,NULL
MOFFITT ST,MOFFITT,ST,NULL
MOJAVE ST,MOJAVE,ST,NULL
MOLIMO DR,MOLIMO,DR,NULL
MONCADA WAY,MONCADA,WAY,NULL
MONETA CT,MONETA,CT,NULL
MONETA WAY,MONETA,WAY,NULL
MONO ST,MONO,ST,NULL
MONTAGUE PL,MONTAGUE,PL,NULL
MONTALVO AVE,MONTALVO,AVE,NULL
MONTANA ST,MONTANA,ST,NULL
MONTCALM ST,MONTCALM,ST,NULL
PARK ST,PARK,ST,NULL
MONTCLAIR TER,MONTCLAIR,TER,NULL
MONTE VISTA DR,MONTE VISTA,DR,NULL
MONTECITO AVE,MONTECITO,AVE,NULL
MONTEREY BLVD,MONTEREY,BLVD,NULL
MONTEZUMA ST,MONTEZUMA,ST,NULL
MONTGOMERY ST,MONTGOMERY,ST,NULL
MONTICELLO ST,MONTICELLO,ST,NULL
MONUMENT WAY,MONUMENT,WAY,NULL
MOORE LN,MOORE,LN,NULL
MOORE PL,MOORE,PL,NULL
MORAGA AVE,MORAGA,AVE,NULL
MORAGA ST,MORAGA,ST,NULL
MORELAND ST,MORELAND,ST,NULL
MORGAN ALY,MORGAN,ALY,NULL
MORNINGSIDE DR,MORNINGSIDE,DR,NULL
MORRELL PL,MORRELL,PL,NULL
MORRELL ST,MORRELL,ST,NULL
MORRIS ST,MORRIS,ST,NULL
MORSE ST,MORSE,ST,NULL
MORTON ST,MORTON,ST,NULL
MOSCOW ST,MOSCOW,ST,NULL
MOSS ST,MOSS,ST,NULL
MOULTON ST,MOULTON,ST,NULL
MOULTRIE ST,MOULTRIE,ST,NULL
MOUNT LN,MOUNT,LN,NULL
MOUNT VERNON AVE,MOUNT VERNON,AVE,NULL
MOUNTAIN SPRING AVE,MOUNTAIN SPRING,AVE,NULL
MOUNTVIEW CT,MOUNTVIEW,CT,NULL
MUIR CT,MUIR,CT,NULL
MUIR LOOP,MUIR,LOOP,NULL
MULFORD ALY,MULFORD,ALY,NULL
MULLEN AVE,MULLEN,AVE,NULL
MUNICH ST,MUNICH,ST,NULL
MURRAY LN,MURRAY,LN,NULL
MURRAY ST,MURRAY,ST,NULL
MUSEUM WAY,MUSEUM,WAY,NULL
MUSIC CONCOURSE DR,MUSIC CONCOURSE,DR,NULL
MUSIC CONCOURSE ACCESS RD,MUSIC CONCOURSE ACCESS,RD,NULL
MYRA WAY,MYRA,WAY,NULL
MYRTLE ST,MYRTLE,ST,NULL
NADELL CT,NADELL,CT,NULL
NAGLEE AVE,NAGLEE,AVE,NULL
NAHUA AVE,NAHUA,AVE,NULL
NANCY PELOSI DR,NANCY PELOSI,DR,NULL
NANTUCKET AVE,NANTUCKET,AVE,NULL
NAPIER LN,NAPIER,LN,NULL
NAPLES ST,NAPLES,ST,NULL
NAPOLEON ST,NAPOLEON,ST,NULL
NATICK ST,NATICK,ST,NULL
NATOMA ST,NATOMA,ST,NULL
NAUMAN RD,NAUMAN,RD,NULL
NAUTILUS DR,NAUTILUS,DR,NULL
NAVAJO AVE,NAVAJO,AVE,NULL
NAVY RD,NAVY,RD,NULL
NAYLOR ST,NAYLOR,ST,NULL
NEBRASKA ST,NEBRASKA,ST,NULL
NELLIE ST,NELLIE,ST,NULL
NELSON AVE,NELSON,AVE,NULL
NELSON RISING LN,NELSON RISING,LN,NULL
NEPTUNE ST,NEPTUNE,ST,NULL
NEVADA ST,NEVADA,ST,NULL
NEW MONTGOMERY ST,NEW MONTGOMERY,ST,NULL
NEWBURG ST,NEWBURG,ST,NULL
NEWCOMB AVE,NEWCOMB,AVE,NULL
NEWELL ST,NEWELL,ST,NULL
NEWHALL ST,NEWHALL,ST,NULL
NEWMAN ST,NEWMAN,ST,NULL
NEWTON ST,NEWTON,ST,NULL
NEY ST,NEY,ST,NULL
NIAGARA AVE,NIAGARA,AVE,NULL
NIANTIC AVE,NIANTIC,AVE,NULL
NIBBI CT,NIBBI,CT,NULL
NICHOLS WAY,NICHOLS,WAY,NULL
NIDO AVE,NIDO,AVE,NULL
NIMITZ AVE,NIMITZ,AVE,NULL
NIMITZ DR,NIMITZ,DR,NULL
NIMITZ LN,NIMITZ,LN,NULL
NOB HILL PL,NOB HILL,PL,NULL
NOBLES ALY,NOBLES,ALY,NULL
NOE ST,NOE,ST,NULL
NORDHOFF ST,NORDHOFF,ST,NULL
NORFOLK ST,NORFOLK,ST,NULL
NORIEGA ST,NORIEGA,ST,NULL
NORMANDIE TER,NORMANDIE,TER,NULL
NORTH DR,NORTH,DR,NULL
NORTH 15TH AVE,NORTH 15TH,AVE,NULL
NORTH GATE RD,NORTH GATE,RD,NULL
NORTH HUGHES LN,NORTH HUGHES,LN,NULL
NORTH POINT ST,NORTH POINT,ST,NULL
NORTH VAN HORN LN,NORTH VAN HORN,LN,NULL
NORTH VIEW CT,NORTH VIEW,CT,NULL
NORTHGATE DR,NORTHGATE,DR,NULL
NORTHPOINT DR,NORTHPOINT,DR,NULL
NORTHRIDGE RD,NORTHRIDGE,RD,NULL
NORTHWOOD DR,NORTHWOOD,DR,NULL
NORTON ST,NORTON,ST,NULL
NORWICH ST,NORWICH,ST,NULL
NOTTINGHAM PL,NOTTINGHAM,PL,NULL
NUEVA AVE,NUEVA,AVE,NULL
OAK ST,OAK,ST,NULL
OAK ACCESS RD,OAK ACCESS,RD,NULL
OAK GROVE ST,OAK GROVE,ST,NULL
OAK PARK DR,OAK PARK,DR,NULL
OAKDALE AVE,OAKDALE,AVE,NULL
OAKHURST LN,OAKHURST,LN,NULL
OAKWOOD ST,OAKWOOD,ST,NULL
OCEAN AVE,OCEAN,AVE,NULL
OCEANVIEW TER,OCEANVIEW,TER,NULL
OCTAVIA ST,OCTAVIA,ST,NULL
OFARRELL ST,OFARRELL,ST,NULL
OGDEN AVE,OGDEN,AVE,NULL
OHLONE WAY,OHLONE,WAY,NULL
OLD CHINATOWN LN,OLD CHINATOWN,LN,NULL
OLD MASON ST,OLD MASON,ST,NULL
OLIVE ST,OLIVE,ST,NULL
OLIVER ST,OLIVER,ST,NULL
OLMSTEAD ST,OLMSTEAD,ST,NULL
OLNEY AVE,OLNEY,AVE,NULL
OLORAN AVE,OLORAN,AVE,NULL
OLYMPIA WAY,OLYMPIA,WAY,NULL
OLYMPIC COUNTRY CLUB RD,OLYMPIC COUNTRY CLUB,RD,NULL
OMAR WAY,OMAR,WAY,NULL
ONEIDA AVE,ONEIDA,AVE,NULL
ONIQUE LN,ONIQUE,LN,NULL
ONONDAGA AVE,ONONDAGA,AVE,NULL
OPAL PL,OPAL,PL,NULL
OPALO LN,OPALO,LN,NULL
OPHIR ALY,OPHIR,ALY,NULL
ORA WAY,ORA,WAY,NULL
ORANGE ALY,ORANGE,ALY,NULL
ORBEN PL,ORBEN,PL,NULL
ORD CT,ORD,CT,NULL
ORD ST,ORD,ST,NULL
ORDWAY ST,ORDWAY,ST,NULL
OREILLY AVE,OREILLY,AVE,NULL
ORIOLE WAY,ORIOLE,WAY,NULL
ORIZABA AVE,ORIZABA,AVE,NULL
ORSI CIR,ORSI,CIR,NULL
ORTEGA ST,ORTEGA,ST,NULL
ORTEGA WAY,ORTEGA,WAY,NULL
OSAGE ALY,OSAGE,ALY,NULL
OSCAR ALY,OSCAR,ALY,NULL
OSCEOLA LN,OSCEOLA,LN,NULL
OSGOOD PL,OSGOOD,PL,NULL
OSHAUGHNESSY BLVD,OSHAUGHNESSY,BLVD,NULL
OTEGA AVE,OTEGA,AVE,NULL
OTIS ST,OTIS,ST,NULL
OTSEGO AVE,OTSEGO,AVE,NULL
OTTAWA AVE,OTTAWA,AVE,NULL
