OBJECTID,HMA_NAME,HMA_ID,ADMIN_ST,ADM_UNIT_CD,ADMIN_AGCY,HERD_TYPE,OBJECTID_1,HMA_NM,ADMIN_ST_1,HMA_IDENTIFIER,TRANSFER_ACRES,BLM_ACRES,TOTAL_ACRES,HORSE_AML_LOW,HORSE_AML_HIGH,EST_HORSE_POP,PERCENT_AML_HORSE_SYBL_ONLY,BURRO_AML_LOW,BURRO_AML_HIGH,EST_BURRO_POP,POP_INVENTORY_DT,LAST_GATHER_DT,MOST_RECENT_AML_YR,MESSAGE,WEBSITE_URL,PERCENT_AML_HORSE_MAPTIP,PERCENT_AML_BURRO_MAPTIP,PERCENT_AML_BURRO_SYBL_ONLY,SHAPE_Length,SHAPE_Area
158,South Stillwater,NV0309,NV,NVC01000,BLM,HORSE,,SOUTH STILLWATER,,NV0309,0,9773,9773,8,16,24,150,0,0,0,2011/07/01 00:00:00+00,,2010,,http://www.blm.gov/nv/st/en/fo/carson_city_field/blm_programs/wild_horse_and_burro/south_stillwater_hma.html,150%,,,0.234282212953354,0.00414278407008773
159,Spring Creek Basin,CO0384,CO,COS01000,BLM,HORSE,,SPRING CREEK BASIN,,CO0384,,21043,21395,35,65,60,50,0,0,0,2016/02/01 00:00:00+00,2011/09/01 00:00:00+00,2016,,http://www.blm.gov/co/st/en/fo/sjplc/wild_horses.html,Within AML,,,0.436769165561125,0.00904841826057637
160,Spruce-Pequop,NV0109,NV,NVE03000,BLM,HORSE,,SPRUCE-PEQUOP,,NV0109,0,234975,240744,49,82,1021,1245.12195121951,0,0,0,2015/03/01 00:00:00+00,2015/08/01 00:00:00+00,2005,,http://www.blm.gov/nv/st/en/fo/elko_field_office/blm_programs/wild_horse_and_burro/hmas/sprucepequop_hma.html,1245%,,,1.52935877500778,0.103662620118454
161,Stewart Creek,WY0033,WY,WYD03000,BLM,HORSE,,"STEWART CREEK (into WY0035, WY0036, WY0010, & WY0037) (original name Stewart Creek/Chain Lakes) (6)",,WY0033,,157500,167797,125,175,517,295.428571428571,0,0,0,2015/04/01 00:00:00+00,2011/11/01 00:00:00+00,2013,,http://www.blm.gov/wy/st/en/field_offices/Rawlins/wh.html,295%,,,1.1792045445878,0.0735621345810855
162,Stinkingwater,OR0008,OR,ORB00000,BLM,HORSE,,STINKINGWATER,,OR0008,0,78312,92086,40,80,227,283.75,0,0,0,2014/09/01 00:00:00+00,2010/08/01 00:00:00+00,2014,,http://www.blm.gov/or/resources/whb/herd-manage.php,284%,,,1.83225102249478,0.0415723564794999
163,Stone Cabin,NV0618,NV,NVB02000,BLM,HORSE,,STONE CABIN**(from NV0699) ,,NV0618,0,402567,407706,218,364,560,153.846153846154,0,0,0,2016/02/01 00:00:00+00,2012/02/01 00:00:00+00,2015,,Webpage does not exist at this time.,154%,,,2.47947281609294,0.169738978034874
164,Stonewall,NV0627,NV,NVB02000,BLM,BURRO,,STONEWALL,,NV0627,0,23780,23887,0,0,0,,5,8,35,2010/02/01 00:00:00+00,1986/06/01 00:00:00+00,2001,,Webpage does not exist at this time.,,438%,437.5,0.511847264890584,0.00985687133144955
165,Sulpher,UT0448,UT,UTC01000,BLM,Horse,,SULPHUR,,UT0448,0,230157,265711,165,250,957,382.8,0,0,0,2016/02/01 00:00:00+00,2015/02/01 00:00:00+00,2011,,http://www.blm.gov/ut/st/en/prog/wild_horse_and_burro/sulphurGather/conger_complex_gather.html,383%,,,1.69800327479504,0.11081053151931
166,Swasey,UT0555,UT,UTW02000,BLM,Horse,,SWASEY,,UT0555,0,128176,134965,60,100,259,259,0,0,0,2013/01/01 00:00:00+00,2013/02/01 00:00:00+00,2007,,http://www.blm.gov/ut/st/en/prog/wild_horse_and_burro/swaseyGather/cedarHMA.html,259%,,,1.17354068215995,0.0571496622511323
167,Three Fingers,OR0012,OR,ORV00000,BLM,HORSE,,THREE FINGERS,,OR0012,0,62513,71486,75,150,156,104,0,0,0,2011/07/01 00:00:00+00,2011/08/01 00:00:00+00,2015,,http://www.blm.gov/or/resources/whb/herd-manage.php,104%,,,1.19248515410108,0.0321943387217757
168,Tilly Creek,UT0449,UT,UTC01000,BLM,Horse,,"TILLY CREEK (3, 12)",,UT0449,0,32978,37006,20,50,163,326,0,0,0,2015/02/01 00:00:00+00,2010/07/01 00:00:00+00,2012,,Webpage does not exist at this time.,326%,,,0.586484350946429,0.0153414555013292
169,Tobin Range,NV0231,NV,NVW01000,BLM,HORSE,,TOBIN RANGE ,,NV0231,0,186654,198236,25,42,22,88,0,0,0,2015/01/01 00:00:00+00,2009/11/01 00:00:00+00,2016,,Webpage does not exist at this time.,88%,,,2.00107525789187,0.0851880483488578
170,Triple B,NV0417,NV,NVL01000,BLM,HORSE,,"TRIPLE B** (from NV0403, NV0407, & NV0406) ",,NV0417,0,1230579,1232494,250,518,1600,308.880308880309,0,0,0,2016/02/01 00:00:00+00,2015/10/01 00:00:00+00,2013,,Webpage does not exist at this time.,309%,,,7.3759110304101,0.524450277638576
171,Twin Peaks,CA0242,CA,CAN05000,BLM,BOTH,,TWIN PEAKS,,CA0242,0,635356,758128,448,758,1688,222.691292875989,72,116,399,2015/05/01 00:00:00+00,2013/11/01 00:00:00+00,2006,"HMA contains both horses and burros, see other layer for additional population information",http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-242.html,223%,529%,529,3.09683855978096,0.325818631272553
172,Wall Canyon,CA0265,CA,CAN07000,BLM,HORSE,,WALL CANYON ,,CA0265,0,39119,41158,15,25,52,208,0,0,0,2014/06/01 00:00:00+00,2011/10/01 00:00:00+00,2007,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-265.html,208%,,,0.62717669832433,0.017967887554704
173,Warm Springs,OR0007,OR,ORB00000,BLM,HORSE,,WARM SPRINGS,,OR0007,0,474396,499457,111,202,442,218.811881188119,20,25,56,2014/09/01 00:00:00+00,2015/01/01 00:00:00+00,2014,"HMA contains both horses and burros, see other layer for additional population information",http://www.blm.gov/or/resources/whb/herd-manage.php,219%,224%,224,2.70137466313144,0.223576835276687
174,Warm Springs Canyon,NV0226,NV,NVW03000,BLM,BOTH,,WARM SPRINGS CANYON,,NV0226,0,91105,91710,105,175,272,155.428571428571,14,24,43,2014/06/01 00:00:00+00,2011/12/01 00:00:00+00,2012,"HMA contains both horses and burros, see other layer for additional population information",Webpage does not exist at this time.,155%,179%,179.166666666667,1.03635726209102,0.0384235845462949
175,Wassuk,NV0312,NV,NVC01000,BLM,HORSE,,WASSUK,,NV0312,0,51626,51743,109,165,100,91.7431192660551,0,0,0,2015/11/01 00:00:00+00,2012/11/01 00:00:00+00,2016,,http://www.blm.gov/nv/st/en/fo/carson_city_field/blm_programs/wild_horse_and_burro/wassux_hma.html,92%,,,0.982314505500778,0.021703862856733
176,Waucoba-Hunter Mountain,CA0651,CA,CAD05000,BLM,BURRO,,WAUCOBA-HUNTER MOUNTAIN,,CA0651,419445,22098,22670,0,0,0,,9,11,67,2011/04/01 00:00:00+00,2001/10/01 00:00:00+00,2004,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-651.html,,609%,609.090909090909,0.779302519604857,0.00925754399510897
177,Wheeler Pass,NV0507,NV,NVS01000,BLM,BOTH,,WHEELER PASS** (from NV0525) ,,NV0507,0,273898,275575,47,66,25,53.1914893617021,20,35,190,2015/05/01 00:00:00+00,2015/09/01 00:00:00+00,2008,"HMA contains both horses and burros, see other layer for additional population information",Webpage does not exist at this time.,53%,543%,542.857142857143,2.74857712019957,0.112176874518655
178,Whistler Mountain,NV0608,NV,NVB01000,BLM,HORSE,,WHISTLER MOUNTAIN (from NV0698) ,,NV0608,0,42660,43245,14,24,27,112.5,0,0,0,2015/09/01 00:00:00+00,2008/01/01 00:00:00+00,2014,,http://www.blm.gov/nv/st/en/fo/battle_mountain_field/blm_programs/wild_horse_and_burro/battle_mountain_field/whistler_mountain.html,113%,,,0.700280276200701,0.0183897677611503
179,White Mountain,WY0003,WY,WYD04000,BLM,HORSE,,"WHITE MOUNTAIN (from WY0039 &  WY0038) (3, 6)",,WY0003,,207372,391868,205,300,321,107,0,0,0,2015/02/01 00:00:00+00,2011/08/01 00:00:00+00,2015,,http://www.blm.gov/wy/st/en/field_offices/Rock_Springs/wildhorses/whitemtn.html,107%,,,2.1982622121648,0.172119210574684
