1664.fipstwo,f30111***,f30111
2738.countytwo,Jocnes ,Jones 
3092.countytwo,Brunett ,Burnett 
271.statefips,28,8
362.statevalue,L,FL
2394.countytwo,Vega Alta Mnicipio,Vega Alta Municipio
50.statevalue,LA,AL
1828.statevalue,tNE,NE
2025.statecounty,N_YOnondaga,NY_Onondaga
1338.fipstwo,f72035,f27035
2060.countytwo,eBlmont ,Belmont 
291.statefips,49,8
774.county,Picatt ,Piatt 
85.county,Fairbanks North Star Borough,Randolph 
214.fips,2013.0,6045
2357.statevalue,R,PR
806.fipstwo,f1807,f18007
168.statefips,2.0,5
162.fips,2013.0,5133
1856.statecounty,NE_Greely,NE_Greeley
282.statefips,28,8
118.statevalue,AK,AR
1495.countytwo,Randolh ,Randolph 
789.fipstwo,f71177,f17177
2196.statevalue,KO,OK
202.statefips,16,6
21.statevalue,hAK,AK
26.statevalue,bAK,AK
135.fips,2100.0,5077
244.statefips,64,6
83.county,Lake and Peninsula Borough,Pickens 
2901.countytwo,Amhers t,Amherst 
3116.countytwo,Kewaunnee ,Kewaunee 
2407.county,Allenadle ,Allendale 
123.statecounty,AK_Juneau City and Borough,AR_Grant
1915.statevalue,HN,NH
1383.fipstwo,27125,f27125
2151.countytwo,Cartr ,Carter 
2690.countytwo,oFrt Bend ,Fort Bend 
798.statecounty,IL_Whteside,IL_Whiteside
331.statevalue,L,FL
2946.fipstwo,fd51073,f51073
246.statefips,60,6
1500.county,Schuylber ,Schuyler 
144.statevalue,RA,AR
196.statecounty,CA_Calaversa,CA_Calaveras
119.fips,1001.0,5045
35.county,Juneau City and Borough,Bullock 
514.county,ockdale ,Rockdale 
116.fips,2090.0,5039
109.statefips,2.0,5
2157.statevalue,OaK,OK
260.fipstwo,f02164,f08019
703.statecounty,IL_Boind,IL_Bond
44.fips,2013.0,1029
1845.statecounty,NE_Doulgas,NE_Douglas
106.fips,2050.0,5019
3091.countytwo,Bhuffalo ,Buffalo 
2270.county,Claron ,Clarion 
2212.statecounty,OK_Tillan,OK_Tillman
173.county,Manuu'a District,Manu'a District
82.statecounty,AK_Yakutat City and Borough,AL_Perry
2861.countytwo,Wod ,Wood 
1100.county,Robertso n,Robertson 
3050.statevalue,AW,WA
36.statefips,2.0,1
196.statefips,2.0,6
42.countytwo,Clrke ,Clarke 
327.statevalue,L,FL
224.statefips,59,6
1041.countytwo,Grave ,Graves 
2621.statevalue,XT,TX
2557.fipstwo,47081,f47081
857.statevalue,N,IN
39.statevalue,LA,AL
3139.fipstwo,5f5105,f55105
13.fips,2020.0,2130
1832.statevalue,EN,NE
927.county,Graahm ,Graham 
190.fipstwo,f02068,f04025
2799.statecounty,TX_oPtter,TX_Potter
46.statevalue,AmL,AL
2115.statevalue,OnH,OH
2788.countytwo,Noklan ,Nolan 
250.fipstwo,f02105,f08001
56.statecounty,AK_Denali Borough,AL_Escambia
496.fipstwo,f13p211,f13211
1326.statevalue,MoN,MN
1638.countytwo,eagher ,Meagher 
2998.statevalue,A,VA
219.statefips,58,6
2477.countytwo,Hakaon ,Haakon 
88.fipstwo,f02130,f01115
267.statevalue,OC,CO
2063.countytwo,Craroll ,Carroll 
3212.countytwo,Wyming ,Wyoming 
3086.countytwo,kAdams ,Adams 
127.statevalue,AL,AR
135.fipstwo,f02068,f05077
277.statefips,102,8
2980.countytwo,New Knent ,New Kent 
134.fips,2188.0,5075
305.statecounty,CO_aguache,CO_Saguache
86.fips,2016.0,1113
218.fipstwo,f01015,f06053
1424.statevalue,O,MO
97.statecounty,AK_Kodiak Island Borough,AR_Arkansas
87.statevalue,LA,AL
869.county,Puntam ,Putnam 
2675.countytwo,Dimmiat ,Dimmit 
734.fipstwo,sf17067,f17067
2899.countytwo,Allegihany ,Alleghany 
1859.statevalue,E,NE
1020.countytwo,Carrol l,Carroll 
147.statefips,2.0,5
484.statecounty,GALowndes,GA_Lowndes
1787.statevalue,DN,ND
246.fipstwo,f06093,f06109
2809.statevalue,X,TX
1795.statecounty,D_Mountrail,ND_Mountrail
2423.county,Edefield ,Edgefield 
966.statevalue,S,KS
252.fipstwo,f02100,f08005
74.statevalue,bAL,AL
92.fips,2020.0,1125
261.fipstwo,f02070,f08021
1368.fipstwo,f270w95,f27095
152.fips,2016.0,5111
127.county,Juneau City and Borough,Howard 
289.statefips,48,8
1045.statecounty,KY_Hancck,KY_Hancock
66.statevalue,L,AL
157.statefips,2.0,5
2770.statecounty,TX_Maveick,TX_Maverick
52.statecounty,AK_Kodiak Island Borough,AL_Dale
2762.county,Lovin g,Loving 
102.fips,2164.0,5011
2575.statecounty,mTN_McMinn,TN_McMinn
2443.statevalue,CS,SC
1157.statecounty,A_Plaquemines,LA_Plaquemines
3233.statecounty,WY_Unita,WY_Uinta
176.statefips,2.0,60
1248.countytwo,Befrrien ,Berrien 
44.county,Butler ,Cleburne 
3168.countytwo,Gilme ,Gilmer 
77.statevalue,L,AL
93.county,Butler ,Walker 
2894.county,Wahyne ,Wayne 
3213.countytwo,Albayn ,Albany 
136.fips,2020.0,5079
90.statecounty,AK_Bristol Bay Borough,AL_Talladega
2178.county,Kigfisher ,Kingfisher 
63.statecounty,AK_Anchorage Municipality,AL_Henry
338.statevalue,L,FL
59.fips,2090.0,1059
122.statefips,2.0,5
3102.county,Dnn ,Dunn 
64.county,Aleutians West Census Area,Houston 
96.county,Lake and Peninsula Borough,Winston 
2901.statevalue,lVA,VA
301.statefips,64,8
1777.county,unn ,Dunn 
279.statefips,70,8
52.statevalue,AmL,AL
181.fips,1007.0,4009
260.countytwo,Clear Cerek ,Clear Creek 
186.statefips,2.0,4
1401.countytwo,Warseca ,Waseca 
1421.statevalue,O,MO
3212.statevalue,V,WV
111.county,Aleutians East Borough,Conway 
1053.countytwo,Hopkinxs ,Hopkins 
775.countytwo,Pkie ,Pike 
1688.statecounty,CN_Columbus,NC_Columbus
184.fipstwo,f02068,f04013
3229.statevalue,WmY,WY
2653.county,Colemanh ,Coleman 
2745.county,Kimle ,Kimble 
2729.fipstwo,f4835,f48235
267.countytwo,oDlores ,Dolores 
2163.fipstwo,f40043***,f40043
1015.countytwo,uBtler ,Butler 
1023.countytwo,Chrstian ,Christian 
544.county,ebster ,Webster 
162.fipstwo,f01031,f05133
50.statecounty,AK_Anchorage Municipality,AL_Crenshaw
100.fips,1101.0,5007
2643.statecounty,TX_wCamp,TX_Camp
1503.county,Shanon ,Shannon 
2930.statecounty,VrA_Dickenson,VA_Dickenson
3002.county,Ricmhond city,Richmond city
2692.fipstwo,f8161,f48161
153.fips,2016.0,5113
1168.statecounty,LA_St. Landbry,LA_St. Landry
2604.statevalue,N,TN
1876.fipstwo,f31119***,f31119
80.county,Nome Census Area,Montgomery 
45.statefips,2.0,1
3130.statecounty,WI_Outagamei,WI_Outagamie
48.fipstwo,f02070,f01037
605.statevalue,IeA,IA
2346.fipstwo,f7w2049,f72049
66.fips,2100.0,1073
1943.statecounty,NMw_Catron,NM_Catron
77.fipstwo,f02220,f01095
258.fipstwo,f01001,f08015
2256.county,Alleghney ,Allegheny 
2179.statecounty,OK_Kioawa,OK_Kiowa
142.fips,2060.0,5091
3135.countytwo,Pbortage ,Portage 
3220.statevalue,Y,WY
138.statefips,2.0,5
245.fipstwo,f02105,f06107
934.statevalue,SK,KS
1173.fipstwo,f2210c7,f22107
126.fipstwo,f02185,f05059
71.statevalue,AK,AL
131.county,Haines Borough,Jefferson 
205.fips,2164.0,6027
273.countytwo,Grfield ,Garfield 
1829.countytwo,Butletr ,Butler 
523.fipstwo,13265,f13265
3052.countytwo,Calrk ,Clark 
136.statevalue,yAR,AR
67.statevalue,L,AL
1687.countytwo,Clevelan d,Cleveland 
617.statevalue,A,IA
3174.statevalue,WlV,WV
130.fips,2050.0,5067
81.fips,2068.0,1103
1184.countytwo,Barnsitable ,Barnstable 
202.fipstwo,f02164,f06021
1089.fipstwo,f21179***,f21179
446.fipstwo,f13190,f13109
148.statefips,2.0,5
131.fips,2050.0,5069
76.fips,2020.0,1093
1791.fipstwo,38053,f38053
2609.statecounty,TN_Whivte,TN_White
875.countytwo,pencer ,Spencer 
1732.fipstwo,37135,f37135
2110.county,Mnotgomery ,Montgomery 
414.statevalue,A,GA
422.countytwo,Clya ,Clay 
2352.fipstwo,f27059,f72059
1722.fipstwo,fb37117,f37117
2630.statecounty,TX_eBowie,TX_Bowie
223.statefips,78,6
164.fips,2270.0,5123
85.fips,2105.0,1111
33.fipstwo,f02282,f01007
278.statefips,54,8
59.county,Nome Census Area,Franklin 
1637.countytwo,MecCone ,McCone 
901.fipstwo,20013,f20013
2502.county,Pekrins ,Perkins 
2609.statevalue,NT,TN
2030.statevalue,eNY,NY
2965.statecounty,A_Lee,VA_Lee
143.statecounty,AK_Ketchikan Gateway Borough,AR_Mississippi
461.county,Hal l,Hall 
1400.statecounty,MN_Wadean,MN_Wadena
157.fips,2270.0,5121
3144.county,Sheboywgan ,Sheboygan 
608.countytwo,Jeffersno ,Jefferson 
68.statevalue,LA,AL
1220.statevalue,MbD,MD
2400.county,Bistol ,Bristol 
27.fips,2070.0,2275
170.fips,2070.0,5147
2570.statevalue,NT,TN
209.statefips,22,6
2404.countytwo,aWshington ,Washington 
70.statevalue,L,AL
201.statefips,2.0,6
1102.statevalue,Y,KY
112.fipstwo,f01003,f05031
735.fipstwo,f7069,f17069
795.statevalue,L,IL
75.fips,2068.0,1091
2405.county,Abeville ,Abbeville 
2225.statecounty,ORx_Crook,OR_Crook
150.fipstwo,f02050,f05107
1977.countytwo,Calrk ,Clark 
1678.countytwo,Calwell ,Caldwell 
1579.fipstwo,f2805,f28105
3034.statecounty,VT_Bennington***,VT_Bennington
733.countytwo,amilton ,Hamilton 
1503.fipstwo,f92203,f29203
1153.county,Morehouse Parislh,Morehouse Parish
445.fipstwo,f1l3107,f13107
3211.statecounty,WV_Wofod,WV_Wood
178.fipstwo,f02060,f04003
827.statevalue,N,IN
198.fips,2290.0,6013
112.statefips,2.0,5
1569.countytwo,Lincln ,Lincoln 
2942.statecounty,VA_Fredxerick,VA_Frederick
413.countytwo,Candlre ,Candler 
140.fipstwo,f02100,f05087
3010.countytwo,Shernandoah ,Shenandoah 
129.fips,2282.0,5065
2885.countytwo,San uJan ,San Juan 
2480.countytwo,Hasnon ,Hanson 
2354.fipstwo,f2063,f72063
20.fipstwo,f02020,f02195
3170.fipstwo,f54a025,f54025
23.statevalue,KA,AK
819.statevalue,N,IN
1577.countytwo,Newotn ,Newton 
189.fipstwo,f01015,f04023
174.statevalue,AR,AS
906.countytwo,Cheyenen ,Cheyenne 
262.fipstwo,f02020,f08023
210.fipstwo,f02100,f06037
1644.fipstwo,f0071,f30071
1999.statevalue,Y,NY
24.statecounty,AK_Anchorage Municipality,AK_Southeast Fairbanks Census Area
534.statevalue,AG,GA
212.statefips,43,6
73.county,Denali Borough,Macon 
132.fips,2090.0,5071
78.fips,2282.0,1097
1411.county,uAdrain ,Audrain 
256.statefips,11,8
2143.countytwo,Afalfa ,Alfalfa 
3015.countytwo,Stauntno city,Staunton city
35.statefips,2.0,1
1758.fipstwo,37187,f37187
128.fips,2020.0,5063
