540.code,74-Im030,74-I030
133.address,505 W. 2Nd Steet,505 W. 2Nd Street
103.address,102 ast H Ave,102 East H Ave
25.districtname,ELK CITY               h       ,ELK CITY                      
417.address,10 N J Street,210 N J Street
472.code,j67-I010,67-I010
360.superintendent,Drew iEchelberger,Drew Eichelberger
96.phone,(405) 5277236,(405) 527-7236
399.superintendent,Aaron Espotl,Aaron Espolt
349.city,Wsarr Acres,Warr Acres
323.countyname,NOBLE   s    ,NOBLE       
137.districtname,CLINTON                      ,CLINTON                       
175.countyname,RGADY       ,GRADY       
464.boardpresident,Kandy oCllins,Kandy Collins
545.boardpresident,Stee Ellis,Steve Ellis
85.superintendentsemail,kdge@boswellschools.org,kedge@boswellschools.org
255.countyname,LINCLON     ,LINCOLN     
259.countyname,LINCOLN    ,LINCOLN     
405.districtname,GLENCOE             s          ,GLENCOE                       
546.superintendent,Garryett Cline,Garrett Cline
119.address,114 South craper Street,114 South Scraper Street
430.fax,(405) 73-7368,(405) 273-7368
210.countyname,JOHSTON    ,JOHNSTON    
310.address,400 Esat Atlanta Avenue,400 East Atlanta Avenue
474.districtname,BUTNER                       ,BUTNER                        
249.code,40-cI049,40-I049
103.fax,(580) 429-p3271,(580) 429-3271
233.code,39-I02,39-I002
522.fax,(918) 258-039,(918) 258-0399
454.superintendent,asey Reed,Casey Reed
220.address,500 East North Aevnue,500 East North Avenue
279.superintendent,Donv Raleigh,Don Raleigh
351.superintendentsemail,SUP@CNPSCHOOLS.ORG,SUPT@CNPSCHOOLS.ORG
423.statevalue,K,OK
151.superintendent,Tracy Kinannon,Tracy Kincannon
466.address,617 jN. Timmons,617 N. Timmons
237.code,0-C011,40-C011
533.countyname,WAGONEsR     ,WAGONER     
382.districtname,PAWHUSKA  r                    ,PAWHUSKA                      
371.phone,918) 733-9072,(918) 733-9072
228.fax,(58)0 726-2855,(580) 726-2855
20.districtname,BEAVER                       ,BEAVER                        
436.code,63-I00q3,63-I003
480.districtname,MOFFETT      s                 ,MOFFETT                       
2.websiteurl,htp://www.maryetta.k12.ok.us,http://www.maryetta.k12.ok.us
219.address,613 East Grand venue,613 East Grand Avenue
328.phone,(918) 255-g6202,(918) 255-6202
500.websiteurl,www.hadresty.k12.ok.us,www.hardesty.k12.ok.us
404.districtname,CUSHING                      ,CUSHING                       
250.websiteurl,www.taliihna.k12.ok.us,www.talihina.k12.ok.us
24.fax,(580) 2255469,(580) 225-5469
70.statevalue,KO,OK
480.code,x68-C068,68-C068
262.code,41I134,41-I134
494.superintendent,Benie Newton,Bennie Newton
364.websiteurl,www.epicchartershcools.org,www.epiccharterschools.org
551.countyname,WOODWARD    ***,WOODWARD    
120.websiteurl,wwuw.lonestar.k12.ok.us,www.lonestar.k12.ok.us
276.address,40 Ne 3Rd,400 Ne 3Rd
474.boardpresident,Gerald Fator,Gerald Factor
539.countyname,WASHNIGTON  ,WASHINGTON  
43.superintendentsemail,chackney@apswarrios.com,chackney@apswarriors.com
492.fax,(580x) 444-2554,(580) 444-2554
499.districtname,GUYMON                       ,GUYMON                        
68.city,Healdtno,Healdton
368.city,hOkmulgee,Okmulgee
170.fax,(405) 485-32z04,(405) 485-3204
542.phone,(580) i562-4844,(580) 562-4844
181.superintendent,mMickey Geurkink,Mickey Geurkink
52.address,4800 East ForemanS treet,4800 East Foreman Street
157.countyname,ARFIELD    ,GARFIELD    
459.fax,(918)b 789-3271,(918) 789-3271
518.superintendent,Deborh Brown,Deborah Brown
206.websiteurl,http://www.rayn.k12.ok.us,http://www.ryan.k12.ok.us
500.superintendentsemail,gfari@shardesty.k12.ok.us,gfaris@hardesty.k12.ok.us
548.districtname,WOODWRD                      ,WOODWARD                      
234.statevalue,K,OK
124.superintendent,Curtish Shelton,Curtis Shelton
477.countyname,SQUOYAH    ,SEQUOYAH    
148.city,eiling,Seiling
99.boardpresident,Trnt Bourland,Trent Bourland
296.address,300 North Maple Srteet,300 North Maple Street
41.superintendentsemail,jbussey@hydroeakly.ka12.ok.us,jbussey@hydroeakly.k12.ok.us
349.fax,(405) 491-75m16,(405) 491-7516
253.address,100 Blocker Streeet,100 Blocker Street
536.websiteurl,http://ww.porter.k12.ok.us,http://www.porter.k12.ok.us
30.address,10 Southwest Embree Drive,110 Southwest Embree Drive
171.websiteurl,pineerk8.k12.ok.us,pioneerk8.k12.ok.us
265.phone,405) 649-2000,(405) 649-2000
229.phone,(580)p 846-9091,(580) 846-9091
427.address,13925 County Road 1506,13925 County Road 1560
140.fax,(918) 43-46552,(918) 434-6552
375.websiteurl,www.wpstigers.k12.ok.us***,www.wpstigers.k12.ok.us
98.districtname,COTTONWOOD                  d  ,COTTONWOOD                    
439.countyname,POvTTAWATOMIE,POTTAWATOMIE
147.fax,(580) 995-3110,(580) 995-3101
220.websiteurl,www.tonkawa.k2.ok.us,www.tonkawa.k12.ok.us
465.superintendentsemail,bcryan@justice.k12.ok.us,cbryan@justice.k12.ok.us
485.address,30 Ranger Boulevard,300 Ranger Boulevard
381.countyname,OSAGzE       ,OSAGE       
315.code,51-0I08,51-I008
49.websiteurl,www.hintonschols.org,www.hintonschools.org
368.superintendent,Giary Mcelroy,Gary Mcelroy
363.superintendent,Grant Rlls,Grant Ralls
300.fax,(580) 981-215,(580) 981-2115
148.statevalue,OrK,OK
104.boardpresident,Jxon Katvala,Jon Katvala
41.countyname,CADDO       ***,CADDO       
532.fax,(918)3 66-8497,(918) 366-8497
7.countyname,ADAIR       ***,ADAIR       
256.boardpresident,ary Robinson,Gary Robinson
409.statevalue,KO,OK
21.city,Baulko,Balko
371.countyname,OKMUpLGEE    ,OKMULGEE    
248.phone,(9h18) 647-7700,(918) 647-7700
197.boardpresident,Terry Swayez,Terry Swayze
439.code,63I-092,63-I092
154.superintendentsemail,patonj@kremlin.k12.ok.us,pattonj@kremlin.k12.ok.us
39.boardpresident,iJm Hodson,Jim Hodson
231.code,38-I04,38-I004
199.phone,(918) 546-24y76,(918) 546-2476
362.address,3812 N anta Fe,3812 N Santa Fe
47.statevalue,K,OK
178.districtname,TUTTLE                    f    ,TUTTLE                        
57.address,60r0 Maple Street,600 Maple Street
393.statevalue,K,OK
429.districtname,ROFF   n                       ,ROFF                          
113.code,17-1I01,17-I101
38.fax,(580) 443-5800,(580) 434-5800
295.superintendentsemail,dougbrown@idabelps.org,doug.brown@idabelps.org
527.fax,(918) 288-7076,(918) 288-7067
15.boardpresident,Rebeccca Sandmann,Rebecca Sandmann
525.boardpresident,Stevel Stout,Steve Stout
456.city,Clareimore,Claremore
552.code,16-I02,16-I002
48.websiteurl,httgp://cement.opsrc.net/,http://cement.opsrc.net/
69.websiteurl,http://www.foxps.k12.k.us/,http://www.foxps.k12.ok.us/
234.phone,(918) 522m-4426,(918) 522-4426
81.city,Hlbert,Hulbert
552.countyname,OKLAHMA    ,OKLAHOMA    
165.fax,(405) 576-8819,(405) 756-8819
446.countyname,PUSMHATAHA  ,PUSHMATAHA  
158.city,nid,Enid
181.code,27-I504,27-I054
496.statevalue,OaK,OK
87.address,100 St. Luois St.,100 St. Louis St.
475.superintendent,mGrant Ralls,Grant Ralls
320.superintendent,DavidVinson,David Vinson
504.city,Tsexhoma,Texhoma
175.superintendent,JasonJ ames,Jason James
439.superintendent,Tom Wkilsie,Tom Wilsie
320.districtname,WARNERn                        ,WARNER                        
129.phone,9(18) 862-0389,(918) 862-0389
226.websiteurl,vwww.cashionps.org,www.cashionps.org
374.statevalue,K,OK
492.superintendentsemail,rrice@velmak-alma.k12.ok.us,rrice@velma-alma.k12.ok.us
414.city,Cnadian,Canadian
63.code,1v0-I019,10-I019
374.code,6-I006,56-I006
398.districtname,PWNEE                        ,PAWNEE                        
269.city,Bunreyville,Burneyville
33.boardpresident,Frank Converes,Frank Converse
163.websiteurl,http:/y/www.paoli.k12.ok.us/,http://www.paoli.k12.ok.us/
415.phone,(918) 29q7-2626,(918) 297-2626
318.city,Mduskogee,Muskogee
470.countyname,SEMINOLE  g  ,SEMINOLE    
387.code,7-I050,57-I050
400.fax,(918) 32-4187,(918) 352-4187
52.superintendentsemail,dgarner@rivterside.k12.ok.us,dgarner@riverside.k12.ok.us
280.address,202 Se 1St S.t,202 Se 1St St.
532.boardpresident,Steve Suttre,Steve Sutter
291.phone,(580) 584-8634,(580) 584-6834
284.phone,(405) 38-72890,(405) 387-2890
65.websiteurl,ww.plainview.k12.ok.us,www.plainview.k12.ok.us
434.city,Mclodu,Mcloud
405.superintendent,John Lbazenby,John Lazenby
511.code,72-E00q5,72-E005
69.city,zFox,Fox
470.districtname,NEW LIMA                      ***,NEW LIMA                      
393.phone,(918 )675-4316,(918) 675-4316
339.boardpresident,Jasbon Elliot,Jason Elliot
14.superintendentsemail,bwalker@harwmonyps.org,bwalker@harmonyps.org
441.countyname,POTTAWAOTMIE,POTTAWATOMIE
436.superintendent,Tod Hrrison,Tod Harrison
492.boardpresident,Bobby Southelrand,Bobby Southerland
480.countyname,SEQUOYA H   ,SEQUOYAH    
237.districtname,MONROE                       ,MONROE                        
133.countyname,CREEK      ,CREEK       
371.statevalue,pOK,OK
384.districtname,BARNSDALL                     ***,BARNSDALL                     
308.code,49-I0r64,49-I064
456.address,14902 mEast School Road,14902 East School Road
88.countyname,CHOCTA W    ,CHOCTAW     
493.superintendent,iVcki Davison,Vicki Davison
390.superintendent,Tamyr aLarson,Tamyra Larson
281.fax,(918) 434-53s46,(918) 434-5346
239.fax,(918) 659-2j275,(918) 659-2275
547.statevalue,K,OK
240.websiteurl,www.spiro.k1.2ok.us,www.spiro.k12.ok.us
383.city,Shidelr,Shidler
2.boardpresident,Larr yEagleton,Larry Eagleton
336.superintendentsemail,tmcafee@crutchoesd.ogr,tmcafee@crutchoesd.org
491.statevalue,KO,OK
154.boardpresident,Kein Anderson,Kevin Anderson
511.websiteurl,ww.kipptulsa.org,www.kipptulsa.org
1.websiteurl,http://wtww.peavinepanthers.net/,http://www.peavinepanthers.net/
209.fax,(580) 371-93v36,(580) 371-9336
39.fax,580) 924-6019,(580) 924-6019
293.districtname,DENISON              a         ,DENISON                       
143.superintendent,Sady Jo Coaly,Sandy Jo Coaly
200.superintendentsemail,vnance@navajo.k12.ok.ugs,vnance@navajo.k12.ok.us
371.fax,(918)b 733-4205,(918) 733-4205
367.fax,4(05) 200-1742,(405) 200-1742
325.superintendent,Jay Vernoun,Jay Vernon
128.code,a19-I018,19-I018
266.superintendent,Josh Sumraltl,Josh Sumrall
32.fax,(580) 92b0-7988,(580) 920-7988
239.superintendent,Wse Mcgowen,Wes Mcgowen
369.websiteurl,www.okmulgeefps.com,www.okmulgeeps.com
407.code,60-K01,60-K001
104.address,307 Chbeahtah,307 Chebahtah
45.city,pache,Apache
323.websiteurl,www.billimngs.k12.ok.us,www.billings.k12.ok.us
368.superintendentsemail,gmcelroy@twinhills.k1e2.ok.us,gmcelroy@twinhills.k12.ok.us
391.statevalue,K,OK
502.phone,(580) 854-6289,(580) 854-6298
305.address,1684 J. M. aBiley Hwy,1684 J. M. Bailey Hwy
53.countyname,ACNADIAN    ,CANADIAN    
367.city,Mikdwest City,Midwest City
257.countyname,LINCOLN    q ,LINCOLN     
333.code,54-I013,54-I031
137.phone,(580) 323-100,(580) 323-1800
249.superintendentsemail,rachl.pugh@wisterschools.org,rachel.pugh@wisterschools.org
468.address,100 Bisoxn Dr.,100 Bison Dr.
325.countyname,OBLE       ,NOBLE       
415.statevalue,ObK,OK
242.districtname,POCOLA                 h       ,POCOLA                        
330.superintendent,Cindy Swearinzgen,Cindy Swearingen
226.superintendent,Sammy Jacpkson,Sammy Jackson
41.superintendent,Jereemy Bussey,Jeremy Bussey
514.websiteurl,www.tultsahonoracademy.org,www.tulsahonoracademy.org
2.statevalue,OeK,OK
63.city,Ardomre,Ardmore
266.superintendentsemail,JSUMRALL@coyle.kf12.ok.us,JSUMRALL@coyle.k12.ok.us
425.city,da,Ada
209.websiteurl,www.annsvilleschool.com,www.mannsvilleschool.com
13.countyname,ALFALFA   d  ,ALFALFA     
162.superintendent,Michael Blackbrun,Michael Blackburn
534.boardpresident,Martvy Kilgore,Marty Kilgore
484.fax,(918) 775-545,(918) 775-5145
44.boardpresident,Gerald Pters,Gerald Peters
438.districtname,EARLSBORO                    ,EARLSBORO                     
262.districtname,AGRA                          ***,AGRA                          
39.code,07-I72,07-I072
114.phone,(580 281-3831,(580) 281-3831
54.city,ElR eno,El Reno
298.address,25 School treet,25 School Street
481.boardpresident,Frnk Sullivan,Frank Sullivan
384.fax,(918) 487-3029,(918) 847-3029
27.phone,(580) 526-34r76,(580) 526-3476
268.address,1894 Us Highway 77,18943 Us Highway 77
383.boardpresident,Michael Godrfrey,Michael Godfrey
548.boardpresident,Shane Smithon,Shane Smithton
188.websiteurl,www.buffal.ok12.ok.us,www.buffalo.k12.ok.us
434.countyname,POTTAWATMOIE,POTTAWATOMIE
380.city,Sand Sprins,Sand Springs
29.statevalue,K,OK
276.phone,(580) 564-9303,(580) 564-9033
377.countyname,OSAGE  d     ,OSAGE       
37.countyname,BRYAN      ,BRYAN       
195.websiteurl,http://woww.moss.k12.ok.us/,http://www.moss.k12.ok.us/
319.boardpresident,Kyles Jonse,Kyles Jones
407.superintendentsemail,nanderson@fsilc.k12.ok.uds,nanderson@fsilc.k12.ok.us
498.code,70-001,70-I001
450.websiteurl,oyersisd.org,moyersisd.org
509.websiteurl,www.keystoerangers.org,www.keystonerangers.org
12.superintendent,Donn aAnderson,Donna Anderson
219.code,36-I017,36-I071
178.websiteurl,www.tuttleschoolsinfo,www.tuttleschools.info
133.phone,(918) 35l2-2492,(918) 352-2492
109.code,1k6-I009,16-I009
398.fax,(918) 762-270s4,(918) 762-2704
123.statevalue,KO,OK
172.city,Chickasa,Chickasha
87.superintendent,Scott Va nWorth,Scott Van Worth
113.superintendentsemail,jsmith@tepmle.k12.ok.us,jsmith@temple.k12.ok.us
486.statevalue,lOK,OK
544.countyname,WASHITA    o ,WASHITA     
406.fax,(918) 38-2503,(918) 387-2503
440.code,63j-I093,63-I093
451.code,5-I003,65-I003
3.superintendent,Alicia Ketchuer,Alicia Ketcher
358.fax,(405) 739-161r5,(405) 739-1615
269.fax,(580) 27h6-5223,(580) 276-5223
380.statevalue,KO,OK
356.city,Oklahoma Ctiy,Oklahoma City
110.statevalue,OtK,OK
525.code,2-I006,72-I006
27.statevalue,KO,OK
116.city,Kqetchum,Ketchum
332.city,Okemaih,Okemah
54.code,09-C70,09-C070
473.code,7-I014,67-I014
256.superintendent,Dannyo Acord,Danny Acord
539.fax,(981) 536-2600,(918) 536-2600
534.statevalue,wOK,OK
362.superintendent,eMlissa White,Melissa White
89.fax,(80) 544-2972,(580) 544-2972
53.statevalue,K,OK
510.code,72-E040,72-E004
323.superintendentsemail,rclark@billins.k12.ok.us,rclark@billings.k12.ok.us
120.code,19C-008,19-C008
79.address,26106 East863 Road,26106 East 863 Road
480.superintendentsemail,jowens@moffett.k1.2ok.us,jowens@moffett.k12.ok.us
235.phone,(918) 4653-298,(918) 465-3298
100.boardpresident,Joyce lSanders,Joyce Sanders
175.address,209 South 2d Street,209 South 2Nd Street
280.boardpresident,CharlesJ ordan,Charles Jordan
108.superintendentsemail,tom.deighan@lawtonzps.org,tom.deighan@lawtonps.org
424.fax,(580) 795-8916,(580) 759-8916
159.code,2-4I085,24-I085
485.superintendentsemail,wood@rolandschools.org,rwood@rolandschools.org
221.code,36-I1n25,36-I125
195.code,32-001,32-I001
46.code,08-I046,08-I064
213.districtname,MILBURN        g               ,MILBURN                       
242.websiteurl,nhttp://www.pocola.k12.ok.us,http://www.pocola.k12.ok.us
135.countyname,CSUTER      ,CUSTER      
60.districtname,MUSTANG                      ,MUSTANG                       
317.phone,(918) 6t83-0273,(918) 683-0273
119.websiteurl,www.vinitahornets.com***,www.vinitahornets.com
136.superintendent,Chjad Wilson,Chad Wilson
303.city,Henryetat,Henryetta
444.districtname,LBION                        ,ALBION                        
99.superintendentsemail,gdvaidson@coalgateschools.org,gdavidson@coalgateschools.org
126.phone,(918) 827-6100***,(918) 827-6100
200.boardpresident,Gary oCbb,Gary Cobb
205.boardpresident,Carrie Vllarreal,Carrie Villarreal
52.phone,(450) 262-2907,(405) 262-2907
159.address,South Hwyu 132,South Hwy 132
190.countyname,HASKELLe     ,HASKELL     
167.address,702 East oRbert S. Kerr Boulevard,702 East Robert S. Kerr Boulevard
224.code,37s-I007,37-I007
293.superintendentsemail,jhill@deison.k12.ok.us,jhill@denison.k12.ok.us
495.city,Marow,Marlow
360.phone,(405) 789-38o01,(405) 789-3801
274.code,44-I92,44-I092
436.countyname,mPOTTAWATOMIE,POTTAWATOMIE
256.countyname,LINOCLN     ,LINCOLN     
462.districtname,SEQUOYAH                      ***,SEQUOYAH                      
529.city,Tulas,Tulsa
117.statevalue,K,OK
97.address,200x0 168Th Avenue Northeast,2000 168Th Avenue Northeast
339.superintendentsemail,tobi.campbell@inetgrisok.com,tobi.campbell@integrisok.com
182.countyname,GRANT       ***,GRANT       
197.superintendentsemail,rdavenport@holdevnille.k12.ok.us,rdavenport@holdenville.k12.ok.us
501.address,22 N. Swem,222 N. Swem
501.statevalue,KO,OK
312.websiteurl,http://ww.haskellps.org,http://www.haskellps.org
151.phone,(58)0 885-7811,(580) 885-7811
395.city,aAfton,Afton
24.superintendentsemail,daughertyj@merritt.k1b2.ok.us,daughertyj@merritt.k12.ok.us
201.phone,(580) 679-304,(580) 679-3014
203.districtname,OLUSTEEE-LDORADO              ,OLUSTEE-ELDORADO              
226.phone,(405)q 433-2741,(405) 433-2741
500.statevalue,K,OK
314.fax,()i -,() -
468.statevalue,K,OK
524.websiteurl,www.jenksps.ozrg,www.jenksps.org
526.phone,(918) 396-1729,(918) 396-1792
415.districtname,HAILEYVILLE                   ***,HAILEYVILLE                   
193.boardpresident,Kim Saterfield,Kim Satterfield
496.countyname,TEXA S      ,TEXAS       
243.countyname,LE iFLORE    ,LE FLORE    
111.code,16I-132,16-I132
199.superintendentsemail,tbla@sstuart.k12.ok.us,tblas@stuart.k12.ok.us
91.boardpresident,Avi Strasner,Avis Strasner
160.phone,(580) 864-741,(580) 864-7481
390.phone,(918i) 786-4902,(918) 786-4902
440.countyname,POTTAWATMIE,POTTAWATOMIE
114.address,1502 N. 1T0h St.,1502 N. 10Th St.
284.statevalue,K,OK
180.boardpresident,Matt Caves***,Matt Caves
289.address,211N orth Tyler Avenue,211 North Tyler Avenue
158.districtname,ENID z                         ,ENID                          
455.fax,(580) 473-2446,(580) 473-2464
334.phone,(18) 652-8935,(918) 652-8935
541.districtname,SENTINEL                     ,SENTINEL                      
154.address,705t Fifth,705 Fifth
231.districtname,SNYDER                       ,SNYDER                        
268.superintendentsemail,rnoland@ptsmail.org,rnoland@tpsmail.org
175.phone,405) 785-2605,(405) 785-2605
318.boardpresident,Vernon Antonioin,Vernon Antonioni
254.city,Mcluod,Mcloud
234.superintendentsemail,jksennedy@bvpsd.org,jkennedy@bvpsd.org
339.websiteurl,www.vwacademy.com,www.wvacademy.com
94.countyname,LEVELAND   ,CLEVELAND   
355.address,1001 zWest Danforth Road,1001 West Danforth Road
260.address,1100 Bluae Bell,1100 Blue Bell
315.city,Oktha,Oktaha
87.websiteurl,http://www.soperschool.pcom/,http://www.soperschool.com/
194.boardpresident,Jimmy Winklepeck,Jimmy Winklepleck
60.code,90-I069,09-I069
191.superintendent,Patricia Devyille,Patricia Deville
450.city,Moyrs,Moyers
481.superintendentsemail,sfaremr@sallisawps.org,sfarmer@sallisawps.org
241.websiteurl,http:/heavenerschools.org,http://heavenerschools.org
297.boardpresident,qMike Weeks,Mike Weeks
138.countyname,DLAWARE    ,DELAWARE    
373.fax,(918) 756-2212,(918) 756-2122
152.city,Sxhattuck,Shattuck
98.countyname,COAvL        ,COAL        
299.websiteurl,http://www.smithville.k12l.ok.us/,http://www.smithville.k12.ok.us/
499.city,Guymno,Guymon
476.city,Mudrow,Muldrow
238.statevalue,K,OK
314.phone,9(18) 464-2334,(918) 464-2334
273.districtname,AIRVIEW                      ,FAIRVIEW                      
432.websiteurl,www.plpeasantgroveschools.com,www.pleasantgroveschools.com
495.districtname,BARY-DOYLE                    ,BRAY-DOYLE                    
538.phone,(18) 534-2241,(918) 534-2241
382.statevalue,KO,OK
8.phone,9(18) 723-3181,(918) 723-3181
513.statevalue,KO,OK
391.superintendentsemail,tgray@wyandotte.k12.opk.us,tgray@wyandotte.k12.ok.us
297.superintendent,JamesE berts,James Eberts
63.superintendentsemail,kholland@ardmoreschools.ogr,kholland@ardmoreschools.org
244.superintendentsemail,caughja@caemronps.org,caughja@cameronps.org
207.districtname,RIGNLING                      ,RINGLING                      
127.address,9352 South e436Th West Avenue,9352 South 436Th West Avenue
298.superintendent,Brian Armstyrong,Brian Armstrong
452.boardpresident,David Wirght,David Wright
229.superintendent,James Suthgerland,James Sutherland
407.websiteurl,www.fsilc.k12.ok.uss,www.fsilc.k12.ok.us
335.address,5701 E Hefner oad,5701 E Hefner Road
547.boardpresident,hSane Morris,Shane Morris
244.address,26661 Wc. 5Th St,26661 W. 5Th St
181.phone,(850) 395-2392,(580) 395-2392
373.districtname,PRESTON                      ,PRESTON                       
468.code,67-I03,67-I003
408.city,Krmebs,Krebs
200.fax,(580 482-7749,(580) 482-7749
13.code,02-I09f3,02-I093
184.address,400 North Pennsylvania Aveneu,400 North Pennsylvania Avenue
194.districtname,KEOTA                        ,KEOTA                         
208.superintendent,Roxsie Terry,Roxie Terry
250.fax,(918) 567-a3507,(918) 567-3507
263.websiteurl,http://www.guhtrie.k12.ok.us,http://www.guthrie.k12.ok.us
48.districtname,CEEMNT                        ,CEMENT                        
320.boardpresident,Damle Wiggins,Dale Wiggins
228.superintendentsemail,ihuntc@hobart.k12.ok.us,huntc@hobart.k12.ok.us
432.address,1927 East WalnutS treet,1927 East Walnut Street
27.boardpresident,rady Greer,Brady Greer
326.code,53-0I03,53-I003
111.websiteurl,http://www.chatty.k12h.ok.us,http://www.chatty.k12.ok.us
468.city,Bolwegs,Bowlegs
247.city,Bkooshe,Bokoshe
327.fax,(918) 273-2150,(918) 273-2105
211.phone,(580) 3845-514,(580) 384-5514
211.boardpresident,Kathy Casleberry,Kathy Castleberry
221.districtname,NEWKIRdK                       ,NEWKIRK                       
240.city,Spro,Spiro
120.countyname,RCEEK       ,CREEK       
226.districtname,CSHION                       ,CASHION                       
473.statevalue,KO,OK
180.code,26s-I128,26-I128
23.phone,(850) 778-3333,(580) 778-3333
218.superintendent,Ricard Riggs,Richard Riggs
47.superintendent,Jaie Mitchell,Jamie Mitchell
326.districtname,OKAHOMA UNION                ,OKLAHOMA UNION                
137.superintendentsemail,kevin.hime@clintonoschools.org,kevin.hime@clintonokschools.org
494.boardpresident,Larry Salle,Larry Sallee
523.fax,k(918) 366-4241,(918) 366-4241
182.statevalue,OcK,OK
271.code,44-I01,44-I001
68.code,10-055,10-I055
81.phone,(918 772-2501,(918) 772-2501
193.fax,(918) 945-0764,(918) 945-7064
168.city,Elmore iCty,Elmore City
453.phone,(58) 497-3371,(580) 497-3371
538.superintendent,Vince Vicnent,Vince Vincent
31.boardpresident,elana Canada,Delana Canada
244.city,Camerno,Cameron
519.districtname,LANGSTNO HUGHES ACAD ARTS-TECH,LANGSTON HUGHES ACAD ARTS-TECH
243.districtname,LE LFORE                      ,LE FLORE                      
511.fax,(918) 7j94-8712,(918) 794-8712
168.fax,(58w0) 788-4624,(580) 788-4624
140.statevalue,KO,OK
458.districtname,CATOOS                       ,CATOOSA                       
445.websiteurl,htt://www.tuskahoma.k12.ok.us,http://www.tuskahoma.k12.ok.us
233.districtname,vRED OAK                       ,RED OAK                       
214.phone,(580) e937-4418,(580) 937-4418
68.websiteurl,www.healdtonschtools.org,www.healdtonschools.org
42.districtname,LOOEKBA SICKLES               ,LOOKEBA SICKLES               
271.superintendent,Wade Detritck,Wade Detrick
426.districtname,ADA        i                   ,ADA                           
381.boardpresident,Jyo Neal,Joy Neal
37.city,Bennngton,Bennington
2.phone,(918) 966-2285,(918) 696-2285
86.city,Fort Toweson,Fort Towson
268.phone,(580) 276-26h30,(580) 276-2630
126.websiteurl,ttp://www.moundsps.com,http://www.moundsps.com
179.phone,(405) 543-7247,(405) 453-7247
150.address,513 S ain,513 S Main
358.phone,405) 737-4461,(405) 737-4461
50.statevalue,OvK,OK
261.statevalue,oOK,OK
354.code,55-I09,55-I009
249.countyname,LE FLORE    ***,LE FLORE    
296.city,Haowrth,Haworth
389.fax,(98) 885-6742,(918) 885-6742
401.address,430 E. Cook St.,403 E. Cook St.
180.city,tAmber,Amber
12.countyname,ALFALFA    ,ALFALFA     
418.boardpresident,Nanic Battles,Nanci Battles
460.countyname,ROGERS      ***,ROGERS      
177.websiteurl,www.bridgecreezk.k12.ok.us,www.bridgecreek.k12.ok.us
391.code,8-I001,58-I001
97.countyname,CLEVELsAND   ,CLEVELAND   
66.phone,(580) 657-3113,(580) 657-3131
424.superintendent,Marjana Thapr,Marjana Tharp
389.statevalue,uOK,OK
162.superintendentsemail,mblackburn@stratfor.k12.ok.us,mblackburn@stratford.k12.ok.us
391.superintendent,roy Gray,Troy Gray
346.superintendent,Freda Dskin,Freda Deskin
105.fax,(580) 246-372,(580) 246-3372
297.fax,(580) 933-e7289,(580) 933-7289
278.boardpresident,Bruce Sheatas,Bruce Sheats
58.fax,(405) 262-860,(405) 262-8620
465.statevalue,dOK,OK
321.websiteurl,http://www.porum.k12.oku.s,http://www.porum.k12.ok.us
416.boardpresident,Jo Wills,Joe Wills
120.address,2945 S. HickoryS t.,2945 S. Hickory St.
345.websiteurl,www.doveshcools.org,www.doveschools.org
134.districtname,ARAPbAHO-BUTLER                ,ARAPAHO-BUTLER                
354.fax,(405w) 399-9212,(405) 399-9212
482.statevalue,KO,OK
399.superintendentsemail,aaropnespolt@clevelandtigers.com,aaronespolt@clevelandtigers.com
551.websiteurl,www.fortuspply.k12.ok.us,www.fortsupply.k12.ok.us
460.websiteurl,www.oologah.k12ok.us,www.oologah.k12.ok.us
348.districtname,EPICc BLENDED LEARNING CHARTER ,EPIC BLENDED LEARNING CHARTER 
148.boardpresident,Roy Jonzes,Roy Jones
184.websiteurl,www.mangum.k12u.ok.us,www.mangum.k12.ok.us
381.superintendentsemail,bmoore@mccord.k12o.k.us,bmoore@mccord.k12.ok.us
277.phone,(918) 44-5558,(918) 434-5558
457.countyname,ROGERS     l ,ROGERS      
470.boardpresident,Rex Haily,Rex Hailey
328.superintendent,Clemo Haddox***,Clemo Haddox
349.statevalue,wOK,OK
457.statevalue,K,OK
527.city,Speryr,Sperry
529.superintendent,Mike ampbell,Mike Campbell
30.websiteurl,http:/w/ww.gearyschools.org/,http://www.gearyschools.org/
131.phone,(918) 247-613,(918) 247-6133
235.superintendentsemail,david.chaney@epicchartesrchools.org,david.chaney@epiccharterschools.org
62.countyname,CARTER      ***,CARTER      
413.boardpresident,randon Budzinsky,Brandon Budzinsky
503.websiteurl,www.goodwellk.12.ok.us,www.goodwell.k12.ok.us
349.boardpresident,Becky Halibuton,Becky Haliburton
151.address,103 W. Haskell***,103 W. Haskell
106.countyname,tCOMANCHE    ,COMANCHE    
331.superintendentsemail,mstiles@paden.k1.ok.us,mstiles@paden.k12.ok.us
339.statevalue,KO,OK
151.boardpresident,Rocyk West,Rocky West
498.city,Godwell,Goodwell
231.superintendent,ravis Gates,Travis Gates
179.fax,(405) 453-246,(405) 453-7246
536.statevalue,OyK,OK
318.phone,(918) 863-0273,(918) 683-0273
14.code,3-C021,03-C021
263.districtname,GUTHRIE                      ,GUTHRIE                       
104.phone,(580) 246-h3448,(580) 246-3448
544.address,606 East Tird St,606 East Third St
21.districtname,BALKO     d                    ,BALKO                         
