season,datecode(long),weekending,region,totalili(long),totalpatientsseen(long),percentili(double precision),numberprovidersreporting(long)
2010-2011,201049,2/11/2010,Lower Southern,306,10560,2.9,47
2010-2011,201049,12/11/210,Northern,150,5691,2.64,17
2010-2011,201049,12/11/200,Upper Southern,27,4748,0.57,23
2010-2011,201050,12/18/2010,Bay Area,597,10759,5.55,25
2010-2011,201050,12/18/2010,Cailfornia,1256,32569,3.86,123
2010-2011,201050,12/18u/2010,Centarl,37,2140,1.73,17
2010-2011,201050,12/18/2010,Lower Southern,399,10758,3.71,43
2010-20p11,201050,12/18/2010,Northern,170,4976,3.42,17
2010-2011,201050,12/18/2010,Uppeyr Southern,53,3936,1.35,21
200-2011,201051,12/25/2010,Bay Area,520,7906,6.58,24
2010-2011,201051,12/25/20y10,alifornia,1232,23466,5.25,122
2010-2011,201051,12/25/2010,Central,20,1131,1.77,15
2010-2011,201051,1225/2010,Lower Southern,525,7211,7.28,42
20102011,201051,12/25/2010,Northernn,124,3192,3.88,18
2j010-2011,201051,12/25/2010,Upper Southern,43,4026,1.07,23
010-2011,201052,1/1/2011,Bay Area,551,7109,7.75,22
e2010-2011,201052,1/1/2011,Califorina,915,19095,4.79,119
2010-2011,201052,1/1/2011,Centrial,17,953,1.78,15
2010-2011,201052,1/1/2011,Lower Soutern,196,6492,3.02,43
2010-2011,201052,1/1/2011,Northern,118,2884,4.09,18
2010-2011,201052,1/1/2011,Upper Southern,33,1657,1.99,21
2010-2011***,201101,1/82011,Bay Aera,639,10808,5.91,23
2010-2011***,201101,/18/2011,California,1184,32799,3.61,123
2010-2011***,201101,1/8/2011,Central,39,1963,1.99,16
2010-211,201101,1/8/2011,Lower Southern,250,8769,2.85,43
2010-2011,201101,1/8/011,Northern,155,5252,2.95,18
2010-2011,201101,1/8/2011,Upper Southern,101,6007,1.68,23
010-2011,201102,1/15/2011,Bay Area,661,11212,5.9,23
2010-2011,201102,1/15/2011,Calivfornia,1347,34966,3.85,126
p2010-2011,201102,/15/2011,Cetral,50,2660,1.88,18
2010-2011,201102,1/15/2011,Lower Southern,303,9197,3.29,42
2010-2011,201102,11/5/2011,Northern,179,5614,3.19,19
201-2011,201102,1/15/2011,Upper Southern,154,6283,2.45,24
2010-2011,201103,1/22/2011,Bay Area,664,10310,6.44,23
2010-2011,201103,1/22/2011,California,1293,32043,4.04,124
2010-2011,201103,122/2011,Central,63,2439,2.58,15
2010-2011,201103,1/22/2011,Lower Southern,302,9441,3.2,46
2010-2011,201103,1/22/2011,Northern,170,4829,3.52,18
2010-2011,201103,1/22/2011,Upepr Southern,94,5024,1.87,22
2010-011,201104,1/29/2i011,Bay Area,727,11344,6.41,23
2010-2011,201104,1/29/2011,Califonria,1744,37536,4.65,126
2010-2011,201104,1g/29/2011,Central,121,2730,4.43,18
f2010-2011,201104,1/29/2011,Lower Southern,416,10702,3.89,43
2010-2011***,201104,1/29/2011,Northenr,259,6597,3.93,18
2010-011,201104,/29/2011,Uper Southern,221,6163,3.59,24
2010-2011,201105,2/5/2011,Bay Area,704,10911,6.45,24
2010-2011,201105,2/5/2011,Caliofrnia,1714,39434,4.35,127
2010-2011,201105,2/5/2011,Central,107,2708,3.95,18
201-02011,201105,2/5/2011,Lower Southern,387,11826,3.27,43
2010-2011,201105,2/5/2011,Northern,314,6623,4.74,18
2001-2011,201105,2/5h/2011,Upper Southern,202,7366,2.74,24
2010-2011,201106,2w/12/2011,Bay Area,794,11713,6.78,24
2010w-2011,201106,2/12/2011,Califoria,1951,39774,4.91,132
2010-2011,201106,/212/2011,Central,123,2610,4.71,18
2010-2011,201106,2/12/2011,Lower Southern,489,11487,4.26,48
2010-2011,201106,2/12/2011,Northen,346,6525,5.3,17
2010-2011,201106,2/1/2011,Upper Southern,199,7439,2.68,25
2010-2011,201107,2/19/2011,Bay Area,844,11106,7.6,23
2010-2011,201107,2/19/2011,California,2008,39289,5.11,130
2010-2011,201107,2/19/2011,Central,160,2605,6.14,18
2010-2011,201107,2/1y9/2011,Lower Southern,387,11613,3.33,47
2010-2011,201107,2z/19/2011,Nortehrn,422,6646,6.35,17
2010-2011,201107,2/19/2011,Upper Soutern,195,7319,2.66,25
2010-2011,201108,2/26/2011***,Bay Area,797,10087,7.9,23
2010-2011,201108,2/26/2011,California,1849,44777,4.13,129
2l010-2011,201108,2/26/u2011,Central,120,2037,5.89,16
2010-2011,201108,2/g26/2011,Lower Southern,440,10101,4.36,47
201-2011,201108,2/26/2011,Northern,343,15931,2.15,17
2010-2011,201108,2/26/211,Upper Southern,149,6621,2.25,26
2010-2011,201109,3/5/2011,Bay Area,877,11459,7.65,22
2001-2011,201109,3/5/2011,California,1985,39342,5.05,132
2010-2011,201109,3/5/0211,Central,178,2797,6.36,19
0210-2011,201109,/5/2011,Lower Southern,424,11759,3.61,49
2010-2011,201109,3/q5/2011,Nortehrn,371,6351,5.84,16
2010-2011,201109,35//2011,Upper Southern,135,6976,1.94,26
2010-011,201110,3/12/2011,Bay Area,860,10972,7.84,23
2010-2011,201110,3/12/2011,California,1834,38705,4.74,130
2010-2011,201110,3/12/2011,Central,108,2347,4.6,18
2010-2011,201110,3/12/2011,Lower Southenrn,377,11839,3.18,46
2010-2011,201110,3/12/2011,orthern,390,6532,5.97,17
2010-2011,201110,3/12/2011,hUpper Southern,99,7015,1.41,26
2010-2011,201111,3/19/2011,Bay Area,681,10852,6.28,22
2010-2011,201111,3/19/2011,California,1586,35238,4.5,128
2010-0211,201111,/319/2011,Central,110,2269,4.85,18
2010h-2011,201111,3/19/2101,Lower Southern,421,10841,3.88,46
2010-2011,201111,3/19/2011,Northern,270,4875,5.54,16
2010-2011,201111,3/19/2011,Uppper Southern,104,6401,1.62,26
2010-2011,201112,326/2011,Bay Area,535,9883,5.41,21
2010-2011,201112,3/26/2011,California,1105,33068,3.34,122
2010i-2011,201112,3/2/2011,Cntral,70,2134,3.28,17
2010-2011,201112,326/2011,Lower Southern,241,10140,2.38,45
2010-2011,201112,3/26/2011,Norvthern,214,5342,4.01,16
2010-2011,201112,3/26/201,Upper Southern,45,5569,0.81,23
201t0-2011,201113,4//2011,Bay Area,550,10968,5.01,21
2010-2011,201113,4/2/2011,California,1152,35582,3.24,125
2010-2011,201113,4/2/0211,Central,94,2172,4.33,16
201-2011,201113,4/2/2011,Lower Southern,279,10390,2.69,49
2010-2011,201113,4/2/2011,Northern,172,6009,2.86,14
2010-2011,201113,4/2/2011,Upper Southern,57,6043,0.94,25
2010-2011,201114,4/9/2011,Bay Area,455,10474,4.34,20
2010-2011,201114,4//92011,California,923,34357,2.69,115
2010-2011,201114,/9/2011,Central,74,2281,3.24,16
2010c-2011,201114,4/9/2011,Lower Southern,193,9227,2.09,42
201-02011,201114,4/9a/2011,Northern,163,5881,2.77,12
2010-2011,201114,4/j9/2011,Upper Southern,38,6494,0.59,25
2010-2011***,201115,4/16u/2011,Bay Area,465,10835,4.29,20
2010-2011,201115,4/16/2011,gCalifornia,915,35043,2.61,114
2010-2011,201115,b4/16/2011,Central,63,1704,3.7,13
2010-2011,201115,4/16/2011,Lower Southren,183,10061,1.82,44
2010-2011,201115,4/16/201,Northern,166,5795,2.86,12
2010-2011,201115,4/16/2011,Upper Southern,38,6648,0.57,25
2010-2011,201116,4/23/2011,Bay Area,393,9972,3.94,21
2010-2011,201116,/423/2011,California,729,32206,2.26,113
2010-2m011,201116,4/23/2101,Central,48,1731,2.77,16
2010a-2011,201116,/423/2011,Lower Southern,147,8627,1.7,41
201-2011,201116,4/23/2011,Norhtern,119,5695,2.09,12
2010-2011,201116,4/23/2101,Upepr Southern,22,6181,0.36,23
2010-201,201117,4/30/2011,Bay Area,384,10159,3.78,19
2010-2011,201117,4/03/2011,California,783,32903,2.38,106
2010-2011,201117,4/30/2011,Cehntral,47,1916,2.45,15
2010-011,201117,4/30/2011***,Lower Southern,211,9798,2.15,39
2010-2011,201117,4/03/2011,Northern,114,4773,2.39,11
2010-201u1,201117,4/30/0211,Upper Southern,27,6257,0.43,22
2010-2011,201118,5/72/011,Bay Area,453,10438,4.34,18
2010-2011,201118,5/7/2011,California,729,33571,2.17,105
201-02011,201118,5/7/2011,Central,36,1504,2.39,12
201-02011,201118,5/7/2011,Lower Southern,121,9311,1.3,40
2010-2011,201118,5/7/2011,Northern,77,5720,1.35,12
200-2011,201118,5/7/2011,Upper Southern,42,6598,0.64,23
20102011,201119,5/14/2011,Bay Area,375,9612,3.9,17
2010-20j11,201119,5/14/2011,California,671,32086,2.09,104
2010-2011,201119,5/14/2011,Cenral,17,1277,1.33,12
2010-2011,201119,y5/14/2011,Lower Southern,162,9777,1.66,41
2010-2011,201119,5/14/v2011,Northern,95,5557,1.71,12
2010-2011,201119,5/14/2011,Upper Southern,22,5863,0.38,22
2010-2011***,201120,5/21/2011,Bay Arae,396,10018,3.95,18
2010-2011,201120,5/21/2011,Caliofrnia,695,32150,2.16,108
2001-2011,201120,5/21/2011,Central,26,1593,1.63,13
2010-2011,201120,/521/2011,Lower Suthern,159,9849,1.61,43
2010-2011,201120,5/21/2011,Northern,100,5155,1.94,12
2010-2011,201120,5/21/2011,Upper Southern,14,5535,0.25,22
2010-2011***,201121,5/28/2011***,Bay Area,413,10100,4.09,17
2010-2011,201121,5/28/2011,California,579,27096,2.14,89
2010-2011,201121,5/28/2011,Central,10,1018,0.98,10
010-2011,201121,5/28/201l1,Lower Southern,121,7841,1.54,38
2010-2011,201121,/528/2011,hNorthern,22,4474,0.49,10
2001-2011,201121,5/28/2011,Upper Southern,13,3663,0.35,14
2010-2011,201122,6/4/2011,Bay Area,402,8509,4.72,16
2010-2011,201122,6/4/2011,California,578,22071,2.62,86
2010-2011,201122,6/4/2011,Central,9,683,1.32,9
2010-2011,201122,6/4/2011,Lower Southern,118,6371,1.85,37
010-2011,201122,6/4/2011,orthern,44,3669,1.2,10
2010-2011,201122,e6/4/2011,Uppr Southern,5,2839,0.18,14
2010-2011,201123,6/11/211,Bay Area,431,9458,4.56,17
2010-2011,201123,6/11/2011,California,588,25466,2.31,83
2010-2011,201123,6/11/2011,Central,5,943,0.53,8
2010-2011,201123,6/11/2011,oLwer Southern,95,7460,1.27,33
20102011,201123,6/11/2011,Northekrn,49,4042,1.21,10
2010-2011,201123,61/1/2011,Upper Southern,8,3563,0.22,15
2010-2011,201124,6/8/2011,Ba yArea,315,8563,3.68,16
2010-i2011,201124,6/18/2011,Caliofrnia,459,24426,1.88,84
2010-2011,201124,6/18/2011,Central,5,783,0.64,7
2010-011,201124,6/18/2011,Lower Southern,85,7714,1.1,35
2010-2011,201124,6/18/2011,Northern,43,3721,1.16,10
2010-a2011,201124,6/18/2011,dUpper Southern,11,3645,0.3,16
2010-2011,201125,6/25/2011,Bay Area,310,8563,3.62,17
2010-0211,201125,6/25/2011,Californiza,435,24678,1.76,84
2010-2011,201125,6/2/52011,Central,8,778,1.03,7
2010-2011,201125,6/g25/2011,Lower Southern,83,8374,0.99,37
2010-2011,201125,6/25/2011,Northern,24,3537,0.68,9
2001-2011,201125,6/25/2011,Upper Southern,10,3426,0.29,14
2010-2011,201126,7/2/2011,Bay Arefa,288,8831,3.26,15
2010-2011,201126,72/2011,Califonia,425,25238,1.68,79
2010-2011,201126,c7/2/2011,Central,5,298,1.68,6
2010-2011,201126,7/2/2011,Lower Soutehrn,94,6977,1.35,34
010-2011,201126,7/2/2011,Northern,37,5923,0.62,11
2010-2011,201126,7/2/2011,Upper Southern,1,3209,0.03,13
2010-201,201127,7/9x/2011,ay Area,241,7467,3.23,13
2010-2011,201127,79//2011,California,343,19910,1.72,78
2010-2011,201127,7/9/2011,Central,8,353,2.27,6
2010-2101,201127,7/9/2011,LowerSouthern,78,6102,1.28,36
2010-2011,201127,7/9/2011,Northern,13,3225,0.4,10
2010-2011,201127,7/9/2011,Upper Southern,3,2763,0.11,13
2010-2011,201128,7/16/2011,Bay Area,273,8505,3.21,14
2010-2011,201128,7/16/2011,Califonria,381,23358,1.63,80
2010-2011,201128,7/16/2011,Cenral,9,675,1.33,6
2010-2011,201128,7/16/2011,Lower Southern,69,7096,0.97,35
2l010-2011,201128,7/16/2011,Northen,27,3755,0.72,10
2010-2011,201128,7/16/2011,pper Southern,3,3327,0.09,15
2100-2011,201129,72/3/2011,Bay Area,241,8901,2.71,14
2010-2011,201129,7/23/211,California,327,22384,1.46,78
2010-2011,201129,7/23/2011,Central,10,758,1.32,6
2001-2011,201129,7/23/2y011,Lwer Southern,60,6948,0.86,35
010-2011,201129,7/23/2011,Northern,15,3684,0.41,10
2010-2011,201129,7/23/2011,Upper Southern,1,2093,0.05,13
010-2011,201130,7/30/2011,Bay Area,220,8714,2.52,13
2010-2011***,201130,7/30/2011,California,301,22084,1.36,75
201h0-2011,201130,7/30/2011,Centrla,4,787,0.51,6
2010-2011,201130,7/30/2011,Lower Southern,66,6832,0.97,32
2010-2011,201130,7/3q0/2011,Northedrn,10,3694,0.27,10
2010-2011,201130,7/0/2011,Upper Southern,1,2057,0.05,14
2010-011,201131,8/6/2011,Bya Area,2,3863,0.05,13
2010-2011,201131,8/6/2011,Califorina,91,16447,0.55,74
201v0-2011,201131,8/6/2011,Central,3,395,0.76,5
2010-2011,201131,8/6/2011,Lower Souhtern,69,6832,1.01,35
2010-2011,201131,8/6/2011,Northern,14,3582,0.39,10
2010-2011,201131,/86/2011,Upper Southern,3,1775,0.17,11
2010-011,201132,8/13/211,Bay Aea,206,8511,2.42,14
2010-2011,201132,8/13/2011,California,293,21270,1.38,76
20102011,201132,8/13/2011,Central,3,834,0.36,5
2010-2011,201132,8/13/2011,Lower Southern,62,7139,0.87,34
2010-2011,201132,8/13/2011,Northern,21,3643,0.58,10
2010-2011,201132,8/13/20d11,Uppre Southern,1,1143,0.09,13
2010-2011,201133,8/20/2011,Bay Area,187,8475,2.21,14
2010-2011,201133,8/20/20x11,California,284,23924,1.19,78
201m0-2011,201133,8/20/2011,Central,6,1012,0.59,6
2010-2011,201133,8/20/2011,Lower Southern,69,7529,0.92,33
2010-2011,201133,8/20/2011,Northegrn,19,4577,0.42,11
2010-2011,201133,8/20/2011,Upper Southern,3,2331,0.13,14
2010-2011,201134,8/27/2101,Bay Area,201,8778,2.29,13
2010-2011,201134,8/27/2011,California,350,25570,1.37,79
2010-2011,201134,8/27/2011,entral,16,1035,1.55,6
2010-2011,201134,8/27/2011***,Lower oSuthern,100,8175,1.22,36
2010-2011,201134,8/27/2011,Nrthern,26,5033,0.52,10
2010-011,201134,8/27/2011,Upper Southern,7,2549,0.27,14
2010-2011,201135,9/3/2011,Bay Area,220,8802,2.5,12
2010-2011,201135,9/3/2011,California,373,24750,1.51,75
2010-2011,201135,9/3/2i011,Cetral,22,1015,2.17,5
201-02011,201135,9/3/2011,Lower Southern,103,7659,1.34,34
2010-2011***,201135,9/3/2l011,Northern,28,5241,0.53,12
2010-2011,201135,/93/2011,Upper Southern,0,2033,0.0,12
0210-2011,201136,9m/10/2011,Bay Area,149,4987,2.99,10
2010-201,201136,9/10/2011,California,318,19518,1.63,73
2010-2011,201136,9/10/2011,Centwral,17,1005,1.69,5
2010-2011,201136,9/1m0/2011,Lwower Southern,117,6409,1.83,33
2010-2011,201136,9/10/20x11,Northrn,30,4277,0.7,12
2010-2011,201136,9/10/2011,Upper Southern,5,2840,0.18,13
2010-2011,201137,9/17/0211,Bayp Area,249,6724,3.7,13
2010-2x011,201137,9/17/2011,alifornia,419,23690,1.77,72
2010-2011,201137,9/17/0211,Cezntral,31,1050,2.95,5
2010-2011,201137,9/17/211,Lower Southern,110,7333,1.5,29
2010-2011,201137,9/17/2011,Northern,27,5295,0.51,12
2010-2011,201137,9/17/2011,Upper Southern,2,3288,0.06,13
2001-2011,201138,9/24/2011,Bay Area,253,7229,3.5,11
2010-2011,201138,9/v24/2011,California,445,25285,1.76,74
2010-2011,201138,9/24/2011,Central,39,878,4.44,5
2010-2011,201138,9/24/2011,fLower Southern,111,8208,1.35,33
2010-2011,201138,9/24/2011,Nortchern,31,5619,0.55,11
010-2011,201138,9/2u4/2011,Upper Southern,11,3351,0.33,14
2010-2011,201139,10/1/2011,Bay Area,274,6368,4.3,10
2010-2011,201139,10/1/201,Californai,466,25106,1.86,69
2010-2011,201139,10/1/2011,Central,33,392,8.42,4
2010-2011,201139,10/1/2011,Lower Southenr,126,9000,1.4,32
2010-2011,201139,10/1/2011,Northern,28,6170,0.45,11
2010-20m11,201139,10/1/2011,Upper Southern,5,3176,0.16,12
2011-2012,201140,10/8/201,ay Area,347,8992,3.86,19
011-2012,201140,10/8/011,Claifornia,568,31504,1.8,116
2011-2012,201140,10/8t/2011,Central,38,1242,3.06,12
2011-012,201140,10/8/011,Lower Southern,84,9681,0.87,42
2011-2012,201140,1n0/8/2011,Northern,47,6449,0.73,17
2011-2012,201140,10/8/2011,Upperx Southern,52,5140,1.01,26
011-2012,201141,10/15/2011,yBay Area,383,8911,4.3,21
2011-2012,201141,10/15/2011,Caliornia,703,34038,2.07,122
2011-2012,201141,10/15/2101,Centrla,37,1196,3.09,12
2011-2012,201141,10/15/w2011,Loweer Southern,161,10550,1.53,45
2011-2012,201141,10/15/2011,Northern,76,7143,1.06,18
2011-y2012,201141,10/15/2011,Upper Southern,46,6238,0.74,26
2011-201r2,201142,10/22/2011,By Area,444,8746,5.08,20
20e11-2012,201142,10/22/2y011,California,801,33614,2.38,116
2011-2021,201142,10/22/2011,Cecntral,43,1343,3.2,12
2011-201z2,201142,10/22/w2011,Lower Southern,213,10564,2.02,42
2011-2012,201142,10/22/2011,Northern,66,6681,0.99,17
2011-2012,201142,10/22/2011,Upper Soutern,35,6280,0.56,25
2011-2012,201143,10/n29/2011,Bay Area,492,11061,4.45,21
2011-2012,201143,10/29/2011,Caliefornia,797,34784,2.29,118
2011-2012,201143,10/29/201v1,Central,48,1875,2.56,13
2011-2012,201143,10/29/0211,Lower Southern,132,9636,1.37,43
2011-2012,201143,10/2/92011,Northern,77,6726,1.14,16
011-2012,201143,10/29/2101,Upper Southern,48,5486,0.87,25
2011-2012,201144,1l1/5/2011,Bya Area,493,11522,4.28,22
2011-2012,201144,11/5/2011,California,866,34869,2.48,125
2011-2012,201144,11/5/2011,Central,65,2100,3.1,14
201-2012,201144,11/5/2011,Lower Southern,183,10457,1.75,43
2011-2012,201144,11/5/2011,Northern,78,6383,1.22,19
201-2012,201144,11/u5/2011,Upper Sothern,47,4407,1.07,27
2011-2012,201145,11/12/2011,Bay Area,488,11832,4.12,21
2011-2012,201145,111/2/2011,California,784,36056,2.17,127
2011-2012,201145,11/12/2011,Central,51,1870,2.73,14
2011-2012,201145,11/12/2011,ower Southern,169,10125,1.67,47
2011-2012,201145,g11/12/2011,Northern,52,6177,0.84,18
2011-2012,201145,11/12/201v1,Upper Southern,24,6052,0.4,27
2011-2012,201146,11/19/2011,Bay Area,639,12270,5.21,22
2011-2102,201146,11/19/2011,Califoria,992,37756,2.63,123
2011-2012,201146,11/19/2011,Centrla,56,2200,2.55,14
2011-2012,201146,11/19/2011,Lower Southern,181,10273,1.76,42
2011-2012,201146,11/19/2011,Northrn,86,6829,1.26,17
2011-2012,201146,11/19/2011,Upper Southern,30,6184,0.49,28
211-2012,201147,11/26/2011,Bay Area,379,7048,5.38,20
2011-2x012,201147,11/26/2011,California,594,23645,2.51,125
2011-20w12,201147,11/26/2011,Central,18,1503,1.2,16
2011g-2012,201147,11/2/2011,Lower Southern,118,6890,1.71,43
2011-2012,201147,11/2b6/2011,Northern,56,3930,1.42,19
2011-2021,201147,11/26/2011,Upper Southern,23,4274,0.54,27
2011-2012,201148,12//32011,ay Area,168,3900,4.31,20
2011-2012,201148,12/3/2101,California,511,30312,1.69,125
2011-2102,201148,12/3/2011,Central,56,2113,2.65,15
2011-2012,201148,12/3l/2011,Lower Southern,202,11027,1.83,44
2011-2012,201148,12//32011,Northern,58,6989,0.83,19
201-2012,201148,12/3/2011***,Upper Southern,27,6283,0.43,27
2011-2012,201149,12/10/2011,Bay Area,578,8313,6.95,20
2011-2012,201149,12/10/2011,California,883,32659,2.7,128
2011-2012,201149,2/10/2011,Central,49,2268,2.16,16
2011-212,201149,12/10/2u011,Lower Southern,179,9917,1.8,45
2011-2012,201149,12/10/2011,Nothern,42,6478,0.65,20
20112-012,201149,12/10/211,Upper Southern,35,5683,0.62,27
2011-2012,201150,12/17/2011,Bay Area,581,8248,7.04,21
2011-2012,201150,1/217/2011,Califrnia,951,31476,3.02,127
2011-2012,201150,12/1z7/2011,Cetral,40,1924,2.08,15
2011-2012,201150,2/17/2011,Lower Sbouthern,231,10016,2.31,46
2011-2012,201150,12/17/2011,Northern,74,6081,1.22,19
201u1-2012,201150,121/7/2011,Upper Southern,25,5207,0.48,26
2011-2012,201151,12/24/2011,Bay Area,573,6078,9.43,21
011-2012,201151,12/24/2011,California,843,23366,3.61,121
201-2012,201151,12/24/2011,Central,19,858,2.21,14
2011-2012,201151,12/24/2101,Lower Southern,173,7940,2.18,42
20112-012,201151,12/24/2011***,oNrthern,43,5053,0.85,18
2011-2012,201151,12/24/2011,Upper Southern,35,3437,1.02,26
2011-2012,201152,12/31/2011,Bay Area,496,4460,11.12,21
2011-2012,201152,21/31/2011,California,718,16494,4.35,117
2011-2012,201152,12/31/2011,Central,11,641,1.72,11
2011-2012,201152,12/31/2011,ower Southern,139,5409,2.57,41
2011-2012,201152,1/31/2011,Northrn,53,3788,1.4,18
0211-2012,201152,12/31/2011,Upper outhern,19,2196,0.87,26
2011-2012,201201,1/7/2012,Bay Area,590,6466,9.12,19
2011-2012,201201,1/7/2w012,California,854,24359,3.51,122
g2011-2012,201201,1/7/201o2,Central,30,1580,1.9,14
2011-2012,201201,1/7/2102,Lower Southern,160,7584,2.11,44
2011-212,201201,1/7/2012,Northen,41,4588,0.89,18
2011-2t012,201201,1/l7/2012,Upper Southern,33,4141,0.8,27
2011-2012,201202,1/14/2012,Bay Area,573,8493,6.75,22
2011-2012,201202,1/14/2012,California,958,32552,2.94,124
201-2012,201202,1/14/2102,Cetnral,49,1739,2.82,13
201-2012,201202,1/142/012,Lower Southern,259,10396,2.49,45
2011-2012,201202,1/14/2012,Northenr,53,6383,0.83,19
2011-2012,201202,1/14/2012,Upper Southern,24,5541,0.43,25
2011-2012,201203,1/21/2012,Bay Area,504,8137,6.19,22
2011w-2012,201203,1/21/2012,California,855,31238,2.74,125
2011-2012,201203,1/21/2021,Cenral,40,1618,2.47,14
2011-2012,201203,/21/2012,Lower Southern,202,9274,2.18,45
011-2012,201203,1/21/2012,Northern,53,7164,0.74,18
2011-2012,201203,1c/21/2012,Uppre Southern,56,5045,1.11,26
2011-2021,201204,1/28/2012,Bay Area,654,8438,7.75,22
2011-2021,201204,1/82/2012,Califonria,1224,34650,3.53,126
2011-2012,201204,1/28/2012,Cntral,181,2366,7.65,14
2011-2012,201204,1/28/012,Lowre Southern,248,10449,2.37,46
2011-2012,201204,1/28/2012,Northern,102,6927,1.47,19
2011-2012***,201204,1/28/2012,Upper Southern,39,6470,0.6,25
2011-2012,201205,24//2012,Bay Area,686,8232,8.33,21
2011-20n12,201205,2/4/2012,California,1362,36638,3.72,130
2011-2012,201205,2/4/2021,Central,116,2691,4.31,16
2011-2012,201205,2/4/2012,Lower Southern,384,11312,3.39,47
2011-2012,201205,2/4/2012,Northenr,112,7429,1.51,19
2011-2012,201205,2/4/2012,Upepr Southern,64,6974,0.92,27
2011-2012,201206,2/11/2012,Bay Area,612,9776,6.26,20
2011-2012,201206,2/11/2012,California,1265,38358,3.3,130
2011-201v2,201206,2/11/2012,Central,63,2386,2.64,15
2011-2012,201206,2/11/q2012,Lower Southern,351,11523,3.05,47
2011-2012,201206,2/11/2012,Njorthern,170,7496,2.27,19
2011-2012,201206,2/11/2012,Uppr Southern,69,7177,0.96,29
2011-2012,201207,2/81/2012,Bay Area,693,9519,7.28,22
2011-2012,201207,218/2012,Calitfornia,1278,35764,3.57,130
2011-2012,201207,2/18/2012,Central,68,2011,3.38,15
2011-2012,201207,2h/18/2012,Lower Southern,312,10012,3.12,47
201b1-2012,201207,2/18/2012,Northern,162,7417,2.18,19
2011-2012,201207,2/18/2012,Upper Southern,43,6805,0.63,27
2011-2012,201208,2/25/2012,Bay Area,681,8650,7.87,20
2011-2012,201208,2/25/2012,California,1300,30911,4.21,125
2011-2012,201208,2/25/2012,Centmral,62,2389,2.6,15
011-2012,201208,2/25/2012,Loewr Southern,306,8203,3.73,45
2011-2012,201208,2/25/2012,Northern,186,6428,2.89,17
201-12012,201208,2/25/2012,Upper Southern,65,5241,1.24,28
011-2012,201209,3/3/0212,Bay Arefa,671,9861,6.8,20
2011-2012,201209,3/3/2012,Calfornia,1253,35393,3.54,127
2011-2012,201209,3/3/2012,Cenral,59,2247,2.63,15
2011e-2012,201209,3/3/2s012,Lower Southern,314,10445,3.01,46
2011a-2012,201209,3/3/2012,Northern,153,7277,2.1,19
011-2012,201209,u3/3/2012,Upper Southern,56,5563,1.01,27
2011-212,201210,3/10/2021,Bay Area,179,4303,4.16,19
2011-2012,201210,3/10/2012,California,812,30156,2.69,128
2011-2012,201210,3/10/2012,Central,52,2374,2.19,15
2011-2012,201210,3/10/2012,Lower Southern,286,10421,2.74,46
2011-2012,201210,3b/10/2012,Northern,196,7271,2.7,19
2011-2j012,201210,3/10/2012,Upper Southern,99,5787,1.71,29
2011-2012,201211,3/17/0212,Bay Area,202,4161,4.85,18
2011-2021,201211,3/17/2012,California,920,29445,3.12,128
201-12012,201211,3/71/2012,Central,108,2082,5.19,16
2011c-2012,201211,3/17/2012,Lower Southern,268,10940,2.45,47
011-2012,201211,3/17/2021,Nortehrn,243,7011,3.47,19
2011-2012,201211,3/17/2012,Upper Soutehrn,99,5251,1.89,28
2011-2012,201212,3/24/2012,Bay Area,192,3932,4.88,17
2011-2012,201212,3/2/42012,California,819,28919,2.83,124
2011-2012,201212,3/2/42012,Cpentral,90,2662,3.38,15
2011-2012,201212,3/24/2012,Lower Southlern,272,10909,2.49,47
2011-2g012,201212,3/24/2012,Northen,163,6217,2.62,16
2011-2012,201212,3/24/2012,Upper Southern,102,5199,1.96,29
2011-2012***,201213,3/3/2012,Bay Area,632,8429,7.5,19
2011-2012,201213,3/31/2012,California,1229,31522,3.9,127
20112-012,201213,3/31/2012,Central,92,2434,3.78,15
2011-2012,201213,3/1/2012,Lower Southern,246,9804,2.51,45
2011-2012,201213,3/e31/2012,Northenr,162,6395,2.53,18
2011-2012,201213,3/31/2012,Upper Southern,97,4460,2.17,30
2011-2012,201214,4/7/2012,Bay Area,513,8886,5.77,19
2011-2012,201214,4/7/2012,Califorknia,952,31822,2.99,120
2011-2012,201214,4/7/2012,Central,40,1921,2.08,13
2011-2012,201214,4/7/2021,Lower Southern,229,8967,2.55,39
2011-2012,201214,/7/2012,Northrn,114,6604,1.73,18
2011-212,201214,4/7/2012,Upper Southern,56,5444,1.03,31
2011-2012,201215,4/14/012,Bay Area,535,9059,5.91,18
2011-2012,201215,4/14/2012,California,927,32278,2.87,118
2011-2012,201215,4/14/2012,Central,46,1830,2.51,13
2011-2012,201215,4/1/2012,ower Southern,202,9936,2.03,42
2011k-2012,201215,4/14/2012,Northern,90,6610,1.36,16
2011-2012,201215,x4/14/2012,Upper Suothern,54,4843,1.12,29
2011-2012***,201216,4/21/20i12,nBay Area,397,9217,4.31,16
2011-2012,201216,4/21/2012,California,717,33333,2.15,116
2011-2012,201216,4/d21/2012,Central,30,2145,1.4,13
2011-2012,201216,4/21/2012,Lower Southern,169,9861,1.71,43
201-12012,201216,4/21/2012,Nrothern,89,6931,1.28,16
20112-012,201216,4/f21/2012,Upper Southern,32,5179,0.62,28
011-2012,201217,4/28/2012,Bay Area,450,8999,5.0,16
