year_start,year_end,location_abbr,location_desc,datasource,class,topic,question,data_value_unit,data_value_type,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,sample_size,total,poverty_level,ageyears,birth_order,education,gender,marital_status,metropolitan,race_ethnicity,wic_participation,geo_location,class_id,topic_id,question_id,data_value_type_id,location_id,stratification_category_one,stratification_one,stratification_category_id_one,stratification_id_one
2004,2004,IA,Iowa,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,13.2,13.2,,,9.5,18.1,305.0,Total,,,,,,,,,,"(42.46940091300047, -93.81649055599968)",BF,BF1,Q008,VALUE,19,Total,Total,OVR,OVERALL
2016,2016,RI,Rhode Island,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,20.3,20.3,,,14.8,27.3,204.0,Total,,,,,,,,,,"(41.70828019300046, -71.52247031399963)",BF,BF1,Q003,VALUE,44,Total,Total,OVR,OVERALL
2005,2005,IA,Iowa,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,73.4,73.4,,,67.0,78.9,279.0,Total,,,,,,,,,,"(42.46940091300047, -93.81649055599968)",BF,BF1,Q006,VALUE,19,Total,Total,OVR,OVERALL
2009,2009,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,37.6,37.6,,,35.8,39.5,8804.0,,,,,,,,Metropolitan,,,,BF,BF1,Q001,VALUE,59,Metropolitan,Metropolitan,METRO,METROYES
2006,2006,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,20.3,20.3,,,18.6,22.1,5962.0,,,,,,,Unmarried,,,,,BF,BF1,Q007,VALUE,59,Marital Status,Unmarried,MARSTAT,UNMARRIED
2008,2008,CT,Connecticut,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,77.0,77.0,,,70.7,82.3,413.0,Total,,,,,,,,,,"(41.56266102000046, -72.64984095199964)",BF,BF1,Q006,VALUE,9,Total,Total,OVR,OVERALL
2016,2016,RI,Rhode Island,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,41.2,41.2,,,34.7,48.0,242.0,Total,,,,,,,,,,"(41.70828019300046, -71.52247031399963)",BF,BF1,Q007,VALUE,44,Total,Total,OVR,OVERALL
2004,2004,CO,Colorado,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,11.6,11.6,,,7.7,17.3,278.0,Total,,,,,,,,,,"(38.843840757000464, -106.13361092099967)",BF,BF1,Q008,VALUE,8,Total,Total,OVR,OVERALL
2002,2002,SD,South Dakota,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,70.4,70.4,,,63.5,76.4,344.0,Total,,,,,,,,,,"(44.353130053000484, -100.3735306369997)",BF,BF1,Q006,VALUE,46,Total,Total,OVR,OVERALL
2004,2004,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,31.8,31.8,,,24.8,39.8,355.0,,,,,,,,,American Indian/Alaska Native,,,BF,BF1,Q007,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2014,2014,OH,Ohio,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,47.3,47.0,,,40.4,54.4,282.0,Total,,,,,,,,,,"(40.06021014100048, -82.40426005599966)",BF,BF1,Q005,VALUE,39,Total,Total,OVR,OVERALL
2010,2010,IN,Indiana,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,20.5,20.5,,,14.3,28.5,205.0,Total,,,,,,,,,,"(39.766910452000445, -86.14996019399968)",BF,BF1,Q003,VALUE,18,Total,Total,OVR,OVERALL
2013,2013,MA,Massachusetts,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,87.4,87.4,,,82.3,91.1,343.0,Total,,,,,,,,,,"(42.27687047000046, -72.08269067499964)",BF,BF1,Q006,VALUE,25,Total,Total,OVR,OVERALL
2001,2001,IA,Iowa,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,68.0,68.0,,,61.8,73.6,304.0,Total,,,,,,,,,,"(42.46940091300047, -93.81649055599968)",BF,BF1,Q006,VALUE,19,Total,Total,OVR,OVERALL
2016,2016,NY,New York,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,42.4,42.4,,,37.5,47.4,578.0,Total,,,,,,,,,,"(42.82700103200045, -75.54397042699964)",BF,BF1,Q007,VALUE,36,Total,Total,OVR,OVERALL
2010,2010,CA,California,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,31.8,31.8,,,23.8,41.1,228.0,Total,,,,,,,,,,"(37.63864012300047, -120.99999953799971)",BF,BF1,Q001,VALUE,6,Total,Total,OVR,OVERALL
2009,2009,RI,Rhode Island,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,47.3,47.3,,,38.9,55.9,203.0,Total,,,,,,,,,,"(41.70828019300046, -71.52247031399963)",BF,BF1,Q002,VALUE,44,Total,Total,OVR,OVERALL
2008,2008,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,41.4,41.4,,,38.9,43.9,4868.0,,,,,,,,,,Yes,,BF,BF1,Q001,VALUE,59,WIC Participation,Yes,WIC,WICYES
2012,2012,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,30.4,30.4,,,16.1,50.0,113.0,,,,,,,,,American Indian/Alaska Native,,,BF,BF1,Q001,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2016,2016,IN,Indiana,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,27.4,27.4,,,21.9,33.6,293.0,Total,,,,,,,,,,"(39.766910452000445, -86.14996019399968)",BF,BF1,Q008,VALUE,18,Total,Total,OVR,OVERALL
2012,2012,MS,Mississippi,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,10.0,10.0,,,6.3,15.5,232.0,Total,,,,,,,,,,"(32.745510099000455, -89.53803082499968)",BF,BF1,Q008,VALUE,28,Total,Total,OVR,OVERALL
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,27.1,27.1,,,23.9,30.6,1587.0,,,,,,,,,Non-Hispanic Black,,,BF,BF1,Q004,VALUE,59,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2015,2015,VI,Virgin Islands,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,19.9,19.9,,,12.8,29.5,129.0,Total,,,,,,,,,,"(18.335765, -64.896335)",BF,BF1,Q008,VALUE,78,Total,Total,OVR,OVERALL
2016,2016,NY,New York,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,37.9,37.9,,,32.5,43.7,458.0,Total,,,,,,,,,,"(42.82700103200045, -75.54397042699964)",BF,BF1,Q001,VALUE,36,Total,Total,OVR,OVERALL
2002,2002,NJ,New Jersey,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,17.0,17.0,,,13.1,21.8,796.0,Total,,,,,,,,,,"(40.13057004800049, -74.27369128799967)",BF,BF1,Q004,VALUE,34,Total,Total,OVR,OVERALL
2004,2004,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,11.8,11.8,,,10.9,12.7,14006.0,,,,,,Male,,,,,,BF,BF1,Q008,VALUE,59,Gender,Male,GEN,MALE
2014,2014,OH,Ohio,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,34.6,35.0,,,26.1,44.3,145.0,Total,,,,,,,,,,"(40.06021014100048, -82.40426005599966)",BF,BF1,Q002,VALUE,39,Total,Total,OVR,OVERALL
2012,2012,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,51.4,51.4,,,44.9,57.9,1065.0,,,,,,,,,,"No, but eligible",,BF,BF1,Q007,VALUE,59,WIC Participation,"No, but eligible",WIC,WICNO
2006,2006,ND,North Dakota,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,21.6,21.6,,,17.2,26.8,322.0,Total,,,,,,,,,,"(47.47531977900047, -100.11842104899966)",BF,BF1,Q004,VALUE,38,Total,Total,OVR,OVERALL
2012,2012,OH,Ohio,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,32.5,32.5,,,22.4,44.6,116.0,Total,,,,,,,,,,"(40.06021014100048, -82.40426005599966)",BF,BF1,Q002,VALUE,39,Total,Total,OVR,OVERALL
2013,2013,ME,Maine,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,32.0,32.0,,,25.5,39.2,248.0,Total,,,,,,,,,,"(45.254228894000505, -68.98503133599962)",BF,BF1,Q008,VALUE,23,Total,Total,OVR,OVERALL
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,36.0,36.0,,,33.7,38.5,6918.0,,,,First born,,,,,,,,BF,BF1,Q004,VALUE,59,Birth Order,First born,BO,BOFIRST
2005,2005,VT,Vermont,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,21.6,21.6,,,16.0,28.5,210.0,Total,,,,,,,,,,"(43.62538123900049, -72.51764079099962)",BF,BF1,Q001,VALUE,50,Total,Total,OVR,OVERALL
2004,2004,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,22.2,22.2,,,20.9,23.7,8440.0,,200 - 399,,,,,,,,,,BF,BF1,Q004,VALUE,59,% Poverty Level,200 - 399,POV,POV200399
2000,2000,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,26.6,26.6,,,23.9,29.6,4956.0,,,20 - 29,,,,,,,,,BF,BF1,Q005,VALUE,59,Age (years),20 - 29,AGEYR,AGEYR2029
2007,2007,MA,Massachusetts,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,20.5,20.5,,,15.6,26.3,331.0,Total,,,,,,,,,,"(42.27687047000046, -72.08269067499964)",BF,BF1,Q003,VALUE,25,Total,Total,OVR,OVERALL
2013,2013,CT,Connecticut,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,19.1,19.1,,,13.5,26.3,228.0,Total,,,,,,,,,,"(41.56266102000046, -72.64984095199964)",BF,BF1,Q003,VALUE,9,Total,Total,OVR,OVERALL
2006,2006,AR,Arkansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,7.9,7.9,,,5.7,10.9,431.0,Total,,,,,,,,,,"(34.74865012400045, -92.27449074299966)",BF,BF1,Q008,VALUE,5,Total,Total,OVR,OVERALL
2014,2014,TX,Texas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,35.8,36.0,,,31.4,40.6,881.0,Total,,,,,,,,,,"(31.827240407000488, -99.42677020599967)",BF,BF1,Q002,VALUE,48,Total,Total,OVR,OVERALL
2007,2007,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,45.4,45.4,,,41.3,49.5,1395.0,,,,,High school graduate,,,,,,,BF,BF1,Q002,VALUE,59,Education,High school graduate,EDU,EDUHSGRAD
2006,2006,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,54.4,54.4,,,52.9,55.8,12864.0,,,,,,,,,,Ineligible,,BF,BF1,Q005,VALUE,59,WIC Participation,Ineligible,WIC,WICINELG
2015,2015,NH,New Hampshire,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,11.4,11.4,,,7.4,17.2,244.0,Total,,,,,,,,,,"(43.65595011300047, -71.50036091999965)",BF,BF1,Q003,VALUE,33,Total,Total,OVR,OVERALL
2006,2006,IL,Illinois,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,41.2,41.2,,,37.1,45.5,1232.0,Total,,,,,,,,,,"(40.48501028300046, -88.99771017799969)",BF,BF1,Q005,VALUE,17,Total,Total,OVR,OVERALL
2009,2009,UT,Utah,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,22.6,22.6,,,17.0,29.4,321.0,Total,,,,,,,,,,"(39.360700171000474, -111.58713063499971)",BF,BF1,Q003,VALUE,49,Total,Total,OVR,OVERALL
2006,2006,RI,Rhode Island,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,21.7,21.7,,,15.7,29.2,246.0,Total,,,,,,,,,,"(41.70828019300046, -71.52247031399963)",BF,BF1,Q003,VALUE,44,Total,Total,OVR,OVERALL
2005,2005,NH,New Hampshire,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,39.0,39.0,,,31.1,47.5,160.0,Total,,,,,,,,,,"(43.65595011300047, -71.50036091999965)",BF,BF1,Q002,VALUE,33,Total,Total,OVR,OVERALL
2005,2005,MA,Massachusetts,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,47.0,47.0,,,40.4,53.7,329.0,Total,,,,,,,,,,"(42.27687047000046, -72.08269067499964)",BF,BF1,Q005,VALUE,25,Total,Total,OVR,OVERALL
2015,2015,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,21.4,21.4,,,16.6,27.1,708.0,,,,,,,,,Asian,,,BF,BF1,Q003,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2008,2008,WV,West Virginia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,13.5,13.5,,,10.7,16.8,461.0,Total,,,,,,,,,,"(38.66551020200046, -80.71264013499967)",BF,BF1,Q004,VALUE,54,Total,Total,OVR,OVERALL
2011,2011,MD,Maryland,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,23.3,23.3,,,16.1,32.5,272.0,Total,,,,,,,,,,"(39.29058096400047, -76.60926011099963)",BF,BF1,Q003,VALUE,24,Total,Total,OVR,OVERALL
2013,2013,NY,New York,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,55.8,55.8,,,51.4,60.1,700.0,Total,,,,,,,,,,"(42.82700103200045, -75.54397042699964)",BF,BF1,Q005,VALUE,36,Total,Total,OVR,OVERALL
2013,2013,NC,North Carolina,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,30.7,30.7,,,22.6,40.2,166.0,Total,,,,,,,,,,"(35.466220975000454, -79.15925046299964)",BF,BF1,Q002,VALUE,37,Total,Total,OVR,OVERALL
2000,2000,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,49.4,49.4,,,39.6,59.3,652.0,,,,,,,,,,"No, but eligible",,BF,BF1,Q005,VALUE,59,WIC Participation,"No, but eligible",WIC,WICNO
2011,2011,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,40.9,40.9,,,38.8,43.1,6819.0,,,,,,Female,,,,,,BF,BF1,Q007,VALUE,59,Gender,Female,GEN,FEMALE
2008,2008,NH,New Hampshire,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,81.9,81.9,,,75.7,86.7,338.0,Total,,,,,,,,,,"(43.65595011300047, -71.50036091999965)",BF,BF1,Q006,VALUE,33,Total,Total,OVR,OVERALL
2006,2006,MO,Missouri,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,9.9,9.9,,,7.2,13.4,434.0,Total,,,,,,,,,,"(38.635790776000476, -92.56630005299968)",BF,BF1,Q008,VALUE,29,Total,Total,OVR,OVERALL
2006,2006,OH,Ohio,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,43.4,43.4,,,34.3,52.9,142.0,Total,,,,,,,,,,"(40.06021014100048, -82.40426005599966)",BF,BF1,Q002,VALUE,39,Total,Total,OVR,OVERALL
2000,2000,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,16.9,16.9,,,15.0,18.9,7226.0,,,,First born,,,,,,,,BF,BF1,Q004,VALUE,59,Birth Order,First born,BO,BOFIRST
2009,2009,ME,Maine,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,74.0,74.0,,,67.6,79.4,335.0,Total,,,,,,,,,,"(45.254228894000505, -68.98503133599962)",BF,BF1,Q006,VALUE,23,Total,Total,OVR,OVERALL
2011,2011,OK,Oklahoma,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,15.5,15.5,,,11.5,20.6,295.0,Total,,,,,,,,,,"(35.47203135600046, -97.52107021399968)",BF,BF1,Q008,VALUE,40,Total,Total,OVR,OVERALL
2007,2007,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,25.8,25.8,,,23.9,27.7,6082.0,,,,,,,Unmarried,,,,,BF,BF1,Q005,VALUE,59,Marital Status,Unmarried,MARSTAT,UNMARRIED
2014,2014,AR,Arkansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,19.1,19.0,,,13.8,25.7,246.0,Total,,,,,,,,,,"(34.74865012400045, -92.27449074299966)",BF,BF1,Q008,VALUE,5,Total,Total,OVR,OVERALL
2015,2015,PR,Puerto Rico,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,85.9,85.9,,,80.9,89.7,360.0,Total,,,,,,,,,,"(18.220833, -66.590149)",BF,BF1,Q006,VALUE,72,Total,Total,OVR,OVERALL
2010,2010,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,7.7,7.7,,,3.8,14.9,302.0,,,Under 20,,,,,,,,,BF,BF1,Q008,VALUE,59,Age (years),Under 20,AGEYR,AGEYR0019
2007,2007,CA,California,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,27.0,27.0,,,22.4,32.1,613.0,Total,,,,,,,,,,"(37.63864012300047, -120.99999953799971)",BF,BF1,Q003,VALUE,6,Total,Total,OVR,OVERALL
2010,2010,NC,North Carolina,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,39.7,39.7,,,29.7,50.6,139.0,Total,,,,,,,,,,"(35.466220975000454, -79.15925046299964)",BF,BF1,Q002,VALUE,37,Total,Total,OVR,OVERALL
2009,2009,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,48.7,48.7,,,47.0,50.4,10386.0,,,,,College graduate,,,,,,,BF,BF1,Q007,VALUE,59,Education,College graduate,EDU,EDUCOGRAD
2005,2005,CO,Colorado,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,14.8,14.8,,,10.8,20.1,345.0,Total,,,,,,,,,,"(38.843840757000464, -106.13361092099967)",BF,BF1,Q008,VALUE,8,Total,Total,OVR,OVERALL
2012,2012,FL,Florida,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,81.6,81.6,,,73.9,87.5,248.0,Total,,,,,,,,,,"(28.932040377000476, -81.92896053899966)",BF,BF1,Q006,VALUE,12,Total,Total,OVR,OVERALL
2014,2014,FL,Florida,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,26.4,26.0,,,18.8,35.6,237.0,Total,,,,,,,,,,"(28.932040377000476, -81.92896053899966)",BF,BF1,Q001,VALUE,12,Total,Total,OVR,OVERALL
2016,2016,MS,Mississippi,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,63.4,63.4,,,57.5,69.0,421.0,Total,,,,,,,,,,"(32.745510099000455, -89.53803082499968)",BF,BF1,Q006,VALUE,28,Total,Total,OVR,OVERALL
2005,2005,ND,North Dakota,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,10.9,10.9,,,7.4,15.8,234.0,Total,,,,,,,,,,"(47.47531977900047, -100.11842104899966)",BF,BF1,Q003,VALUE,38,Total,Total,OVR,OVERALL
2000,2000,CT,Connecticut,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,44.9,44.9,,,31.9,58.6,140.0,Total,,,,,,,,,,"(41.56266102000046, -72.64984095199964)",BF,BF1,Q005,VALUE,9,Total,Total,OVR,OVERALL
2011,2011,WI,Wisconsin,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,26.2,26.2,,,20.2,33.1,213.0,Total,,,,,,,,,,"(44.39319117400049, -89.81637074199966)",BF,BF1,Q004,VALUE,55,Total,Total,OVR,OVERALL
2000,2000,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,84.4,84.4,,,78.4,88.9,652.0,,,,,,,,,,"No, but eligible",,BF,BF1,Q006,VALUE,59,WIC Participation,"No, but eligible",WIC,WICNO
2010,2010,NH,New Hampshire,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,30.5,30.5,,,24.5,37.2,248.0,Total,,,,,,,,,,"(43.65595011300047, -71.50036091999965)",BF,BF1,Q004,VALUE,33,Total,Total,OVR,OVERALL
2014,2014,AR,Arkansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,37.2,37.0,,,30.5,44.6,252.0,Total,,,,,,,,,,"(34.74865012400045, -92.27449074299966)",BF,BF1,Q005,VALUE,5,Total,Total,OVR,OVERALL
2003,2003,MS,Mississippi,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,18.1,18.1,,,14.4,22.5,440.0,Total,,,,,,,,,,"(32.745510099000455, -89.53803082499968)",BF,BF1,Q005,VALUE,28,Total,Total,OVR,OVERALL
2010,2010,WV,West Virginia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,27.0,27.0,,,20.8,34.2,227.0,Total,,,,,,,,,,"(38.66551020200046, -80.71264013499967)",BF,BF1,Q007,VALUE,54,Total,Total,OVR,OVERALL
2001,2001,SC,South Carolina,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,27.4,27.4,,,22.0,33.6,303.0,Total,,,,,,,,,,"(33.998821303000454, -81.04537120699968)",BF,BF1,Q005,VALUE,45,Total,Total,OVR,OVERALL
2003,2003,LA,Louisiana,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,48.0,48.0,,,43.2,52.7,716.0,Total,,,,,,,,,,"(31.31266064400046, -92.44568007099969)",BF,BF1,Q006,VALUE,22,Total,Total,OVR,OVERALL
2004,2004,WY,Wyoming,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,31.4,31.4,,,24.3,39.5,182.0,Total,,,,,,,,,,"(43.23554134300048, -108.10983035299967)",BF,BF1,Q002,VALUE,56,Total,Total,OVR,OVERALL
2009,2009,IA,Iowa,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,26.2,26.2,,,20.9,32.3,343.0,Total,,,,,,,,,,"(42.46940091300047, -93.81649055599968)",BF,BF1,Q004,VALUE,19,Total,Total,OVR,OVERALL
2007,2007,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,37.1,37.1,,,35.6,38.5,15285.0,Total,,,,,,,,,,,BF,BF1,Q001,VALUE,59,Total,Total,OVR,OVERALL
2012,2012,OK,Oklahoma,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,18.3,18.3,,,12.5,25.9,163.0,Total,,,,,,,,,,"(35.47203135600046, -97.52107021399968)",BF,BF1,Q001,VALUE,40,Total,Total,OVR,OVERALL
2005,2005,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,44.2,44.2,,,42.8,45.5,14028.0,,,,,,,,,Non-Hispanic White,,,BF,BF1,Q005,VALUE,59,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,36.2,36.2,,,34.3,38.1,10686.0,,,,Not first born,,,,,,,,BF,BF1,Q004,VALUE,59,Birth Order,Not first born,BO,BONOT1
2005,2005,MN,Minnesota,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,24.1,24.1,,,19.3,29.6,360.0,Total,,,,,,,,,,"(46.35564873600049, -94.79420050299967)",BF,BF1,Q004,VALUE,27,Total,Total,OVR,OVERALL
